st pl ch r c p0 p1 p2 p3
0 1 2 0 0 647.720 157.301 0.031 -1.265
0 1 2 0 1 1341.177 2179.323 0.002 -0.408
0 1 2 0 2 621.679 197.007 0.025 -0.798
0 1 2 0 3 564.555 275.721 0.019 -0.351
0 1 2 0 4 -1426.413 2244.503 0.014 1.122
0 1 2 0 5 594.104 213.813 0.028 -0.663
0 1 2 0 6 563.443 273.503 0.019 -0.432
0 1 2 0 7 623.392 192.468 0.028 -0.845
0 1 2 0 8 350.917 514.216 0.014 0.149
0 1 2 0 9 544.301 265.153 0.025 -0.415
0 1 2 0 10 611.897 196.893 0.027 -0.843
0 1 2 0 11 -623.907 1636.755 0.008 0.774
0 1 2 0 12 648.815 150.800 0.038 -1.521
0 1 2 0 13 666.251 173.355 0.029 -1.139
0 1 2 0 14 600.363 222.349 0.021 -0.637
0 1 2 0 15 702.278 100.051 0.053 -2.667
0 1 2 0 16 -742.832 1634.907 0.009 0.941
0 1 2 0 17 -19010.657 19819.385 0.023 1.987
0 1 2 0 18 -302.792 1320.128 0.008 0.657
0 1 2 0 19 640.058 172.206 0.033 -0.931
0 1 2 0 20 -252.508 1612.892 0.004 0.479
0 1 2 0 21 601.647 308.517 0.016 -0.364
0 1 2 0 22 618.630 192.475 0.028 -0.928
0 1 2 0 23 516.512 203.621 0.039 -0.448
0 1 2 0 24 500.571 356.291 0.017 -0.199
0 1 2 0 25 695.840 114.587 0.043 -1.894
0 1 2 0 26 837.752 2639.712 0.001 -0.122
0 1 2 0 27 681.535 126.851 0.047 -1.857
0 1 2 0 28 680.551 116.496 0.040 -1.689
0 1 2 0 29 687.826 119.540 0.065 -2.298
0 1 2 0 30 537.267 333.036 0.013 -0.138
0 1 2 0 31 648.933 167.015 0.036 -1.143
0 1 2 0 32 604.820 206.242 0.024 -0.704
0 1 2 0 33 668.397 138.775 0.045 -1.674
0 1 2 0 34 507.490 299.865 0.023 -0.342
0 1 2 0 35 615.656 201.098 0.027 -0.741
0 1 2 0 36 599.367 218.137 0.023 -0.652
0 1 2 0 37 606.836 207.549 0.030 -0.844
0 1 2 0 38 435.916 826.193 0.005 0.064
0 1 2 0 39 978.261 2165.797 0.002 -0.195
0 1 2 0 40 651.306 144.303 0.048 -1.756
0 1 2 0 41 580.722 221.226 0.034 -0.696
0 1 2 0 42 615.464 189.291 0.032 -0.914
0 1 2 0 43 725.511 69.218 7.368 -346.709
0 1 2 0 44 598.655 202.936 0.026 -0.661
0 1 2 0 45 668.543 160.250 0.026 -0.908
0 1 2 0 46 665.692 186.594 0.021 -0.966
0 1 2 0 47 679.285 144.330 0.029 -1.335
0 1 2 0 48 587.636 248.879 0.017 -0.428
0 1 2 0 49 0.177 1745.941 0.003 0.290
0 1 2 0 50 656.065 141.106 0.039 -1.410
0 1 2 0 51 655.885 160.304 0.036 -1.199
0 1 2 1 0 2441.817 2365.899 0.004 -1.213
0 1 2 1 1 879.849 2476.692 0.002 -0.165
0 1 2 1 2 -13485.372 14329.493 0.011 2.037
0 1 2 1 3 789.140 2473.996 0.002 -0.125
0 1 2 1 4 -9357.247 10197.618 0.013 1.774
0 1 2 1 5 627.023 214.899 0.021 -0.747
0 1 2 1 6 -764.614 1643.385 0.008 0.962
0 1 2 1 7 651.147 155.372 0.032 -1.373
0 1 2 1 8 599.921 220.949 0.018 -0.545
0 1 2 1 9 639.314 166.919 0.030 -1.222
0 1 2 1 10 652.001 209.003 0.026 -1.113
0 1 2 1 11 619.566 187.443 0.028 -0.985
0 1 2 1 12 454.615 403.507 0.012 0.017
0 1 2 1 13 506.654 334.170 0.016 -0.196
0 1 2 1 14 -514.338 1893.871 0.003 0.561
