st pl ch r c p0 p1 p2 p3
1 1 0 0 0 452.837 51.409 0.098 -3.455
1 1 0 0 1 -1823.867 2373.716 0.051 0.362
1 1 0 0 2 445.991 25.085 0.473 -17.086
1 1 0 0 3 -1345.072 1855.292 0.048 0.388
1 1 0 0 4 -10162.794 10622.759 3.729 -132.835
1 1 0 0 5 225.053 1214.541 0.005 -0.012
1 1 0 0 6 -824.524 1376.502 0.040 0.387
1 1 0 0 7 2481.679 2076.335 0.045 -3.530
1 1 0 0 8 -76.726 748.450 0.022 0.275
1 1 0 0 9 456.620 45.409 0.338 -11.352
1 1 0 0 10 -54.015 639.768 0.024 0.183
1 1 0 0 11 -1458.262 2038.571 0.042 0.337
1 1 0 0 12 484.531 69.170 0.164 -5.350
1 1 0 0 13 493.496 52.539 0.249 -8.627
1 1 0 0 14 392.492 767.254 0.005 -0.076
1 1 0 0 15 487.612 616.216 0.012 -0.432
1 1 0 0 16 279.771 471.008 0.005 0.225
1 1 0 0 17 490.724 64.740 0.162 -5.648
1 1 0 0 18 299.337 1157.249 0.005 0.057
1 1 0 0 19 232.530 1129.881 0.005 0.066
1 1 0 0 20 891.641 1363.880 0.003 -0.445
1 1 0 0 21 430.264 70.376 0.107 -3.622
1 1 0 0 22 495.851 34.535 0.287 -9.777
1 1 0 0 23 -77.504 739.911 0.031 0.034
1 1 0 0 24 59.735 402.842 0.163 7.986
1 1 0 0 25 451.383 68.126 0.225 -7.479
1 1 0 0 26 506.552 65.360 0.151 -5.146
1 1 0 0 27 521.621 66.045 0.143 -4.701
1 1 0 0 28 436.415 739.071 0.006 -0.164
1 1 0 0 29 192.714 369.084 0.067 -1.112
1 1 0 0 30 294.945 2421.600 0.002 -0.022
1 1 0 0 31 223.366 1263.803 0.002 0.070
1 1 0 0 32 514.663 40.800 0.261 -9.021
1 1 0 0 33 496.563 3434.414 0.002 -0.070
1 1 0 0 34 331.563 1601.423 0.004 -0.037
1 1 0 0 35 489.089 52.354 0.454 -15.221
1 1 0 0 36 860.640 1278.148 0.004 -0.471
1 1 0 0 37 449.878 65.963 0.151 -5.139
1 1 0 0 38 -408.554 852.862 2.709 -88.746
1 1 0 0 39 963.093 -505.773 1.684 -52.876
1 1 0 0 40 80.217 380.827 0.158 5.820
1 1 0 0 41 492.447 504.128 0.003 -0.204
1 1 0 0 42 342.686 1444.516 0.003 0.008
1 1 0 0 43 530.478 50.306 0.278 -9.896
1 1 0 0 44 292.378 1574.423 0.004 -0.016
1 1 0 0 45 435.237 42.297 0.273 -9.006
1 1 0 0 46 190.248 300.149 0.154 8.138
1 1 0 0 47 489.106 79.334 0.118 -4.046
1 1 0 0 48 -168.894 697.095 0.215 -5.328
1 1 0 0 49 467.556 797.763 0.008 -0.218
1 1 0 0 50 186.041 516.261 0.049 -0.823
1 1 0 0 51 -38.894 581.599 0.151 -3.375
1 1 0 1 0 372.970 2945.574 0.002 -0.053
1 1 0 1 1 427.448 99.280 0.147 -4.699
1 1 0 1 2 466.612 77.098 0.203 -6.790
1 1 0 1 3 440.209 82.038 0.193 -6.326
1 1 0 1 4 447.152 67.549 0.224 -7.478
1 1 0 1 5 464.191 42.619 0.363 -12.482
1 1 0 1 6 455.897 2203.680 0.004 -0.126
1 1 0 1 7 443.639 89.767 0.160 -5.222
1 1 0 1 8 473.827 61.947 0.271 -9.138
1 1 0 1 9 458.614 68.262 0.208 -7.029
1 1 0 1 10 475.060 60.422 0.271 -9.167
1 1 0 1 11 428.841 90.792 0.184 -5.866
1 1 0 1 12 495.529 73.967 0.215 -7.154
1 1 0 1 13 504.286 2418.445 0.004 -0.140
1 1 0 1 14 3892.564 3510.346 0.048 -3.719
1 1 0 1 15 446.085 80.756 0.198 -6.502
1 1 0 1 16 509.103 2574.227 0.003 -0.130
1 1 0 1 17 432.234 1919.768 0.005 -0.145
1 1 0 1 18 524.366 74.085 0.242 -8.013
1 1 0 1 19 512.146 2709.201 0.003 -0.110
