st pl ch r c p0 p1 p2 p3
1 1 0 0 0 635.208 282.448 0.040 -2.250
1 1 0 0 1 628.964 294.873 0.044 -2.168
1 1 0 0 2 626.704 286.696 0.044 -2.409
1 1 0 0 3 620.057 298.277 0.044 -2.280
1 1 0 0 4 634.560 273.756 0.034 -2.235
1 1 0 0 5 625.445 295.878 0.044 -2.333
1 1 0 0 6 635.478 293.466 0.041 -2.111
1 1 0 0 7 637.110 294.525 0.045 -2.187
1 1 0 0 8 647.811 278.976 0.045 -2.219
1 1 0 0 9 635.781 295.438 0.044 -2.200
1 1 0 0 10 631.658 284.760 0.045 -2.411
1 1 0 0 11 634.707 290.759 0.043 -2.165
1 1 0 0 12 648.471 276.928 0.043 -2.154
1 1 0 0 13 628.969 302.538 0.042 -2.011
1 1 0 0 14 641.359 284.097 0.044 -2.292
1 1 0 0 15 624.089 310.686 0.041 -1.985
1 1 0 0 16 659.551 257.183 0.038 -2.437
1 1 0 0 17 634.004 297.775 0.043 -2.086
1 1 0 0 18 646.969 286.690 0.033 -1.731
1 1 0 0 19 646.332 293.200 0.030 -1.680
1 1 0 0 20 626.569 284.581 0.045 -2.353
1 1 0 0 21 613.810 306.641 0.043 -2.188
1 1 0 0 22 665.940 257.091 0.046 -2.403
1 1 0 0 23 639.586 294.361 0.041 -1.951
1 1 0 0 24 665.763 248.499 0.039 -2.493
1 1 0 0 25 636.849 293.889 0.042 -2.123
1 1 0 0 26 655.109 280.255 0.043 -2.085
1 1 0 0 27 647.303 294.499 0.042 -1.925
1 1 0 0 28 629.523 285.482 0.039 -2.170
1 1 0 0 29 643.687 277.917 0.045 -2.224
1 1 0 0 30 618.416 280.083 0.045 -2.434
1 1 0 0 31 614.449 289.602 0.041 -2.304
1 1 0 0 32 659.100 271.592 0.043 -2.112
1 1 0 0 33 651.745 282.190 0.047 -2.248
1 1 0 0 34 658.230 261.630 0.047 -2.334
1 1 0 0 35 634.501 292.442 0.043 -2.008
1 1 0 0 36 632.245 271.008 0.046 -2.451
1 1 0 0 37 624.722 288.952 0.043 -2.187
1 1 0 0 38 638.848 264.952 0.035 -2.368
1 1 0 0 39 638.612 271.148 0.034 -2.137
1 1 0 0 40 647.467 254.027 0.035 -2.370
1 1 0 0 41 644.051 259.815 0.039 -2.474
1 1 0 0 42 666.064 255.394 0.046 -2.343
1 1 0 0 43 625.917 306.438 0.039 -1.760
1 1 0 0 44 635.867 274.033 0.043 -2.308
1 1 0 0 45 606.354 313.030 0.038 -1.913
1 1 0 0 46 661.942 259.924 0.032 -1.884
1 1 0 0 47 631.912 300.540 0.040 -1.914
1 1 0 0 48 660.935 260.773 0.045 -2.340
