st pl ch r c p0 p1 p2 p3
0 0 0 0 0 510.512 330.018 0.028 -1.701
0 0 0 0 1 474.148 379.118 0.029 -1.312
0 0 0 0 2 515.761 318.200 0.036 -1.832
0 0 0 0 3 508.553 330.880 0.034 -1.713
0 0 0 0 4 512.612 322.020 0.035 -1.819
0 0 0 0 5 502.269 337.561 0.034 -1.638
0 0 0 0 6 517.528 332.638 0.036 -1.624
0 0 0 0 7 470.764 389.143 0.030 -1.211
0 0 0 0 8 508.124 330.818 0.034 -1.721
0 0 0 0 9 508.606 334.607 0.035 -1.683
0 0 0 0 10 523.473 313.879 0.037 -1.851
0 0 0 0 11 512.156 329.817 0.035 -1.713
0 0 0 0 12 517.591 326.914 0.037 -1.649
0 0 0 0 13 480.039 373.860 0.032 -1.358
0 0 0 0 14 500.696 341.571 0.034 -1.572
0 0 0 0 15 506.722 339.412 0.035 -1.544
0 0 0 0 16 523.714 318.466 0.036 -1.798
0 0 0 0 17 506.944 342.881 0.034 -1.597
0 0 0 0 18 513.516 333.266 0.036 -1.645
0 0 0 0 19 479.743 374.223 0.031 -1.375
0 0 0 0 20 513.934 323.964 0.036 -1.847
0 0 0 0 21 512.932 330.824 0.035 -1.703
0 0 0 0 22 517.930 322.779 0.036 -1.752
0 0 0 0 23 523.028 320.354 0.036 -1.739
0 0 0 0 24 517.238 309.992 0.038 -1.904
0 0 0 0 25 513.669 319.532 0.036 -1.780
0 0 0 0 26 522.221 312.371 0.037 -1.831
0 0 0 0 27 509.438 330.799 0.035 -1.599
0 0 0 0 28 530.877 313.487 0.038 -1.697
0 0 0 0 29 510.776 339.336 0.034 -1.495
0 0 0 0 30 517.416 330.549 0.035 -1.576
0 0 0 0 31 503.537 348.734 0.032 -1.365
0 0 0 0 32 525.245 314.780 0.038 -1.696
0 0 0 0 33 519.442 324.609 0.035 -1.587
0 0 0 0 34 518.352 334.779 0.034 -1.528
0 0 0 0 35 478.002 383.533 0.030 -1.116
0 0 0 0 36 528.471 309.177 0.037 -1.832
0 0 0 0 37 516.687 325.973 0.034 -1.680
0 0 0 0 38 525.791 312.500 0.037 -1.804
0 0 0 0 39 518.554 324.159 0.036 -1.692
0 0 0 0 40 521.895 309.272 0.038 -1.847
0 0 0 0 41 511.014 326.040 0.036 -1.628
0 0 0 0 42 537.390 316.784 0.037 -1.546
0 0 0 0 43 489.545 372.614 0.031 -1.193
0 0 0 0 44 518.304 318.920 0.037 -1.695
0 0 0 0 45 508.139 334.903 0.035 -1.577
0 0 0 0 46 529.558 315.378 0.037 -1.598
0 0 0 0 47 492.835 359.796 0.032 -1.261
0 0 0 0 48 518.520 321.713 0.034 -1.652
0 0 0 0 49 528.719 315.729 0.037 -1.706
0 0 0 0 50 527.512 313.241 0.036 -1.728
0 0 0 0 51 483.569 364.880 0.026 -1.268
0 0 0 1 0 501.091 340.762 0.026 -1.477
0 0 0 1 1 519.669 319.045 0.034 -1.786
0 0 0 1 2 502.933 325.645 0.032 -1.629
0 0 0 1 3 515.504 315.230 0.036 -1.838
0 0 0 1 4 503.329 323.346 0.032 -1.655
0 0 0 1 5 516.120 313.578 0.037 -1.818
0 0 0 1 6 515.307 326.468 0.033 -1.576
0 0 0 1 7 523.851 321.733 0.035 -1.738
0 0 0 1 8 504.493 325.813 0.033 -1.659
0 0 0 1 9 517.791 314.700 0.036 -1.857
0 0 0 1 10 508.834 319.832 0.034 -1.643
0 0 0 1 11 520.058 313.143 0.036 -1.882
0 0 0 1 12 515.472 319.295 0.034 -1.620
0 0 0 1 13 526.045 313.520 0.036 -1.794
0 0 0 1 14 509.503 322.015 0.034 -1.602
0 0 0 1 15 517.280 318.230 0.036 -1.787
0 0 0 1 16 509.338 327.722 0.032 -1.621
0 0 0 1 17 517.821 322.487 0.035 -1.756
0 0 0 1 18 506.607 331.931 0.033 -1.532
0 0 0 1 19 520.892 319.655 0.036 -1.768
0 0 0 1 20 510.698 317.960 0.034 -1.685
0 0 0 1 21 521.804 311.324 0.038 -1.831
0 0 0 1 22 505.164 327.053 0.033 -1.574
0 0 0 1 23 524.857 307.246 0.038 -1.825
0 0 0 1 24 498.662 320.061 0.033 -1.658
0 0 0 1 25 517.631 304.715 0.037 -1.919
0 0 0 1 26 513.418 310.981 0.034 -1.646
0 0 0 1 27 516.863 311.774 0.037 -1.830
0 0 0 1 28 520.104 315.753 0.035 -1.525
0 0 0 1 29 528.344 310.403 0.038 -1.758
0 0 0 1 30 523.135 314.819 0.034 -1.492
0 0 0 1 31 524.952 316.959 0.036 -1.640
0 0 0 1 32 513.056 316.329 0.033 -1.604
0 0 0 1 33 532.833 300.722 0.038 -1.782
0 0 0 1 34 523.976 319.547 0.034 -1.455
0 0 0 1 35 534.219 312.850 0.037 -1.603
0 0 0 1 36 515.904 313.245 0.035 -1.632
0 0 0 1 37 524.428 309.702 0.037 -1.849
0 0 0 1 38 515.626 312.969 0.034 -1.684
0 0 0 1 39 525.824 306.400 0.038 -1.873
0 0 0 1 40 508.090 313.884 0.034 -1.690
0 0 0 1 41 523.911 302.673 0.039 -1.840
0 0 0 1 42 531.095 313.995 0.035 -1.417
0 0 0 1 43 532.633 315.018 0.037 -1.644
0 0 0 1 44 514.528 313.323 0.034 -1.627
0 0 0 1 45 523.973 307.334 0.037 -1.771
0 0 0 1 46 519.801 315.968 0.034 -1.533
0 0 0 1 47 527.282 311.459 0.036 -1.678
0 0 0 1 48 519.365 311.355 0.034 -1.568
0 0 0 1 49 530.834 301.886 0.038 -1.823
0 0 0 1 50 516.514 316.794 0.033 -1.637
0 0 0 1 51 519.504 316.653 0.031 -1.665
0 0 0 2 0 471.154 367.260 0.025 -1.270
0 0 0 2 1 493.953 339.083 0.031 -1.432
0 0 0 2 2 490.281 330.952 0.032 -1.554
0 0 0 2 3 490.567 333.614 0.031 -1.512
0 0 0 2 4 488.429 331.699 0.032 -1.519
0 0 0 2 5 499.245 322.740 0.032 -1.646
0 0 0 2 6 502.305 334.608 0.033 -1.404
0 0 0 2 7 498.705 341.763 0.031 -1.430
0 0 0 2 8 489.167 334.283 0.032 -1.554
0 0 0 2 9 502.382 322.606 0.033 -1.614
0 0 0 2 10 494.587 329.126 0.033 -1.565
0 0 0 2 11 503.389 321.667 0.032 -1.658
0 0 0 2 12 486.949 344.776 0.032 -1.347
0 0 0 2 13 498.947 334.953 0.032 -1.438
0 0 0 2 14 481.382 345.499 0.032 -1.423
0 0 0 2 15 509.716 316.253 0.034 -1.626
0 0 0 2 16 501.129 328.672 0.033 -1.509
0 0 0 2 17 509.848 321.730 0.034 -1.534
0 0 0 2 18 502.001 329.173 0.033 -1.500
0 0 0 2 19 511.148 321.364 0.034 -1.559
0 0 0 2 20 494.312 329.114 0.032 -1.607
0 0 0 2 21 499.877 326.148 0.032 -1.628
0 0 0 2 22 488.228 337.853 0.032 -1.441
0 0 0 2 23 507.281 318.219 0.034 -1.584
0 0 0 2 24 491.700 319.186 0.033 -1.615
0 0 0 2 25 503.137 310.084 0.034 -1.664
0 0 0 2 26 506.397 310.904 0.034 -1.599
0 0 0 2 27 504.771 314.503 0.033 -1.575
0 0 0 2 28 492.267 338.078 0.032 -1.389
0 0 0 2 29 512.194 318.412 0.034 -1.481
0 0 0 2 30 503.711 329.003 0.032 -1.366
0 0 0 2 31 515.843 318.549 0.034 -1.394
0 0 0 2 32 486.347 339.014 0.031 -1.417
0 0 0 2 33 510.144 315.779 0.034 -1.498
0 0 0 2 34 509.434 329.140 0.032 -1.312
0 0 0 2 35 503.809 337.293 0.031 -1.370
0 0 0 2 36 500.849 322.407 0.033 -1.541
0 0 0 2 37 505.057 320.775 0.033 -1.537
0 0 0 2 38 502.235 320.189 0.034 -1.598
0 0 0 2 39 503.619 321.670 0.032 -1.590
0 0 0 2 40 497.399 318.485 0.034 -1.584
0 0 0 2 41 504.181 313.683 0.034 -1.605
0 0 0 2 42 495.046 347.008 0.030 -1.263
0 0 0 2 43 515.789 327.072 0.032 -1.322
0 0 0 2 44 501.538 320.668 0.033 -1.507
0 0 0 2 45 501.354 323.647 0.032 -1.527
0 0 0 2 46 502.157 328.401 0.032 -1.456
0 0 0 2 47 508.706 323.821 0.033 -1.423
0 0 0 2 48 507.805 318.196 0.033 -1.416
0 0 0 2 49 511.644 316.430 0.033 -1.496
0 0 0 2 50 486.035 343.791 0.031 -1.353
0 0 0 2 51 483.816 353.660 0.025 -1.295
0 0 0 3 0 504.966 339.073 0.030 -1.588
0 0 0 3 1 510.934 338.086 0.035 -1.622
0 0 0 3 2 522.829 311.151 0.038 -1.909
0 0 0 3 3 517.313 323.252 0.037 -1.778
0 0 0 3 4 524.098 309.644 0.040 -1.943
0 0 0 3 5 518.007 321.247 0.038 -1.801
0 0 0 3 6 512.876 339.614 0.037 -1.575
0 0 0 3 7 513.711 343.888 0.035 -1.516
0 0 0 3 8 521.542 315.257 0.037 -1.961
0 0 0 3 9 518.077 325.020 0.037 -1.828
0 0 0 3 10 524.093 313.329 0.038 -1.892
0 0 0 3 11 522.209 321.666 0.038 -1.720
0 0 0 3 12 528.241 315.367 0.038 -1.783
0 0 0 3 13 521.546 329.206 0.037 -1.621
0 0 0 3 14 525.409 313.971 0.040 -1.893
0 0 0 3 15 522.118 321.575 0.039 -1.728
0 0 0 3 16 528.841 315.483 0.039 -1.891
0 0 0 3 17 520.065 328.966 0.037 -1.705
0 0 0 3 18 526.767 319.092 0.039 -1.835
0 0 0 3 19 517.301 333.689 0.037 -1.591
0 0 0 3 20 521.421 317.724 0.039 -1.818
0 0 0 3 21 516.124 326.555 0.037 -1.691
0 0 0 3 22 522.778 317.723 0.038 -1.763
0 0 0 3 23 521.652 323.880 0.038 -1.673
0 0 0 3 24 516.475 311.265 0.038 -1.903
0 0 0 3 25 521.524 312.550 0.039 -1.778
0 0 0 3 26 526.691 305.346 0.038 -1.921
0 0 0 3 27 522.186 317.741 0.039 -1.730
0 0 0 3 28 531.440 312.775 0.039 -1.755
0 0 0 3 29 523.762 327.495 0.037 -1.531
0 0 0 3 30 533.515 313.849 0.038 -1.645
0 0 0 3 31 500.119 353.793 0.034 -1.391
0 0 0 3 32 530.521 307.830 0.040 -1.851
0 0 0 3 33 518.138 328.224 0.037 -1.542
0 0 0 3 34 531.306 322.104 0.037 -1.525
0 0 0 3 35 512.482 346.952 0.034 -1.321
0 0 0 3 36 531.664 306.099 0.039 -1.870
0 0 0 3 37 513.850 331.418 0.036 -1.631
0 0 0 3 38 532.107 305.385 0.040 -1.935
0 0 0 3 39 525.825 315.149 0.037 -1.806
0 0 0 3 40 527.354 302.791 0.040 -1.978
0 0 0 3 41 524.966 310.532 0.039 -1.820
0 0 0 3 42 530.047 324.528 0.037 -1.535
0 0 0 3 43 519.037 341.851 0.035 -1.341
0 0 0 3 44 528.942 307.913 0.039 -1.803
0 0 0 3 45 516.308 325.701 0.036 -1.667
0 0 0 3 46 529.042 316.076 0.037 -1.676
0 0 0 3 47 517.467 333.065 0.036 -1.488
0 0 0 3 48 529.242 310.663 0.039 -1.748
0 0 0 3 49 507.622 340.057 0.035 -1.497
0 0 0 3 50 532.117 311.444 0.039 -1.740
0 0 0 3 51 510.898 333.724 0.032 -1.626
0 0 0 4 0 494.882 346.560 0.027 -1.443
0 0 0 4 1 513.961 325.820 0.033 -1.729
0 0 0 4 2 503.328 324.521 0.032 -1.612
0 0 0 4 3 516.585 314.956 0.035 -1.866
0 0 0 4 4 502.216 324.324 0.033 -1.615
0 0 0 4 5 517.358 312.359 0.037 -1.863
0 0 0 4 6 515.555 327.047 0.033 -1.548
0 0 0 4 7 517.134 330.001 0.036 -1.613
0 0 0 4 8 503.084 326.484 0.033 -1.613
0 0 0 4 9 519.040 314.124 0.036 -1.853
0 0 0 4 10 504.829 325.435 0.033 -1.634
0 0 0 4 11 525.250 306.381 0.037 -1.891
0 0 0 4 12 516.615 318.050 0.033 -1.649
0 0 0 4 13 538.087 300.899 0.039 -1.786
0 0 0 4 14 514.407 316.349 0.034 -1.637
0 0 0 4 15 521.321 313.032 0.037 -1.831
0 0 0 4 16 506.892 330.171 0.033 -1.564
0 0 0 4 17 524.032 315.845 0.037 -1.781
0 0 0 4 18 512.859 324.151 0.034 -1.612
0 0 0 4 19 521.972 318.902 0.036 -1.828
0 0 0 4 20 509.470 318.919 0.033 -1.698
0 0 0 4 21 515.251 318.286 0.035 -1.816
0 0 0 4 22 505.379 325.896 0.033 -1.565
0 0 0 4 23 520.755 313.877 0.036 -1.807
0 0 0 4 24 501.424 315.548 0.034 -1.667
0 0 0 4 25 518.567 303.554 0.038 -1.920
0 0 0 4 26 512.242 312.065 0.034 -1.675
0 0 0 4 27 527.278 300.046 0.039 -1.867
0 0 0 4 28 516.733 318.122 0.034 -1.550
0 0 0 4 29 528.556 309.528 0.037 -1.776
0 0 0 4 30 521.522 316.169 0.034 -1.532
0 0 0 4 31 528.789 312.632 0.037 -1.649
0 0 0 4 32 514.493 315.434 0.034 -1.602
0 0 0 4 33 524.308 308.995 0.037 -1.744
0 0 0 4 34 523.820 318.851 0.033 -1.506
0 0 0 4 35 528.525 317.584 0.036 -1.632
