st pl ch r c p0 p1 p2 p3
0 0 0 0 0 265.633 42.861 0.312 -9.283
0 0 0 0 1 340.808 38.547 0.419 -13.288
0 0 0 0 2 451.775 1576.791 0.004 -0.209
0 0 0 0 3 1375.566 1520.597 0.008 -1.089
0 0 0 0 4 1572.795 1582.047 0.011 -1.435
0 0 0 0 5 446.155 1937.051 0.004 -0.170
0 0 0 0 6 135.058 197.969 95200.401 3467.854
0 0 0 0 7 289.277 3027.962 0.003 -0.056
0 0 0 0 8 -474252.730 501514.314 0.000 1.791
0 0 0 0 9 560.874 1730.133 0.004 -0.254
0 0 0 0 10 444.406 1723.283 0.004 -0.180
0 0 0 0 11 456.942 2026.118 0.003 -0.159
0 0 0 0 12 369.940 2240.626 0.003 -0.102
0 0 0 0 13 420.806 2321.668 0.003 -0.133
0 0 0 0 14 897.948 1689.778 0.004 -0.475
0 0 0 0 15 573.304 1731.271 0.004 -0.262
0 0 0 0 16 3106.812 2824.894 0.109 -5.735
0 0 0 0 17 479.833 1831.279 0.004 -0.189
0 0 0 0 18 427.376 2168.448 0.003 -0.143
0 0 0 0 19 414.913 1930.509 0.004 -0.168
0 0 0 0 20 2479.328 2218.533 0.109 -5.643
0 0 0 0 21 336.428 1965.681 0.003 -0.102
0 0 0 0 22 369.807 2368.694 0.003 -0.106
0 0 0 0 23 390.891 2435.935 0.003 -0.110
0 0 0 0 24 408.507 1829.689 0.003 -0.142
0 0 0 0 25 345.742 2107.072 0.003 -0.098
0 0 0 0 26 308.758 2352.411 0.002 -0.064
0 0 0 0 27 445.893 2019.722 0.003 -0.144
0 0 0 0 28 256.241 3221.989 0.002 -0.030
0 0 0 0 29 313.452 3114.953 0.002 -0.049
0 0 0 0 30 535.974 1728.128 0.004 -0.224
0 0 0 0 31 264.251 3063.003 0.002 -0.031
0 0 0 0 32 270.913 2871.909 0.002 -0.034
0 0 0 0 33 533.695 1710.808 0.004 -0.233
0 0 0 0 34 546.135 1835.874 0.004 -0.220
0 0 0 0 35 345.358 3339.983 0.003 -0.066
0 0 0 0 36 310.739 2357.755 0.002 -0.058
0 0 0 0 37 331.692 2317.140 0.003 -0.078
0 0 0 0 38 328.600 2036.397 0.003 -0.087
0 0 0 0 39 306.865 2504.135 0.002 -0.060
0 0 0 0 40 349.566 1880.291 0.003 -0.107
0 0 0 0 41 546.116 1701.658 0.004 -0.241
0 0 0 0 42 326.774 2994.300 0.002 -0.050
0 0 0 0 43 554.391 2494.192 0.003 -0.168
0 0 0 0 44 350.027 2216.797 0.003 -0.082
0 0 0 0 45 128.337 198.474 339341.279 12377.961
0 0 0 0 46 530.113 2099.678 0.004 -0.182
0 0 0 0 47 159.098 207.773 26718.074 962.484
0 0 0 0 48 351.533 1819.127 0.004 -0.113
0 0 0 0 49 567.549 1791.755 0.004 -0.246
0 0 0 0 50 376.435 2147.487 0.003 -0.109
0 0 0 0 51 317.722 1624.695 0.002 -0.067
0 0 0 1 0 -514.197 3178.729 0.002 0.195
0 0 0 1 1 456.322 1680.392 0.004 -0.197
0 0 0 1 2 438.495 1721.965 0.004 -0.191
0 0 0 1 3 460.043 1595.530 0.004 -0.214
