st pl ch r c p0 p1 p2 p3
0 0 0 0 0 550.108 333.770 0.039 -1.370
0 0 0 0 1 488.858 391.895 0.030 -1.009
0 0 0 0 2 386.539 505.313 0.026 -0.571
0 0 0 0 3 339.291 559.097 0.024 -0.440
0 0 0 0 4 446.379 444.650 0.028 -0.727
0 0 0 0 5 361.839 533.448 0.026 -0.430
0 0 0 0 6 535.892 340.177 0.036 -1.238
0 0 0 0 7 561.320 315.296 0.039 -1.422
0 0 0 0 8 523.191 352.737 0.031 -1.128
0 0 0 0 9 499.626 375.478 0.031 -1.095
0 0 0 0 10 530.218 346.990 0.036 -1.253
0 0 0 0 11 436.479 448.297 0.031 -0.804
0 0 0 0 12 525.719 354.764 0.035 -1.138
0 0 0 0 13 419.028 463.535 0.028 -0.738
0 0 0 0 14 485.149 401.785 0.032 -0.938
0 0 0 0 15 445.368 442.531 0.031 -0.817
0 0 0 0 16 493.315 382.025 0.031 -1.009
0 0 0 0 17 432.598 450.406 0.031 -0.745
0 0 0 0 18 452.704 445.141 0.030 -0.710
0 0 0 0 19 312.488 591.043 0.026 -0.367
0 0 0 0 20 569.011 303.425 0.039 -1.362
0 0 0 0 21 515.308 358.673 0.031 -1.149
0 0 0 0 22 521.914 364.297 0.033 -0.925
0 0 0 0 23 237.589 655.576 0.024 -0.249
0 0 0 0 24 490.277 395.065 0.032 -0.872
0 0 0 0 25 472.933 411.972 0.029 -0.837
0 0 0 0 26 429.125 458.415 0.030 -0.707
0 0 0 0 27 407.583 483.510 0.029 -0.602
0 0 0 0 28 388.138 501.580 0.026 -0.524
0 0 0 0 29 423.227 468.389 0.026 -0.645
0 0 0 0 30 537.888 325.653 0.036 -1.384
0 0 0 0 31 501.069 367.352 0.034 -1.132
0 0 0 0 32 494.089 378.426 0.030 -0.954
0 0 0 0 33 580.838 289.291 0.036 -1.363
0 0 0 0 34 598.629 280.335 0.036 -1.283
0 0 0 0 35 521.526 367.651 0.031 -0.736
0 0 0 0 36 424.057 469.532 0.025 -0.401
0 0 0 0 37 173.177 726.915 0.022 -0.067
0 0 0 0 38 467.339 420.560 0.027 -0.657
0 0 0 0 39 360.761 536.169 0.026 -0.407
0 0 0 0 40 527.602 348.845 0.034 -1.090
0 0 0 0 41 486.346 394.293 0.031 -0.966
