st pl ch r c p0 p1 p2 p3
0 1 0 0 0 641.415 220.897 0.042 -2.648
0 1 0 0 1 469.647 439.812 0.027 -0.971
0 1 0 0 2 451.481 460.048 0.027 -0.906
0 1 0 0 3 464.974 452.927 0.027 -0.886
0 1 0 0 4 515.344 392.201 0.029 -1.142
0 1 0 0 5 344.252 572.555 0.024 -0.682
0 1 0 0 6 398.721 512.075 0.026 -0.820
0 1 0 0 7 -17.143 948.756 0.021 -0.099
0 1 0 0 8 541.351 360.379 0.031 -1.325
0 1 0 0 9 602.898 292.789 0.035 -1.687
0 1 0 0 10 305.235 613.612 0.025 -0.590
0 1 0 0 11 296.788 626.904 0.025 -0.484
0 1 0 0 12 290.589 631.227 0.024 -0.546
0 1 0 0 13 -82.722 1011.786 0.022 -0.127
0 1 0 0 14 390.039 537.035 0.024 -0.625
0 1 0 0 15 -126.397 1061.422 0.020 0.005
0 1 0 0 16 438.177 488.936 0.026 -0.744
0 1 0 0 17 102.949 834.251 0.021 -0.143
0 1 0 0 18 473.456 427.293 0.028 -1.054
0 1 0 0 19 376.672 527.197 0.027 -0.817
0 1 0 0 20 536.324 374.186 0.029 -1.147
0 1 0 0 21 514.135 397.839 0.028 -1.003
0 1 0 0 22 619.340 278.257 0.037 -1.827
0 1 0 0 23 176.279 749.311 0.023 -0.312
0 1 0 0 24 568.723 326.812 0.034 -1.491
0 1 0 0 25 361.279 550.714 0.025 -0.699
0 1 0 0 26 275.249 646.285 0.025 -0.488
0 1 0 0 27 -18.243 947.363 0.022 -0.099
0 1 0 0 28 639.730 251.325 0.040 -1.919
0 1 0 0 29 516.153 392.258 0.028 -1.014
0 1 0 0 30 479.748 433.557 0.027 -0.837
0 1 0 0 31 -285.286 1211.631 0.021 0.083
0 1 0 0 32 230.146 689.630 0.024 -0.426
0 1 0 0 33 384.591 538.318 0.023 -0.514
0 1 0 0 34 545.505 366.168 0.028 -1.056
0 1 0 0 35 619.433 286.558 0.034 -1.471
0 1 0 0 36 447.179 459.774 0.027 -0.886
0 1 0 0 37 551.235 340.828 0.033 -1.470
0 1 0 0 38 352.122 568.706 0.024 -0.627
0 1 0 0 39 -187.746 1118.280 0.021 -0.024
0 1 0 0 40 542.866 370.726 0.027 -1.004
0 1 0 0 41 402.613 511.133 0.024 -0.656
0 1 0 0 42 566.103 322.469 0.034 -1.593
0 1 0 0 43 521.999 368.796 0.030 -1.320
0 1 0 0 44 432.384 479.012 0.025 -0.762
0 1 0 0 45 183.330 732.270 0.023 -0.368
0 1 0 0 46 485.162 428.532 0.027 -0.907
0 1 0 0 47 551.760 357.539 0.028 -1.053
0 1 0 0 48 579.064 306.923 0.034 -1.709
0 1 0 0 49 392.462 514.770 0.025 -0.752
0 1 0 0 50 544.915 355.968 0.029 -1.253
0 1 0 0 51 563.861 349.356 0.021 -0.972
0 1 0 1 0 533.635 362.279 0.025 -1.214
0 1 0 1 1 498.235 406.696 0.029 -1.125
0 1 0 1 2 528.228 379.787 0.027 -1.173
0 1 0 1 3 477.909 435.308 0.028 -0.970
0 1 0 1 4 555.854 349.786 0.030 -1.287
0 1 0 1 5 444.692 470.045 0.026 -0.908
0 1 0 1 6 502.195 408.556 0.026 -1.000
0 1 0 1 7 507.415 404.340 0.029 -1.074
0 1 0 1 8 507.704 399.894 0.027 -1.033
0 1 0 1 9 509.080 400.036 0.029 -1.044
0 1 0 1 10 440.662 479.023 0.025 -0.736
0 1 0 1 11 492.786 422.291 0.028 -0.962
0 1 0 1 12 487.574 425.272 0.026 -0.906
0 1 0 1 13 506.993 405.133 0.029 -1.074
0 1 0 1 14 485.707 435.412 0.025 -0.847
0 1 0 1 15 454.723 466.765 0.027 -0.842
0 1 0 1 16 366.401 563.032 0.023 -0.506
0 1 0 1 17 551.644 366.235 0.030 -1.178
0 1 0 1 18 479.829 423.266 0.026 -0.965
0 1 0 1 19 550.378 345.727 0.032 -1.439
0 1 0 1 20 501.223 409.792 0.027 -0.996
0 1 0 1 21 357.479 558.029 0.026 -0.673
0 1 0 1 22 534.874 378.025 0.028 -1.062
0 1 0 1 23 484.214 431.520 0.027 -0.973
0 1 0 1 24 504.373 399.830 0.027 -1.069
0 1 0 1 25 514.052 389.359 0.030 -1.170
0 1 0 1 26 466.912 445.665 0.026 -0.841
0 1 0 1 27 435.625 477.714 0.027 -0.852
0 1 0 1 28 553.670 346.972 0.030 -1.211
0 1 0 1 29 402.795 508.415 0.027 -0.745
0 1 0 1 30 576.135 323.087 0.032 -1.316
0 1 0 1 31 363.930 550.173 0.026 -0.610
0 1 0 1 32 543.419 366.023 0.028 -1.053
0 1 0 1 33 503.038 408.255 0.029 -1.019
0 1 0 1 34 398.711 517.834 0.024 -0.621
0 1 0 1 35 497.146 415.745 0.028 -0.929
0 1 0 1 36 513.084 392.394 0.027 -1.074
0 1 0 1 37 538.863 361.000 0.031 -1.339
0 1 0 1 38 398.031 520.095 0.024 -0.620
0 1 0 1 39 516.017 395.641 0.029 -1.049
0 1 0 1 40 595.605 302.128 0.033 -1.528
0 1 0 1 41 485.841 426.363 0.028 -0.916
0 1 0 1 42 501.083 398.655 0.026 -1.053
0 1 0 1 43 550.588 338.193 0.033 -1.494
