st pl ch r c p0 p1 p2 p3
0 1 0 0 0 187.596 261.973 0.122 7.261
0 1 0 0 1 187.294 2379.687 0.006 -0.089
0 1 0 0 2 167.984 2178.309 0.005 -0.044
0 1 0 0 3 -2987.237 3574.634 0.085 -0.756
0 1 0 0 4 188.136 1886.519 0.002 0.068
0 1 0 0 5 -869.901 1506.916 0.035 0.139
0 1 0 0 6 369.324 2367.719 0.003 -0.062
0 1 0 0 7 462.308 2676.901 0.005 -0.163
0 1 0 0 8 202.382 2287.989 0.004 -0.035
0 1 0 0 9 -351.958 1006.115 0.041 -0.266
0 1 0 0 10 71.461 425.987 7428.060 12.842
0 1 0 0 11 463.802 2505.329 0.005 -0.136
0 1 0 0 12 647.111 3040.390 0.003 -0.148
0 1 0 0 13 -19.662 919.819 0.025 -0.217
0 1 0 0 14 268.136 1993.981 0.007 -0.125
0 1 0 0 15 527.079 3357.236 0.003 -0.120
0 1 0 0 16 249.293 2127.560 0.005 -0.044
0 1 0 0 17 328.839 3168.698 0.002 -0.002
0 1 0 0 18 192.840 1816.827 0.006 -0.054
0 1 0 0 19 391.682 2673.286 0.003 -0.086
0 1 0 0 20 306.659 2572.695 0.003 -0.037
0 1 0 0 21 274.020 2486.283 0.004 -0.033
0 1 0 0 22 234.546 1955.582 0.006 -0.079
0 1 0 0 23 293.864 355.266 0.028 -0.170
0 1 0 0 24 724.557 269.995 0.281 -11.775
0 1 0 0 25 370.659 2893.418 0.002 -0.034
0 1 0 0 26 1151.847 2535.281 0.005 -0.417
0 1 0 0 27 323.171 1887.811 0.009 -0.190
0 1 0 0 28 397.829 2787.818 0.004 -0.085
0 1 0 0 29 479.718 69.090 0.255 -8.540
0 1 0 0 30 263.774 2353.936 0.002 0.044
0 1 0 0 31 426.980 1916.952 0.007 -0.189
0 1 0 0 32 519.897 2481.716 0.004 -0.158
0 1 0 0 33 475.827 2302.659 0.004 -0.119
0 1 0 0 34 414.794 3189.612 0.002 -0.054
0 1 0 0 35 480.137 207.349 0.080 -2.507
0 1 0 0 36 249.274 1739.464 0.002 0.052
0 1 0 0 37 196.017 1278.726 0.003 0.077
0 1 0 0 38 666.415 2663.910 0.003 -0.161
0 1 0 0 39 260.293 962.234 0.017 -0.303
0 1 0 0 40 467.368 2000.051 0.006 -0.174
0 1 0 0 41 301.381 3289.003 0.003 -0.031
0 1 0 0 42 188.893 1481.461 0.005 -0.011
0 1 0 0 43 185.372 2096.219 0.002 0.048
0 1 0 0 44 306.127 1589.787 0.006 -0.103
0 1 0 0 45 587.838 2355.514 0.004 -0.160
0 1 0 0 46 -122.567 4162.751 0.002 0.068
0 1 0 0 47 231.064 1675.335 0.003 0.083
0 1 0 0 48 317.376 284.893 0.051 -1.345
0 1 0 0 49 208.237 1803.095 0.002 0.076
0 1 0 0 50 -846.885 1319.398 0.716 -18.866
0 1 0 0 51 188.491 405.385 0.069 -0.578
0 1 0 1 0 233.317 983.098 0.010 -0.141
0 1 0 1 1 470.077 2777.959 0.004 -0.135
0 1 0 1 2 427.170 91.686 0.176 -5.771
0 1 0 1 3 450.258 112.099 0.146 -4.679
0 1 0 1 4 637.761 3178.585 0.002 -0.137
0 1 0 1 5 304.020 1236.652 0.011 -0.271
0 1 0 1 6 461.097 65.206 0.244 -8.204
0 1 0 1 7 1037.188 3123.380 0.004 -0.306
0 1 0 1 8 284.938 1428.308 0.009 -0.176
0 1 0 1 9 471.228 73.507 0.279 -9.055
0 1 0 1 10 460.458 119.675 0.156 -4.948
0 1 0 1 11 2395.028 3511.632 0.004 -0.753
0 1 0 1 12 381.216 1756.801 0.008 -0.203
0 1 0 1 13 457.868 110.827 0.144 -4.664
0 1 0 1 14 665.040 2622.160 0.004 -0.195
0 1 0 1 15 690.295 2451.373 0.005 -0.256
0 1 0 1 16 2926.088 3249.226 0.008 -1.207
0 1 0 1 17 3809.554 3788.510 0.012 -1.756
0 1 0 1 18 445.127 63.750 0.307 -10.187
0 1 0 1 19 415.715 84.503 0.177 -5.720
0 1 0 1 20 360.941 619.209 0.024 -0.643
0 1 0 1 21 497.719 1992.074 0.007 -0.233
0 1 0 1 22 469.846 69.473 0.272 -8.826
0 1 0 1 23 451.018 80.309 0.240 -7.812
0 1 0 1 24 -2809.874 3358.885 0.088 -0.834
0 1 0 1 25 668.999 3096.286 0.004 -0.211
0 1 0 1 26 471.670 95.475 0.182 -5.776
0 1 0 1 27 801.637 2374.920 0.004 -0.284
0 1 0 1 28 660.972 2445.531 0.005 -0.243
0 1 0 1 29 2292.706 3051.066 0.005 -0.864
0 1 0 1 30 3267.857 3427.143 0.008 -1.371
0 1 0 1 31 431.882 419.761 0.034 -0.974
0 1 0 1 32 444.323 1002.569 0.012 -0.364
0 1 0 1 33 3130.426 3389.974 0.009 -1.344
0 1 0 1 34 4253.034 3948.195 0.034 -2.943
0 1 0 1 35 766.026 2354.008 0.005 -0.280
0 1 0 1 36 397.734 165.711 0.105 -3.130
0 1 0 1 37 554.197 3683.403 0.002 -0.110
0 1 0 1 38 1023.923 2516.291 0.005 -0.370
0 1 0 1 39 442.959 158.040 0.105 -3.178
0 1 0 1 40 488.071 52.762 0.349 -11.768
0 1 0 1 41 854.982 2265.483 0.006 -0.359
0 1 0 1 42 373.581 3877.254 0.002 -0.060
0 1 0 1 43 1113.977 2564.172 0.003 -0.380
0 1 0 1 44 410.770 178.875 0.112 -3.190
0 1 0 1 45 410.959 1350.246 0.010 -0.273
0 1 0 1 46 748.584 2948.650 0.004 -0.207
0 1 0 1 47 550.572 2452.484 0.004 -0.160
0 1 0 1 48 251.428 1388.667 0.008 -0.133
0 1 0 1 49 -408.057 974.686 0.056 -0.588
0 1 0 1 50 -266.603 946.670 0.038 -0.203
0 1 0 1 51 -8630.487 9155.262 0.072 0.337
0 1 0 2 0 187.016 1204.090 0.007 -0.012
0 1 0 2 1 600.834 2732.135 0.005 -0.206
0 1 0 2 2 468.843 1886.576 0.007 -0.240
0 1 0 2 3 417.288 2077.725 0.006 -0.179
0 1 0 2 4 79.754 468.827 0.082 -1.679
0 1 0 2 5 436.703 80.815 0.232 -7.466
0 1 0 2 6 456.495 88.878 0.211 -6.720
0 1 0 2 7 458.087 57.897 0.347 -11.422
0 1 0 2 8 471.671 55.493 0.437 -14.404
0 1 0 2 9 444.460 62.654 0.378 -12.218
0 1 0 2 10 515.819 2489.014 0.005 -0.163
0 1 0 2 11 637.750 1838.376 0.007 -0.314
0 1 0 2 12 583.978 1869.217 0.007 -0.264
0 1 0 2 13 373.097 1876.568 0.006 -0.156
0 1 0 2 14 748.592 2460.562 0.005 -0.267
0 1 0 2 15 782.652 1926.187 0.007 -0.374
0 1 0 2 16 511.579 2041.428 0.006 -0.184
0 1 0 2 17 520.018 75.676 0.283 -9.152
0 1 0 2 18 406.226 1313.918 0.010 -0.287
0 1 0 2 19 442.461 75.127 0.271 -8.769
0 1 0 2 20 3294.107 3421.379 0.009 -1.452
0 1 0 2 21 1112.281 2367.037 0.005 -0.434
0 1 0 2 22 592.521 2352.112 0.004 -0.178
0 1 0 2 23 459.202 2151.943 0.006 -0.176
0 1 0 2 24 470.418 2081.965 0.006 -0.189
0 1 0 2 25 560.866 2027.994 0.007 -0.261
0 1 0 2 26 663.239 1593.446 0.008 -0.355
0 1 0 2 27 724.293 2464.987 0.005 -0.265
0 1 0 2 28 2643.671 2901.047 0.008 -1.209
0 1 0 2 29 384.760 1965.594 0.006 -0.150
0 1 0 2 30 3163.827 3347.629 0.009 -1.382
0 1 0 2 31 2210.191 2697.618 0.007 -0.979
0 1 0 2 32 508.737 73.830 0.281 -9.183
0 1 0 2 33 509.742 69.232 0.287 -9.318
0 1 0 2 34 4103.427 3777.294 0.037 -3.092
0 1 0 2 35 1626.595 1382.824 0.025 -2.000
0 1 0 2 36 1039.410 2628.609 0.004 -0.351
0 1 0 2 37 397.874 1794.061 0.006 -0.179
0 1 0 2 38 1892.921 1562.326 0.035 -2.580
0 1 0 2 39 474.418 84.770 0.192 -6.202
0 1 0 2 40 1008.641 2707.847 0.004 -0.315
0 1 0 2 41 531.392 2089.322 0.006 -0.214
0 1 0 2 42 386.769 1853.811 0.007 -0.196
0 1 0 2 43 1294.383 2603.484 0.004 -0.479
0 1 0 2 44 494.527 64.331 0.267 -8.781
0 1 0 2 45 467.917 77.331 0.253 -8.107
0 1 0 2 46 2622.919 2995.520 0.007 -1.128
0 1 0 2 47 884.396 2400.964 0.004 -0.297
0 1 0 2 48 480.996 2013.788 0.005 -0.157
0 1 0 2 49 336.482 2224.116 0.005 -0.117
0 1 0 2 50 692.510 2129.068 0.005 -0.247
0 1 0 2 51 380.649 2252.457 0.003 -0.050
0 1 0 3 0 152.089 371.408 0.053 -0.624
0 1 0 3 1 483.605 2547.693 0.006 -0.203
0 1 0 3 2 1020.878 3134.890 0.004 -0.303
0 1 0 3 3 489.294 2095.194 0.008 -0.259
0 1 0 3 4 977.476 1960.254 0.007 -0.533
0 1 0 3 5 466.274 122.201 0.160 -5.435
0 1 0 3 6 1016.786 3295.465 0.003 -0.284
0 1 0 3 7 500.715 74.288 0.326 -11.262
0 1 0 3 8 284.470 1474.774 0.011 -0.250
0 1 0 3 9 -2519.669 3116.196 0.063 -0.219
0 1 0 3 10 404.009 206.136 0.102 -2.973
0 1 0 3 11 3702.195 3294.968 0.066 -4.213
0 1 0 3 12 377.515 406.497 0.035 -0.971
0 1 0 3 13 465.050 1392.745 0.011 -0.359
0 1 0 3 14 532.414 2661.742 0.006 -0.214
0 1 0 3 15 4804.219 4712.567 0.016 -2.065
0 1 0 3 16 836.445 1833.716 0.010 -0.494
