st pl ch r c p0 p1 p2 p3
0 0 0 0 0 -3817.930 4241.225 0.107 0.504
0 0 0 0 1 349.958 92.513 0.074 -1.441
0 0 0 0 2 198.946 842.430 0.004 0.188
0 0 0 0 3 -7509.412 7958.026 0.139 -0.120
0 0 0 0 4 -8085.359 8518.915 8.522 -171.652
0 0 0 0 5 -58.535 530.505 0.268 -4.023
0 0 0 0 6 303.303 1701.091 0.003 0.000
0 0 0 0 7 -16216.453 16633.303 0.293 -2.575
0 0 0 0 8 -8812.677 9222.332 0.149 0.171
0 0 0 0 9 149.812 346.925 0.062 -0.664
0 0 0 0 10 318.471 80.112 0.106 -0.895
0 0 0 0 11 -2952.680 3412.612 0.064 0.931
0 0 0 0 12 427.984 3371.531 0.004 -0.092
0 0 0 0 13 188.251 1438.489 0.003 0.060
0 0 0 0 14 358.161 87.691 0.118 -1.989
0 0 0 0 15 751.105 -352.334 0.338 6.593
0 0 0 0 16 374.641 34.641 11.309 -244.899
0 0 0 0 17 725.819 497.301 0.019 -1.159
0 0 0 0 18 266.051 441.306 0.019 -0.019
0 0 0 0 19 275.734 2154.949 0.003 0.014
0 0 0 0 20 -8196.280 8661.291 0.114 0.530
0 0 0 0 21 186.740 512.994 0.004 0.317
0 0 0 0 22 -3528.828 4036.912 0.075 0.838
0 0 0 0 23 94.418 390.635 0.205 6.327
0 0 0 0 24 -2160.569 2666.344 0.056 0.907
0 0 0 0 25 487.460 3795.989 0.003 -0.080
0 0 0 0 26 245.302 853.638 0.002 0.193
0 0 0 0 27 -2801.338 3326.726 0.047 1.100
0 0 0 0 28 212.109 1048.719 0.004 0.150
0 0 0 0 29 -1366.801 1873.902 0.041 0.791
0 0 0 0 30 -330.114 1172.619 0.005 0.579
0 0 0 0 31 161.118 752.861 0.008 0.106
0 0 0 0 32 173.041 245.366 0.094 -0.499
0 0 0 0 33 196.314 951.097 0.004 0.154
0 0 0 0 34 255.796 1159.971 0.005 0.049
0 0 0 0 35 -4460.756 5025.575 0.081 0.687
0 0 0 0 36 245.638 755.645 0.002 0.328
0 0 0 0 37 224.518 2176.562 0.007 -0.025
0 0 0 0 38 426.094 4799.039 0.003 -0.054
0 0 0 0 39 299.582 1143.952 0.002 0.109
0 0 0 0 40 382.948 61.846 0.223 -4.068
0 0 0 0 41 -3725.276 4159.305 0.089 0.650
0 0 0 0 42 -2699.214 3174.728 0.061 0.972
0 0 0 0 43 -952.182 1460.467 0.045 0.747
0 0 0 0 44 260.043 903.686 0.007 0.035
0 0 0 0 45 260.056 1770.828 0.004 0.028
0 0 0 0 46 -3109.095 3609.838 0.059 1.090
0 0 0 0 47 -1303.730 1884.079 0.042 0.852
0 0 0 0 48 30.306 439.452 0.117 -1.092
0 0 0 0 49 -22951.927 27768.927 0.000 1.222
0 0 0 0 50 -5616.542 6103.569 0.083 0.943
0 0 0 0 51 190.065 214.539 6967.954 6.227
0 0 0 1 0 1325.914 -940.763 0.459 320.325
0 0 0 1 1 -1384.529 1894.628 0.033 1.020
0 0 0 1 2 -4428.188 4910.016 0.084 0.782
0 0 0 1 3 -2078.171 2606.226 0.055 0.814
0 0 0 1 4 -1161.415 1743.236 0.037 0.832
0 0 0 1 5 -2629.796 3171.069 0.054 0.968
0 0 0 1 6 518.200 -118.048 0.281 3.958
0 0 0 1 7 -12090.126 12510.509 0.144 0.262
0 0 0 1 8 -2120.406 2623.027 0.054 0.904
0 0 0 1 9 -1769.362 2205.486 0.082 0.463
0 0 0 1 10 -802.646 1280.241 0.064 0.431
0 0 0 1 11 324.174 119.875 0.098 -1.443
0 0 0 1 12 -2084.167 2575.461 0.056 0.876
0 0 0 1 13 -3869.142 4353.796 0.076 0.822
0 0 0 1 14 -864.565 1353.201 0.057 0.564
0 0 0 1 15 -2139.593 2588.519 0.107 0.179
0 0 0 1 16 -569.858 1090.076 0.038 0.612
0 0 0 1 17 -2275.425 2751.990 0.057 0.893
0 0 0 1 18 -4525.446 5053.526 0.071 0.966
0 0 0 1 19 -5376.619 5862.297 0.081 0.905
0 0 0 1 20 -15460.963 15937.307 0.141 0.373
0 0 0 1 21 -1990.739 2474.927 0.054 0.890
0 0 0 1 22 -3443.572 3996.180 0.055 1.070
0 0 0 1 23 -4669.513 5176.677 0.103 0.492
0 0 0 1 24 -342.063 871.712 0.046 0.415
0 0 0 1 25 -3626.402 4109.568 0.066 0.977
0 0 0 1 26 -4893.769 5397.334 0.088 0.779
0 0 0 1 27 377.500 129.083 0.101 -1.571
0 0 0 1 28 312.943 1228.195 0.006 -0.002
0 0 0 1 29 -2470.839 3002.885 0.056 0.894
0 0 0 1 30 -632.901 1120.526 0.037 0.742
0 0 0 1 31 -97.333 599.035 0.036 0.342
0 0 0 1 32 -2419.362 2904.864 0.060 0.934
0 0 0 1 33 -9477.763 9935.204 0.123 0.508
0 0 0 1 34 429.435 109.311 0.094 -1.610
0 0 0 1 35 -2799.628 3322.303 0.060 0.959
0 0 0 1 36 -6829.977 7357.666 0.103 0.678
0 0 0 1 37 -1322.234 1902.945 0.044 0.849
0 0 0 1 38 -4473.450 5015.680 0.078 0.925
0 0 0 1 39 -4428.935 4965.533 0.086 0.730
0 0 0 1 40 -2166.350 2671.115 0.040 1.200
0 0 0 1 41 -4637.978 5107.062 0.087 0.812
0 0 0 1 42 -1611.686 2103.653 0.051 0.860
0 0 0 1 43 -6366.396 6852.097 0.089 0.918
0 0 0 1 44 261.951 1027.802 0.007 0.030
0 0 0 1 45 -2429.266 2952.485 0.061 0.863
0 0 0 1 46 -17986.878 18482.325 0.143 0.446
0 0 0 1 47 -3649.698 4138.328 0.074 0.861
0 0 0 1 48 -2793.682 3297.414 0.080 0.678
0 0 0 1 49 -6623.081 7128.668 0.093 0.852
0 0 0 1 50 272.900 249.330 0.063 -0.480
0 0 0 1 51 -5296.383 5751.801 0.086 0.919
0 0 0 2 0 -106.402 674.457 0.027 0.356
0 0 0 2 1 -1493.372 2012.073 0.051 0.766
0 0 0 2 2 -6688.053 7176.131 0.111 0.501
0 0 0 2 3 -896.231 1420.742 0.065 0.386
0 0 0 2 4 -2753.986 3289.765 0.057 0.920
0 0 0 2 5 328.935 1524.761 0.004 -0.031
0 0 0 2 6 -183.343 702.081 0.039 0.357
0 0 0 2 7 -2428.056 2905.510 0.067 0.760
0 0 0 2 8 -913.661 1420.241 0.040 0.737
0 0 0 2 9 -4581.581 5038.819 0.099 0.592
0 0 0 2 10 -1378.635 1923.267 0.040 0.856
0 0 0 2 11 -1148.013 1655.959 0.042 0.809
0 0 0 2 12 -2568.682 3083.624 0.056 0.923
0 0 0 2 13 -2549.239 3044.609 0.077 0.627
0 0 0 2 14 278.548 245.007 0.056 -0.526
0 0 0 2 15 -4607.131 5079.116 0.079 0.874
0 0 0 2 16 -501.781 1041.282 0.042 0.505
0 0 0 2 17 -2042.032 2528.661 0.055 0.874
0 0 0 2 18 -1885.799 2436.561 0.055 0.833
0 0 0 2 19 -2988.015 3551.603 0.067 0.849
0 0 0 2 20 -3805.731 4281.159 0.066 0.965
0 0 0 2 21 -2904.681 3403.233 0.063 0.884
0 0 0 2 22 -3801.530 4338.478 0.108 0.298
0 0 0 2 23 -3462.022 4011.161 0.051 1.078
0 0 0 2 24 -5614.891 6120.103 0.092 0.733
0 0 0 2 25 -3436.750 3944.413 0.073 0.811
0 0 0 2 26 -3653.889 4192.233 0.065 0.951
0 0 0 2 27 -2913.099 3447.408 0.069 0.820
0 0 0 2 28 -4076.439 4568.245 0.081 0.815
0 0 0 2 29 445.173 62.303 0.198 -3.948
0 0 0 2 30 -1984.060 2487.573 0.051 0.907
0 0 0 2 31 -378.405 908.262 0.032 0.598
0 0 0 2 32 281.866 1283.350 0.006 -0.006
0 0 0 2 33 -6387.111 6868.739 0.084 0.955
0 0 0 2 34 -2431.588 2968.359 0.066 0.809
0 0 0 2 35 -5385.354 5920.035 0.109 0.457
0 0 0 2 36 -3152.601 3754.268 0.052 1.050
0 0 0 2 37 -1218.363 1789.943 0.051 0.757
0 0 0 2 38 -4090.158 4632.807 0.075 0.874
0 0 0 2 39 -3593.370 4147.717 0.082 0.709
0 0 0 2 40 403.646 65.797 0.149 -2.927
0 0 0 2 41 -5679.830 6156.070 0.091 0.814
0 0 0 2 42 359.910 126.082 0.128 -1.975
0 0 0 2 43 -5048.868 5545.805 0.072 1.064
0 0 0 2 44 -1968.403 2520.758 0.052 0.929
0 0 0 2 45 269.560 1320.346 0.006 0.022
0 0 0 2 46 -5499.017 6009.986 0.090 0.821
0 0 0 2 47 -4105.285 4629.152 0.079 0.826
0 0 0 2 48 -10675.384 11211.938 0.128 0.470
0 0 0 2 49 -2108.402 2668.550 0.044 0.988
0 0 0 2 50 -3116.979 3645.095 0.077 0.764
0 0 0 2 51 -3259.104 3777.646 0.064 0.979
0 0 0 3 0 -208.076 654.499 0.045 0.382
0 0 0 3 1 -1169.577 1647.012 0.046 0.774
0 0 0 3 2 -3733.310 4236.520 0.075 0.764
0 0 0 3 3 -5599.129 6145.010 0.068 1.001
0 0 0 3 4 -2408.384 2942.238 0.058 0.797
0 0 0 3 5 -1431.740 2034.079 0.038 0.804
0 0 0 3 6 313.317 567.444 0.013 -0.126
0 0 0 3 7 -7512.678 8051.974 0.027 1.734
0 0 0 3 8 -525.590 1055.472 0.033 0.642
0 0 0 3 9 -1637.188 2163.795 0.038 0.913
0 0 0 3 10 -1210.002 1703.560 0.041 0.860
0 0 0 3 11 -785.333 1342.136 0.036 0.640
0 0 0 3 12 -5044.178 5496.527 0.071 1.056
0 0 0 3 13 -449.556 977.830 0.041 0.456
0 0 0 3 14 -5143.730 5623.904 0.068 1.077
0 0 0 3 15 -2413.856 2901.491 0.056 0.893
0 0 0 3 16 -1365.152 1883.999 0.041 0.853
0 0 0 3 17 -1641.384 2166.050 0.048 0.787
0 0 0 3 18 -832.239 1382.655 0.039 0.684
0 0 0 3 19 -2887.529 3466.177 0.044 1.041
0 0 0 3 20 355.653 975.043 0.008 -0.133
0 0 0 3 21 -1859.557 2360.333 0.048 0.883
0 0 0 3 22 -3540.315 4105.624 0.058 0.934
0 0 0 3 23 -5560.409 6137.088 0.080 0.772
0 0 0 3 24 -1892.993 2428.074 0.051 0.822
0 0 0 3 25 -2818.517 3371.906 0.046 1.033
0 0 0 3 26 -1017.592 1544.495 0.064 0.446
0 0 0 3 27 -1154.549 1702.927 0.052 0.601
0 0 0 3 28 -2412.730 2930.733 0.062 0.815
0 0 0 3 29 -5662.236 6195.096 0.069 0.990
0 0 0 3 30 -13298.005 13734.466 0.070 1.575
0 0 0 3 31 314.824 163.014 0.053 -0.779
0 0 0 3 32 -1662.224 2231.813 0.033 1.011
0 0 0 3 33 -44.438 670.338 0.028 0.268
0 0 0 3 34 -1688.035 2290.192 0.042 0.879
0 0 0 3 35 -6200.835 6768.532 0.075 0.928
0 0 0 3 36 -2047.941 2656.577 0.040 0.987
0 0 0 3 37 428.711 164.737 0.185 -3.002
0 0 0 3 38 -8673.118 9212.756 0.082 1.069
0 0 0 3 39 -533.209 1098.403 0.084 -0.116
0 0 0 3 40 -1808.785 2312.525 0.060 0.766
0 0 0 3 41 -5331.701 5819.996 0.077 0.957
0 0 0 3 42 -2408.309 2929.606 0.053 0.959
0 0 0 3 43 -867.826 1402.460 0.042 0.668
0 0 0 3 44 -2801.900 3369.719 0.048 1.054
0 0 0 3 45 -572.091 1256.222 0.028 0.588
0 0 0 3 46 -896.173 1515.009 0.035 0.732
0 0 0 3 47 -6980.925 7532.814 0.078 0.973
0 0 0 3 48 -1167.252 1777.852 0.035 0.794
0 0 0 3 49 -6081.281 6628.679 0.069 1.034
0 0 0 3 50 -4350.104 4897.277 0.058 1.110
0 0 0 3 51 -6391.567 6924.574 0.079 0.979
0 0 0 4 0 383.911 8.836 0.211 4.793
0 0 0 4 1 345.135 119.807 0.084 -1.348
0 0 0 4 2 -2271.300 2802.317 0.045 1.023
0 0 0 4 3 -4242.007 4744.197 0.068 0.983
0 0 0 4 4 -2138.213 2677.906 0.052 0.871
0 0 0 4 5 -4013.712 4522.738 0.076 0.822
0 0 0 4 6 285.370 87.130 0.078 -0.341
0 0 0 4 7 -4069.243 4544.590 0.079 0.804
0 0 0 4 8 -747.087 1240.303 0.044 0.641
0 0 0 4 9 -3861.156 4304.691 0.085 0.747
0 0 0 4 10 547.936 -148.236 0.290 4.391
0 0 0 4 11 -1988.926 2524.860 0.042 0.953
0 0 0 4 12 377.983 95.435 0.140 -2.420
0 0 0 4 13 -2344.690 2808.747 0.064 0.802
0 0 0 4 14 399.324 89.537 0.116 -2.187
0 0 0 4 15 -1007.395 1518.535 0.044 0.726
0 0 0 4 16 -2947.195 3456.736 0.056 1.004
0 0 0 4 17 -3901.848 4398.715 0.063 1.040
0 0 0 4 18 238.798 287.914 0.091 -0.917
0 0 0 4 19 398.565 76.485 0.195 -3.590
0 0 0 4 20 -4310.334 4788.859 0.082 0.792
0 0 0 4 21 377.825 62.005 0.168 -3.213
0 0 0 4 22 -4340.835 4872.694 0.090 0.637
0 0 0 4 23 -3490.231 4031.456 0.066 0.885
0 0 0 4 24 -2681.551 3218.040 0.048 1.056
0 0 0 4 25 391.125 91.913 0.150 -2.651
0 0 0 4 26 -2232.085 2744.636 0.072 0.615
