st pl ch r c p0 p1 p2 p3
1 1 0 0 0 693.059 224.888 0.033 -2.374
1 1 0 0 1 686.195 221.558 0.059 -3.249
1 1 0 0 2 649.881 272.730 0.043 -2.418
1 1 0 0 3 683.616 237.713 0.050 -2.873
1 1 0 0 4 613.548 290.556 0.043 -2.461
1 1 0 0 5 611.699 296.410 0.037 -2.023
1 1 0 0 6 678.613 241.352 0.045 -2.573
1 1 0 0 7 640.804 287.914 0.045 -2.167
1 1 0 0 8 653.926 253.160 0.047 -2.437
1 1 0 0 9 657.111 253.568 0.044 -2.419
1 1 0 0 10 694.176 226.176 0.048 -2.600
1 1 0 0 11 671.611 254.676 0.043 -2.259
1 1 0 0 12 678.503 252.356 0.039 -2.070
1 1 0 0 13 651.597 285.547 0.035 -1.754
1 1 0 0 14 688.934 205.926 0.072 -3.919
1 1 0 0 15 672.246 243.384 0.050 -2.725
1 1 0 0 16 661.370 249.783 0.046 -2.624
1 1 0 0 17 656.068 265.638 0.041 -2.302
1 1 0 0 18 621.752 292.844 0.038 -2.045
1 1 0 0 19 665.460 252.524 0.046 -2.545
1 1 0 0 20 681.732 240.160 0.045 -2.403
1 1 0 0 21 663.897 263.422 0.045 -2.195
1 1 0 0 22 654.792 259.482 0.055 -2.655
1 1 0 0 23 655.874 265.948 0.055 -2.572
1 1 0 0 24 646.595 252.038 0.063 -3.138
1 1 0 0 25 655.559 257.122 0.043 -2.371
1 1 0 0 26 647.127 259.033 0.045 -2.333
1 1 0 0 27 701.161 198.426 0.078 -4.176
1 1 0 0 28 661.595 242.440 0.054 -3.015
1 1 0 0 29 646.671 267.386 0.045 -2.436
1 1 0 0 30 688.250 222.985 0.047 -2.587
1 1 0 0 31 654.595 255.828 0.046 -2.445
1 1 0 0 32 623.643 283.220 0.048 -2.362
1 1 0 0 33 649.511 264.300 0.052 -2.463
1 1 0 0 34 657.400 253.030 0.048 -2.499
1 1 0 0 35 657.460 256.930 0.046 -2.372
1 1 0 0 36 660.994 252.617 0.055 -2.672
1 1 0 0 37 673.399 239.748 0.044 -2.365
1 1 0 0 38 644.759 268.225 0.040 -2.354
1 1 0 0 39 642.093 278.946 0.036 -1.798
1 1 0 0 40 643.268 236.802 0.051 -2.750
1 1 0 0 41 637.422 252.397 0.054 -3.145
1 1 0 0 42 657.023 254.313 0.043 -2.385
1 1 0 0 43 646.494 273.343 0.051 -2.503
1 1 0 0 44 675.797 232.899 0.065 -3.326
1 1 0 0 45 641.333 280.855 0.048 -2.253
1 1 0 0 46 688.620 234.446 0.044 -2.459
1 1 0 0 47 674.891 253.574 0.044 -2.196
1 1 0 0 48 660.628 253.939 0.050 -2.504
1 1 0 0 49 701.271 221.261 0.047 -2.540
1 1 0 0 50 680.404 237.234 0.045 -2.419
1 1 0 0 51 684.668 275.027 0.022 -1.420
1 1 0 1 0 645.179 266.534 0.042 -2.108
1 1 0 1 1 616.832 307.596 0.043 -1.895
1 1 0 1 2 585.352 334.489 0.040 -1.774
1 1 0 1 3 601.799 322.493 0.043 -1.843
1 1 0 1 4 589.496 311.880 0.042 -2.045
1 1 0 1 5 565.064 343.322 0.039 -1.815
1 1 0 1 6 596.424 323.492 0.041 -1.723
1 1 0 1 7 628.702 292.914 0.048 -2.198
1 1 0 1 8 613.789 292.041 0.049 -2.203
1 1 0 1 9 594.949 314.709 0.046 -2.018
1 1 0 1 10 633.548 286.924 0.049 -2.125
1 1 0 1 11 633.116 292.681 0.045 -1.958
1 1 0 1 12 625.819 297.419 0.045 -1.952
1 1 0 1 13 625.331 303.635 0.047 -1.982
1 1 0 1 14 601.253 310.196 0.044 -1.835
1 1 0 1 15 603.625 306.498 0.046 -2.079
1 1 0 1 16 604.655 302.997 0.046 -1.954
1 1 0 1 17 611.249 306.144 0.048 -2.107
1 1 0 1 18 585.870 318.547 0.044 -1.921
1 1 0 1 19 591.840 313.467 0.043 -1.915
1 1 0 1 20 625.832 293.722 0.048 -1.967
1 1 0 1 21 622.516 299.404 0.050 -2.195
1 1 0 1 22 601.268 315.434 0.044 -1.772
1 1 0 1 23 629.878 285.525 0.051 -2.290
1 1 0 1 24 601.004 299.686 0.047 -1.974
1 1 0 1 25 602.394 303.912 0.047 -2.051
1 1 0 1 26 615.802 292.408 0.047 -1.947
1 1 0 1 27 606.867 306.634 0.045 -1.929
1 1 0 1 28 604.413 299.213 0.048 -2.016
1 1 0 1 29 597.302 311.815 0.046 -1.953
1 1 0 1 30 620.834 288.077 0.049 -2.124
1 1 0 1 31 600.644 315.130 0.042 -1.767
1 1 0 1 32 608.912 291.274 0.046 -1.915
1 1 0 1 33 602.100 303.979 0.048 -2.021
1 1 0 1 34 610.972 296.638 0.050 -2.260
1 1 0 1 35 600.554 317.063 0.044 -1.785
1 1 0 1 36 635.703 272.203 0.051 -2.116
1 1 0 1 37 619.779 293.784 0.048 -2.032
1 1 0 1 38 614.252 292.910 0.047 -2.001
1 1 0 1 39 611.675 298.242 0.045 -2.060
1 1 0 1 40 568.007 318.871 0.042 -1.767
1 1 0 1 41 578.911 309.594 0.046 -1.980
1 1 0 1 42 614.351 292.986 0.043 -1.911
1 1 0 1 43 628.272 284.733 0.048 -2.172
