st pl ch r c p0 p1 p2 p3
1 1 0 0 0 331.959 122.417 32794.339 8.652
1 1 0 0 1 41.441 356.677 0.211 8.092
1 1 0 0 2 -2840.187 3283.775 7.704 -70.620
1 1 0 0 3 451.681 22.175 10.394 -192.021
1 1 0 0 4 333.648 27.649 10.926 -126.400
1 1 0 0 5 263.577 1175.353 0.007 -0.020
1 1 0 0 6 439.418 15.669 -17.011 408.420
1 1 0 0 7 380.291 17.797 5.675 -78.311
1 1 0 0 8 -1607062.830 1638780.661 0.000 2.320
1 1 0 0 9 269.571 722.396 0.004 0.128
1 1 0 0 10 108.613 352.151 0.297 7.839
1 1 0 0 11 -8465.185 8916.712 9.304 -95.028
1 1 0 0 12 437.577 35.783 0.296 -4.043
1 1 0 0 13 427.298 42.155 19.623 -393.130
1 1 0 0 14 585.575 544.471 0.003 -0.393
1 1 0 0 15 -3297.270 3803.362 8.007 -73.695
1 1 0 0 16 -19351.099 19786.709 0.143 1.809
1 1 0 0 17 104.607 350.375 0.264 7.516
1 1 0 0 18 -674.774 1045.031 2.721 -26.412
1 1 0 0 19 203.590 204.426 15.586 8.176
1 1 0 0 20 146.799 299.746 1.789 40.402
1 1 0 0 21 405.325 1888.433 0.001 -0.007
1 1 0 0 22 191.448 222.815 0.122 8.380
1 1 0 0 23 253.500 792.017 0.004 0.131
1 1 0 0 24 -4289.482 4675.973 6.710 -67.890
1 1 0 0 25 412.359 25.645 15.786 -307.111
1 1 0 0 26 424.057 2048.349 0.002 -0.042
1 1 0 0 27 1868.099 1466.776 0.063 -3.859
1 1 0 0 28 -315.300 780.464 1.309 -10.922
1 1 0 0 29 408.976 29.922 23.948 -427.519
1 1 0 0 30 215.033 439.444 0.135 -0.555
1 1 0 0 31 -1281.312 1761.162 0.062 1.068
1 1 0 0 32 293.788 956.667 0.002 0.047
1 1 0 0 33 308.711 2102.056 0.002 0.014
1 1 0 0 34 345.768 78.531 3279.615 7.043
1 1 0 0 35 1063.315 -647.359 0.351 10.753
1 1 0 0 36 337.124 1249.058 0.002 0.025
1 1 0 0 37 106.894 326.803 0.127 8.581
1 1 0 0 38 202.195 2063.117 0.003 0.050
1 1 0 0 39 1436.179 1316.014 0.006 -1.136
1 1 0 0 40 10.735 375.465 0.392 6.100
1 1 0 0 41 -2247.250 2656.149 8.081 -74.656
1 1 0 0 42 413.991 30.447 0.359 -5.817
1 1 0 0 43 373.672 33.672 10.096 -115.823
1 1 0 0 44 42.670 354.472 0.285 6.692
1 1 0 0 45 294.434 1146.419 0.002 0.059
1 1 0 0 46 191.060 267.008 0.184 7.372
1 1 0 0 47 555.737 -110.236 0.195 6.716
1 1 0 0 48 1250.476 -833.661 0.411 13.198
1 1 0 0 49 -2555.729 3024.000 3.428 -26.968
1 1 0 0 50 168.400 293.099 3423.817 342.969
1 1 0 0 51 463.181 3516.690 0.003 -0.039
1 1 0 1 0 -778.134 1195.660 1.128 -8.831
1 1 0 1 1 208.301 265.034 0.028 0.253
1 1 0 1 2 388.505 2354.036 0.002 -0.065
1 1 0 1 3 509.258 2463.177 0.002 -0.110
1 1 0 1 4 -3075.176 3480.014 0.037 1.538
1 1 0 1 5 -73062.370 90584.672 0.000 1.126
1 1 0 1 6 548.513 2350.928 0.002 -0.126
1 1 0 1 7 302.500 1811.464 0.001 0.029
1 1 0 1 8 293.537 2295.500 0.002 -0.011
1 1 0 1 9 -47.308 3758.932 0.001 0.084
1 1 0 1 10 316.933 1568.242 0.003 -0.017
1 1 0 1 11 230.358 531.092 0.008 0.206
1 1 0 1 12 270.272 1942.369 0.002 0.030
1 1 0 1 13 240.926 2781.505 0.002 0.001
1 1 0 1 14 363.210 1890.639 0.002 -0.038
1 1 0 1 15 375.894 2451.304 0.002 -0.040
1 1 0 1 16 295.053 3258.775 0.002 -0.018
1 1 0 1 17 349.097 2360.664 0.003 -0.055
1 1 0 1 18 254.127 1028.610 0.002 0.075
1 1 0 1 19 498.632 2369.055 0.002 -0.105
1 1 0 1 20 370.913 2148.946 0.002 -0.015
1 1 0 1 21 368.567 2608.877 0.003 -0.051
1 1 0 1 22 255.318 3255.120 0.002 0.002
1 1 0 1 23 286.135 1206.686 0.003 0.034
1 1 0 1 24 230.024 1943.241 0.002 0.043
1 1 0 1 25 408.738 2354.570 0.002 -0.064
1 1 0 1 26 239.165 2421.576 0.003 -0.000
1 1 0 1 27 305.188 1964.460 0.003 -0.025
1 1 0 1 28 414.750 38.257 0.777 -21.119
1 1 0 1 29 657.860 2928.715 0.002 -0.147
1 1 0 1 30 278.601 1684.658 0.004 -0.018
1 1 0 1 31 234.324 1223.057 0.003 0.068
1 1 0 1 32 306.659 3410.097 0.002 -0.027
1 1 0 1 33 484.929 2758.156 0.002 -0.075
1 1 0 1 34 385.910 2496.616 0.003 -0.066
1 1 0 1 35 278.444 3200.226 0.002 -0.016
1 1 0 1 36 276.668 1345.704 0.004 0.032
1 1 0 1 37 298.630 2166.299 0.003 -0.010
1 1 0 1 38 386.791 2091.418 0.003 -0.061
1 1 0 1 39 75.585 284.498 0.040 2.168
1 1 0 1 40 324.417 1916.802 0.003 -0.046
1 1 0 1 41 542.353 2181.353 0.002 -0.138
1 1 0 1 42 409.243 25.590 10.386 -265.061
1 1 0 1 43 296.585 1874.901 0.003 -0.006
1 1 0 1 44 339.186 2282.484 0.003 -0.026
1 1 0 1 45 315.378 3122.088 0.003 -0.031
1 1 0 1 46 444.312 2897.423 0.002 -0.049
1 1 0 1 47 295.448 3195.373 0.002 -0.010
1 1 0 1 48 250.066 2855.710 0.002 0.017
1 1 0 1 49 317.494 1631.983 0.003 -0.011
1 1 0 1 50 -22451.044 22875.946 0.143 1.644
1 1 0 1 51 371.340 28.375 3.378 -35.774
1 1 0 2 0 396.148 27.437 -11.238 174.217
1 1 0 2 1 257.219 1273.826 0.002 0.049
1 1 0 2 2 283.569 1457.457 0.002 0.013
1 1 0 2 3 317.160 781.763 0.005 -0.040
1 1 0 2 4 334.380 299.671 0.061 -1.130
1 1 0 2 5 415.871 2317.975 0.002 -0.083
1 1 0 2 6 304.848 1701.994 0.005 -0.071
1 1 0 2 7 238.046 1787.359 0.004 0.002
1 1 0 2 8 367.561 2096.357 0.002 -0.052
1 1 0 2 9 378.398 2380.626 0.003 -0.064
1 1 0 2 10 355.950 2918.150 0.002 -0.028
1 1 0 2 11 238.320 3394.909 0.002 0.020
1 1 0 2 12 316.092 1509.254 0.003 -0.024
1 1 0 2 13 439.671 2489.195 0.002 -0.058
1 1 0 2 14 236.222 1900.742 0.003 0.010
1 1 0 2 15 335.210 2101.970 0.002 -0.019
1 1 0 2 16 299.132 1479.223 0.004 -0.039
1 1 0 2 17 279.746 791.766 0.003 0.061
1 1 0 2 18 391.459 2392.701 0.002 -0.065
1 1 0 2 19 392.036 2121.477 0.003 -0.086
1 1 0 2 20 214.223 2730.398 0.002 0.023
1 1 0 2 21 333.448 1898.926 0.003 -0.031
1 1 0 2 22 260.952 2573.483 0.003 0.007
1 1 0 2 23 387.030 3341.574 0.002 -0.041
1 1 0 2 24 512.309 2853.384 0.002 -0.093
1 1 0 2 25 279.170 1225.183 0.003 0.025
1 1 0 2 26 435.011 2660.692 0.002 -0.056
1 1 0 2 27 -6673.589 7110.525 0.044 1.911
1 1 0 2 28 251.887 1229.711 0.004 0.037
1 1 0 2 29 -725.796 1204.180 0.032 0.824
1 1 0 2 30 300.390 1630.964 0.002 0.040
1 1 0 2 31 458.251 32.082 39.375 -932.835
1 1 0 2 32 351.344 2260.177 0.003 -0.060
1 1 0 2 33 -197.616 980.496 0.012 0.400
1 1 0 2 34 300.728 2821.746 0.002 -0.003
1 1 0 2 35 323.536 2440.283 0.002 -0.020
1 1 0 2 36 328.211 2422.833 0.002 0.000
1 1 0 2 37 318.689 3121.227 0.002 -0.014
1 1 0 2 38 338.058 1968.227 0.002 -0.025
1 1 0 2 39 386.155 2235.992 0.002 -0.033
1 1 0 2 40 519.495 1268.724 0.002 -0.172
1 1 0 2 41 348.089 2280.961 0.002 -0.048
1 1 0 2 42 290.375 1647.001 0.003 -0.010
1 1 0 2 43 354.927 1395.834 0.003 -0.006
1 1 0 2 44 322.882 1656.539 0.002 0.026
1 1 0 2 45 240.191 2056.437 0.004 0.003
1 1 0 2 46 395.128 2814.271 0.002 -0.035
1 1 0 2 47 285.247 2640.930 0.002 0.010
1 1 0 2 48 324.419 2476.922 0.003 -0.022
1 1 0 2 49 309.927 3034.718 0.002 -0.005
1 1 0 2 50 420.824 3050.221 0.002 -0.043
1 1 0 2 51 7071.477 6678.363 8.767 -164.794
1 1 0 3 0 388.852 18.825 10.129 -136.457
1 1 0 3 1 272.142 1118.814 0.002 0.032
1 1 0 3 2 258.421 1011.514 0.002 0.070
1 1 0 3 3 505.786 1821.096 0.002 -0.117
1 1 0 3 4 449.230 1035.452 0.004 -0.200
1 1 0 3 5 560.513 1035.117 0.004 -0.326
1 1 0 3 6 2203.423 1910.230 0.045 -3.164
1 1 0 3 7 409.847 2787.666 0.002 -0.056
1 1 0 3 8 -4506.718 4909.489 0.067 1.264
1 1 0 3 9 254.499 658.914 0.002 0.152
1 1 0 3 10 326.331 2045.020 0.002 -0.016
1 1 0 3 11 303.151 1402.003 0.002 0.031
1 1 0 3 12 477.510 2292.818 0.003 -0.119
1 1 0 3 13 239.549 1530.074 0.002 0.079
1 1 0 3 14 253.215 783.730 0.002 0.154
1 1 0 3 15 444.813 1452.206 0.003 -0.102
1 1 0 3 16 363.134 2580.273 0.002 -0.040
1 1 0 3 17 272.460 1355.535 0.003 0.013
1 1 0 3 18 404.776 2059.013 0.003 -0.091
1 1 0 3 19 466.779 1430.033 0.002 -0.104
1 1 0 3 20 308.331 1957.410 0.002 0.006
1 1 0 3 21 358.399 1576.127 0.005 -0.075
1 1 0 3 22 261.521 853.390 0.003 0.129
1 1 0 3 23 360.404 1407.847 0.002 -0.034
1 1 0 3 24 388.352 1190.680 0.002 -0.070
1 1 0 3 25 355.889 3071.036 0.002 -0.049
1 1 0 3 26 332.001 2665.309 0.002 -0.035
1 1 0 3 27 367.206 2651.175 0.002 -0.027
1 1 0 3 28 268.133 2469.003 0.002 0.020
1 1 0 3 29 605.645 2354.180 0.002 -0.153
1 1 0 3 30 426.878 1503.436 0.004 -0.100
1 1 0 3 31 255.354 730.527 0.008 0.022
1 1 0 3 32 379.865 1472.056 0.002 -0.033
1 1 0 3 33 319.809 1971.053 0.002 -0.019
1 1 0 3 34 428.075 1480.082 0.005 -0.130
1 1 0 3 35 89.515 297.437 93.232 44.136
1 1 0 3 36 311.169 2062.966 0.002 -0.006
1 1 0 3 37 316.622 1650.213 0.002 0.021
1 1 0 3 38 426.339 2533.467 0.003 -0.092
1 1 0 3 39 263.329 1758.632 0.002 0.018
1 1 0 3 40 403.454 2209.975 0.002 -0.062
1 1 0 3 41 555.842 1665.277 0.003 -0.192
1 1 0 3 42 448.628 1653.936 0.002 -0.068
1 1 0 3 43 374.982 1767.588 0.003 -0.065
1 1 0 3 44 299.479 1378.329 0.005 -0.055
1 1 0 3 45 438.959 1758.083 0.002 -0.076
1 1 0 3 46 293.978 1922.380 0.002 0.018
1 1 0 3 47 350.600 1799.113 0.004 -0.044
1 1 0 3 48 294.197 1485.572 0.002 0.032
1 1 0 3 49 282.288 1691.745 0.002 0.032
1 1 0 3 50 367.585 1794.185 0.002 -0.021
1 1 0 3 51 368.894 1360.624 0.001 -0.018
1 1 0 4 0 239.138 741.657 0.002 0.170
1 1 0 4 1 266.538 1096.107 0.002 0.051
1 1 0 4 2 -763.711 1196.432 0.022 1.321
1 1 0 4 3 328.311 1881.588 0.003 -0.047
1 1 0 4 4 662.775 1908.801 0.002 -0.234
1 1 0 4 5 593.773 -256.822 0.302 5.561
1 1 0 4 6 365.733 2387.238 0.002 -0.040
1 1 0 4 7 286.286 1777.588 0.002 0.005
1 1 0 4 8 493.841 1452.600 0.003 -0.176
1 1 0 4 9 437.930 2312.039 0.004 -0.126
1 1 0 4 10 274.591 1694.718 0.002 0.033
1 1 0 4 11 311.665 2545.385 0.002 0.003
1 1 0 4 12 335.599 2816.686 0.002 -0.007
1 1 0 4 13 318.492 2693.949 0.002 -0.006
1 1 0 4 14 232.688 1795.146 0.003 0.025
1 1 0 4 15 247.105 1733.904 0.003 0.025
1 1 0 4 16 261.776 2270.556 0.003 -0.001
1 1 0 4 17 433.048 2733.002 0.002 -0.077
1 1 0 4 18 426.204 2646.532 0.002 -0.070
1 1 0 4 19 488.714 2315.580 0.003 -0.123
1 1 0 4 20 283.470 2328.395 0.003 -0.002
1 1 0 4 21 279.139 1338.520 0.003 0.040
1 1 0 4 22 315.689 2873.261 0.002 -0.023
1 1 0 4 23 287.600 2140.194 0.003 -0.006
1 1 0 4 24 343.508 2346.023 0.002 -0.029
1 1 0 4 25 552.409 1457.827 0.002 -0.181
1 1 0 4 26 287.068 2166.212 0.002 0.007
1 1 0 4 27 388.442 30.844 12.258 -200.625
1 1 0 4 28 422.622 2171.505 0.002 -0.063
1 1 0 4 29 435.032 1490.951 0.005 -0.141
1 1 0 4 30 314.932 2905.688 0.002 -0.010
1 1 0 4 31 297.609 3036.792 0.002 0.010
1 1 0 4 32 397.007 2697.608 0.002 -0.054
1 1 0 4 33 376.716 2198.080 0.002 -0.040
1 1 0 4 34 314.333 1744.708 0.002 0.001
1 1 0 4 35 390.379 2878.359 0.003 -0.072
1 1 0 4 36 278.804 2188.739 0.003 0.007
1 1 0 4 37 277.015 1708.348 0.002 0.065
1 1 0 4 38 478.809 2985.166 0.002 -0.067
1 1 0 4 39 352.678 2780.613 0.002 -0.033
1 1 0 4 40 333.990 33.981 0.631 -9.436
1 1 0 4 41 384.058 1288.478 0.002 -0.072
1 1 0 4 42 307.046 1660.069 0.004 -0.031
1 1 0 4 43 328.488 1823.938 0.002 -0.015
1 1 0 4 44 305.591 2572.527 0.002 0.005
1 1 0 4 45 338.480 2611.482 0.002 -0.021
1 1 0 4 46 258.357 2235.075 0.002 0.014
1 1 0 4 47 273.232 1542.109 0.003 0.024
1 1 0 4 48 403.774 2765.371 0.003 -0.069
1 1 0 4 49 280.070 1899.603 0.002 0.022
1 1 0 4 50 340.056 2339.483 0.002 -0.012
1 1 0 4 51 -48.322 483.383 0.553 -3.974
1 1 0 5 0 174.145 242.001 0.185 9.028
1 1 0 5 1 347.387 1996.651 0.001 -0.012
1 1 0 5 2 312.249 3119.146 0.002 -0.029
1 1 0 5 3 266.864 2238.401 0.002 0.009
1 1 0 5 4 380.760 2121.370 0.002 -0.061
1 1 0 5 5 307.268 2543.181 0.002 -0.037
1 1 0 5 6 -10317.563 10740.178 0.098 1.067
1 1 0 5 7 487.910 1836.394 0.002 -0.091
1 1 0 5 8 363.874 1719.205 0.002 -0.044
1 1 0 5 9 267.263 1307.572 0.003 0.033
1 1 0 5 10 263.833 2524.404 0.002 0.008
1 1 0 5 11 352.964 2540.775 0.001 -0.013
1 1 0 5 12 295.796 2478.895 0.002 0.005
1 1 0 5 13 825.658 2464.258 0.003 -0.238
