== DUT
st pl ch r c slope pedestal max
4 0 0 0 0 5.296 252.091 498.000
4 0 0 0 1 7.054 233.022 561.000
4 0 0 0 2 5.346 252.481 488.000
4 0 0 0 3 3.947 315.425 506.000
4 0 0 0 4 0.000 0.000 0.000
4 0 0 0 5 0.000 0.000 0.000
4 0 0 0 6 2.112 410.895 534.000
4 0 0 0 7 8.183 207.806 557.000
4 0 0 0 8 3.297 404.624 561.000
4 0 0 0 9 3.237 369.261 554.000
4 0 0 0 10 5.279 259.712 511.000
4 0 0 0 11 5.667 280.308 541.000
4 0 0 0 12 4.484 360.052 570.000
4 0 0 0 13 4.161 370.306 580.000
4 0 0 0 14 1.864 419.576 535.000
4 0 0 0 15 7.513 229.280 564.000
4 0 0 0 16 0.000 0.000 0.000
4 0 0 0 17 7.347 237.147 564.000
4 0 0 0 18 9.400 280.908 624.000
4 0 0 0 19 0.000 0.000 0.000
4 0 0 0 20 0.000 0.000 0.000
4 0 0 0 21 2.233 376.879 499.000
4 0 0 0 22 3.281 394.531 569.000
4 0 0 0 23 6.906 275.949 598.000
4 0 0 0 24 10.074 115.148 503.000
4 0 0 0 25 4.169 342.814 542.000
4 0 0 0 26 10.139 158.921 586.000
4 0 0 0 27 7.505 273.992 624.000
4 0 0 0 28 3.790 330.116 500.000
4 0 0 0 29 4.508 349.300 571.000
4 0 0 0 30 5.866 236.197 497.000
4 0 0 0 31 12.906 -50.075 468.000
4 0 0 0 32 1.786 470.649 590.000
4 0 0 0 33 6.477 280.484 580.000
4 0 0 0 34 6.167 291.502 572.000
4 0 0 0 35 3.934 383.061 597.000
4 0 0 0 36 5.049 282.735 525.000
4 0 0 0 37 4.859 298.519 524.000
4 0 0 0 38 0.000 0.000 0.000
4 0 0 0 39 0.000 0.000 0.000
4 0 0 0 40 0.000 0.000 0.000
4 0 0 0 41 100.613 -3314.586 559.000
4 0 0 0 42 3.902 386.026 573.000
4 0 0 0 43 11.425 124.962 594.000
4 0 0 0 44 7.614 187.550 514.000
4 0 0 0 45 0.880 438.185 514.000
4 0 0 0 46 0.000 0.000 0.000
4 0 0 0 47 6.120 286.292 565.000
4 0 0 0 48 1.737 455.397 566.000
4 0 0 0 49 5.253 333.852 586.000
4 0 0 0 50 0.087 517.877 559.000
4 0 0 0 51 1.057 495.153 565.000
4 0 0 1 0 11.253 68.051 532.000
4 0 0 1 1 10.868 86.639 537.000
4 0 0 1 2 12.913 34.757 564.000
4 0 0 1 3 8.365 173.224 545.000
4 0 0 1 4 11.776 54.217 535.000
4 0 0 1 5 9.432 142.398 545.000
4 0 0 1 6 9.392 176.339 592.000
4 0 0 1 7 12.399 37.714 543.000
4 0 0 1 8 12.729 43.476 556.000
4 0 0 1 9 11.774 62.449 541.000
4 0 0 1 10 9.649 145.370 569.000
4 0 0 1 11 12.189 44.570 535.000
4 0 0 1 12 12.650 74.089 590.000
4 0 0 1 13 13.391 23.486 565.000
4 0 0 1 14 11.019 120.534 579.000
4 0 0 1 15 11.912 55.864 548.000
4 0 0 1 16 12.958 14.552 541.000
4 0 0 1 17 12.884 28.390 547.000
4 0 0 1 18 14.233 50.107 629.000
4 0 0 1 19 12.653 65.307 582.000
4 0 0 1 20 12.868 34.105 556.000
4 0 0 1 21 11.422 40.936 508.000
4 0 0 1 22 7.390 243.272 569.000
4 0 0 1 23 6.646 254.291 552.000
4 0 0 1 24 7.597 209.792 543.000
4 0 0 1 25 10.424 106.634 543.000
4 0 0 1 26 12.136 114.845 610.000
4 0 0 1 27 12.395 104.853 610.000
4 0 0 1 28 10.987 79.614 530.000
4 0 0 1 29 7.943 173.420 529.000
4 0 0 1 30 12.570 26.955 537.000
4 0 0 1 31 12.650 7.397 527.000
4 0 0 1 32 10.273 177.062 630.000
4 0 0 1 33 13.884 42.846 602.000
4 0 0 1 34 12.568 88.364 605.000
4 0 0 1 35 9.008 165.255 553.000
4 0 0 1 36 12.122 32.550 529.000
4 0 0 1 37 12.075 42.953 529.000
4 0 0 1 38 10.361 119.455 551.000
4 0 0 1 39 6.261 241.462 526.000
4 0 0 1 40 12.621 75.572 589.000
4 0 0 1 41 10.053 102.436 520.000
4 0 0 1 42 12.931 82.349 607.000
4 0 0 1 43 12.736 66.311 582.000
4 0 0 1 44 12.713 50.328 574.000
4 0 0 1 45 8.634 160.455 549.000
4 0 0 1 46 12.384 66.681 566.000
4 0 0 1 47 12.681 63.889 582.000
4 0 0 1 48 12.634 85.589 595.000
4 0 0 1 49 12.565 75.898 592.000
4 0 0 1 50 13.280 75.096 603.000
4 0 0 1 51 10.340 122.810 548.000
4 0 0 2 0 13.642 -31.519 513.000
4 0 0 2 1 13.704 4.283 562.000
4 0 0 2 2 12.770 12.210 534.000
4 0 0 2 3 7.188 223.386 547.000
4 0 0 2 4 8.689 184.444 564.000
4 0 0 2 5 12.183 51.578 555.000
4 0 0 2 6 6.581 249.198 555.000
4 0 0 2 7 12.152 67.579 567.000
4 0 0 2 8 7.731 239.259 584.000
4 0 0 2 9 13.232 7.683 544.000
4 0 0 2 10 13.198 30.847 571.000
4 0 0 2 11 8.791 168.536 553.000
4 0 0 2 12 11.987 102.254 591.000
4 0 0 2 13 12.920 39.778 567.000
4 0 0 2 14 7.739 219.452 566.000
4 0 0 2 15 12.786 37.766 558.000
4 0 0 2 16 10.825 97.926 540.000
4 0 0 2 17 7.327 206.861 528.000
4 0 0 2 18 9.358 172.405 570.000
4 0 0 2 19 12.422 60.651 569.000
4 0 0 2 20 12.151 35.115 532.000
4 0 0 2 21 7.373 222.216 550.000
4 0 0 2 22 11.234 121.123 577.000
4 0 0 2 23 5.648 256.839 515.000
4 0 0 2 24 7.323 218.098 537.000
4 0 0 2 25 10.514 113.659 541.000
4 0 0 2 26 13.118 76.703 603.000
4 0 0 2 27 8.515 235.099 606.000
4 0 0 2 28 7.136 225.032 541.000
4 0 0 2 29 5.526 259.371 506.000
4 0 0 2 30 9.625 115.324 532.000
4 0 0 2 31 12.819 16.136 536.000
4 0 0 2 32 13.615 69.696 626.000
4 0 0 2 33 12.805 74.220 597.000
4 0 0 2 34 11.007 111.669 565.000
4 0 0 2 35 13.702 37.108 587.000
4 0 0 2 36 11.259 53.621 516.000
4 0 0 2 37 7.765 174.273 513.000
4 0 0 2 38 12.671 46.195 556.000
4 0 0 2 39 14.145 -22.973 541.000
4 0 0 2 40 9.952 147.491 581.000
4 0 0 2 41 7.593 184.677 517.000
4 0 0 2 42 13.228 91.299 628.000
4 0 0 2 43 9.895 165.406 589.000
4 0 0 2 44 12.640 74.937 588.000
4 0 0 2 45 12.487 55.871 572.000
4 0 0 2 46 11.377 128.329 596.000
4 0 0 2 47 11.100 118.761 577.000
4 0 0 2 48 13.187 60.639 590.000
4 0 0 2 49 12.931 48.951 576.000
4 0 0 2 50 11.987 109.040 600.000
4 0 0 2 51 9.194 174.480 550.000
4 0 0 3 0 0.000 0.000 0.000
4 0 0 3 1 10.491 108.436 570.000
4 0 0 3 2 12.712 23.759 550.000
4 0 0 3 3 14.488 -41.401 557.000
4 0 0 3 4 11.970 72.952 575.000
4 0 0 3 5 14.454 -16.428 588.000
4 0 0 3 6 14.434 -23.309 563.000
4 0 0 3 7 7.613 197.020 545.000
4 0 0 3 8 14.016 8.145 581.000
4 0 0 3 9 15.640 -43.454 589.000
4 0 0 3 10 12.958 19.303 547.000
4 0 0 3 11 13.643 -9.089 559.000
4 0 0 3 12 9.667 162.743 599.000
4 0 0 3 13 16.622 -74.158 601.000
4 0 0 3 14 7.388 239.601 571.000
4 0 0 3 15 12.551 48.030 571.000
4 0 0 3 16 12.500 20.049 532.000
4 0 0 3 17 10.445 86.841 533.000
