st pl ch r c slope pedestal max
1 0 0 0 0 10.489 179.519 919.000
1 0 0 0 1 11.837 165.825 924.000
1 0 0 0 2 11.411 179.330 917.000
1 0 0 0 3 12.411 180.362 922.000
1 0 0 0 4 11.387 202.176 930.000
1 0 0 0 5 12.511 172.481 935.000
1 0 0 0 6 11.577 179.934 920.000
1 0 0 0 7 12.024 154.108 923.000
1 0 0 0 8 11.747 195.623 923.000
1 0 0 0 9 12.428 180.464 926.000
1 0 0 0 10 11.620 229.034 930.000
1 0 0 0 11 12.359 199.011 934.000
1 0 0 0 12 11.888 189.570 915.000
1 0 0 0 13 12.610 167.895 919.000
1 0 0 0 14 11.800 198.267 927.000
1 0 0 0 15 12.368 206.894 932.000
1 0 0 0 16 11.807 220.042 922.000
1 0 0 0 17 12.597 169.946 926.000
1 0 0 0 18 11.739 234.700 927.000
1 0 0 0 19 12.232 220.499 930.000
1 0 0 0 20 11.549 262.901 935.000
1 0 0 0 21 12.078 247.863 937.000
1 0 0 0 22 9.446 97.074 893.000
1 0 0 0 23 10.850 86.453 902.000
1 0 0 0 24 11.790 215.646 924.000
1 0 0 0 25 12.290 205.542 929.000
1 0 0 0 26 11.601 245.950 927.000
1 0 0 0 27 12.149 240.328 932.000
1 0 0 0 28 11.638 225.868 919.000
1 0 0 0 29 12.264 213.744 923.000
1 0 0 0 30 11.739 238.535 924.000
1 0 0 0 31 12.202 227.625 928.000
1 0 0 0 32 11.791 242.063 927.000
1 0 0 0 33 12.377 225.791 932.000
1 0 0 0 34 11.750 243.377 927.000
1 0 0 0 35 12.447 188.784 931.000
1 0 0 0 36 11.922 197.216 921.000
1 0 0 0 37 12.619 172.131 924.000
1 0 0 0 38 11.441 197.304 912.000
1 0 0 0 39 12.607 135.712 913.000
1 0 0 0 40 11.400 68.028 906.000
1 0 0 0 41 11.644 54.983 909.000
1 0 0 0 42 11.330 225.222 928.000
1 0 0 0 43 12.690 177.416 932.000
1 0 0 0 44 11.456 217.801 935.000
1 0 0 0 45 12.610 206.825 940.000
1 0 0 0 46 11.550 263.341 938.000
1 0 0 0 47 12.350 230.428 941.000
1 0 0 0 48 11.552 188.881 918.000
1 0 0 0 49 12.621 163.478 923.000
1 0 0 0 50 12.063 167.064 922.000
1 0 0 0 51 11.464 157.588 924.000
1 0 0 1 0 9.690 211.893 907.000
1 0 0 1 1 10.580 192.206 912.000
1 0 0 1 2 10.460 203.046 907.000
1 0 0 1 3 10.596 200.070 909.000
1 0 0 1 4 10.191 277.063 923.000
1 0 0 1 5 10.778 232.425 925.000
1 0 0 1 6 10.608 219.181 910.000
1 0 0 1 7 10.728 180.528 911.000
1 0 0 1 8 10.417 250.946 913.000
1 0 0 1 9 10.764 230.303 916.000
1 0 0 1 10 10.434 248.051 920.000
1 0 0 1 11 10.675 241.712 923.000
1 0 0 1 12 10.753 230.867 905.000
1 0 0 1 13 11.021 200.690 906.000
1 0 0 1 14 10.663 265.391 919.000
1 0 0 1 15 11.184 217.413 920.000
1 0 0 1 16 10.619 262.453 913.000
1 0 0 1 17 10.652 235.840 913.000
1 0 0 1 18 10.707 273.976 917.000
1 0 0 1 19 11.040 244.275 919.000
1 0 0 1 20 10.439 293.530 924.000
1 0 0 1 21 10.822 265.898 926.000
1 0 0 1 22 8.755 109.757 880.000
1 0 0 1 23 9.490 148.426 892.000
1 0 0 1 24 10.694 260.372 915.000
1 0 0 1 25 10.786 251.392 917.000
1 0 0 1 26 10.334 305.785 917.000
1 0 0 1 27 10.653 267.607 920.000
1 0 0 1 28 10.445 245.445 907.000
1 0 0 1 29 10.883 247.800 912.000
1 0 0 1 30 10.472 282.474 915.000
1 0 0 1 31 10.704 271.610 917.000
1 0 0 1 32 11.017 238.703 918.000
1 0 0 1 33 11.033 233.065 920.000
1 0 0 1 34 10.609 272.990 917.000
1 0 0 1 35 10.858 254.946 920.000
1 0 0 1 36 10.243 244.820 911.000
1 0 0 1 37 11.143 190.417 913.000
1 0 0 1 38 10.516 192.920 901.000
1 0 0 1 39 10.675 187.979 903.000
1 0 0 1 40 10.739 115.141 895.000
1 0 0 1 41 10.090 93.178 896.000
1 0 0 1 42 10.326 265.746 919.000
1 0 0 1 43 10.574 230.819 920.000
1 0 0 1 44 9.867 287.704 927.000
1 0 0 1 45 10.592 263.179 929.000
1 0 0 1 46 9.935 307.509 928.000
1 0 0 1 47 10.301 288.924 930.000
1 0 0 1 48 10.361 246.726 908.000
1 0 0 1 49 10.708 223.565 910.000
1 0 0 1 50 10.584 239.637 912.000
1 0 0 1 51 10.171 202.081 913.000
1 0 0 2 0 9.693 219.244 906.000
1 0 0 2 1 10.335 212.031 906.000
1 0 0 2 2 10.536 221.004 904.000
1 0 0 2 3 10.347 219.063 904.000
1 0 0 2 4 10.214 262.839 919.000
1 0 0 2 5 10.263 264.094 920.000
1 0 0 2 6 10.345 215.908 906.000
1 0 0 2 7 10.512 200.510 906.000
1 0 0 2 8 10.428 244.773 910.000
1 0 0 2 9 10.306 254.782 911.000
1 0 0 2 10 10.305 265.452 918.000
1 0 0 2 11 10.235 262.559 916.000
1 0 0 2 12 10.463 236.516 902.000
1 0 0 2 13 10.740 208.480 900.000
1 0 0 2 14 10.535 237.859 915.000
1 0 0 2 15 10.353 243.137 915.000
