st pl ch r c slope pedestal max
0 0 0 0 0 7.970 19.733 827.000
0 0 0 0 1 9.415 50.354 852.000
0 0 0 0 2 9.618 18.011 839.000
0 0 0 0 3 9.745 18.079 845.000
0 0 0 0 4 9.636 11.026 838.000
0 0 0 0 5 9.802 25.636 845.000
0 0 0 0 6 10.039 54.448 857.000
0 0 0 0 7 9.752 67.348 860.000
0 0 0 0 8 9.585 15.645 841.000
0 0 0 0 9 9.997 18.067 847.000
0 0 0 0 10 9.480 42.916 842.000
0 0 0 0 11 9.788 24.277 849.000
0 0 0 0 12 9.998 59.381 853.000
0 0 0 0 13 10.056 43.036 855.000
0 0 0 0 14 9.939 32.287 845.000
0 0 0 0 15 9.839 63.091 851.000
0 0 0 0 16 9.760 33.507 849.000
0 0 0 0 17 10.067 28.277 854.000
0 0 0 0 18 9.937 53.295 852.000
0 0 0 0 19 9.754 37.418 855.000
0 0 0 0 20 9.787 3.195 842.000
0 0 0 0 21 9.761 38.457 848.000
0 0 0 0 22 10.012 27.763 845.000
0 0 0 0 23 9.738 51.861 850.000
0 0 0 0 24 10.021 11.616 833.000
0 0 0 0 25 9.594 40.705 839.000
0 0 0 0 26 9.583 51.024 841.000
0 0 0 0 27 9.901 53.675 845.000
0 0 0 0 28 10.013 81.056 852.000
0 0 0 0 29 9.713 82.309 856.000
0 0 0 0 30 9.585 75.709 852.000
0 0 0 0 31 9.432 94.689 857.000
0 0 0 0 32 9.931 75.358 847.000
0 0 0 0 33 9.622 81.394 850.000
0 0 0 0 34 9.604 83.578 858.000
0 0 0 0 35 9.732 115.016 863.000
0 0 0 0 36 9.565 59.341 843.000
0 0 0 0 37 9.566 41.740 849.000
0 0 0 0 38 9.589 60.060 845.000
0 0 0 0 39 9.708 58.898 849.000
0 0 0 0 40 9.967 34.260 838.000
0 0 0 0 41 9.769 67.428 844.000
0 0 0 0 42 9.730 121.677 862.000
0 0 0 0 43 9.816 110.868 865.000
0 0 0 0 44 9.649 67.393 843.000
0 0 0 0 45 9.910 50.020 849.000
0 0 0 0 46 9.786 98.584 852.000
0 0 0 0 47 9.488 110.459 856.000
0 0 0 0 48 9.299 58.743 844.000
0 0 0 0 49 9.679 74.006 853.000
0 0 0 0 50 9.754 55.737 849.000
0 0 0 0 51 8.140 87.364 842.000
0 0 0 1 0 7.950 54.779 826.000
0 0 0 1 1 8.973 48.933 840.000
0 0 0 1 2 8.748 52.882 824.000
0 0 0 1 3 9.355 37.635 834.000
0 0 0 1 4 8.710 51.159 823.000
0 0 0 1 5 9.519 44.590 834.000
0 0 0 1 6 9.313 71.043 843.000
0 0 0 1 7 9.559 54.742 849.000
0 0 0 1 8 8.969 48.125 827.000
0 0 0 1 9 9.310 38.212 835.000
0 0 0 1 10 9.199 61.557 826.000
0 0 0 1 11 9.349 37.865 837.000
0 0 0 1 12 9.125 72.442 836.000
0 0 0 1 13 9.470 57.579 844.000
0 0 0 1 14 9.295 69.768 831.000
0 0 0 1 15 9.560 44.008 838.000
0 0 0 1 16 8.972 57.217 833.000
0 0 0 1 17 9.558 44.065 842.000
0 0 0 1 18 9.271 67.897 838.000
0 0 0 1 19 9.592 49.089 844.000
0 0 0 1 20 9.148 55.642 828.000
0 0 0 1 21 9.712 52.859 837.000
0 0 0 1 22 9.145 62.694 829.000
0 0 0 1 23 9.535 69.380 837.000
0 0 0 1 24 9.071 47.549 817.000
0 0 0 1 25 9.192 42.196 825.000
0 0 0 1 26 9.075 77.498 825.000
0 0 0 1 27 9.441 45.386 831.000
0 0 0 1 28 9.280 110.274 838.000
0 0 0 1 29 9.891 66.310 844.000
0 0 0 1 30 9.289 112.964 840.000
0 0 0 1 31 9.468 87.179 846.000
0 0 0 1 32 8.686 87.600 828.000
0 0 0 1 33 9.455 94.575 840.000
0 0 0 1 34 9.268 126.586 845.000
0 0 0 1 35 10.313 91.119 853.000
0 0 0 1 36 9.188 85.715 829.000
0 0 0 1 37 9.424 52.551 838.000
0 0 0 1 38 9.059 68.134 829.000
0 0 0 1 39 9.469 54.863 837.000
0 0 0 1 40 8.925 58.634 821.000
0 0 0 1 41 9.794 57.944 831.000
0 0 0 1 42 9.572 140.269 848.000
0 0 0 1 43 9.814 89.888 853.000
0 0 0 1 44 9.004 76.918 828.000
0 0 0 1 45 9.118 82.036 835.000
0 0 0 1 46 9.183 106.215 837.000
0 0 0 1 47 9.441 91.401 843.000
0 0 0 1 48 8.839 109.484 831.000
0 0 0 1 49 9.110 88.511 837.000
0 0 0 1 50 8.702 84.648 833.000
0 0 0 1 51 8.480 56.297 833.000
0 0 0 2 0 8.078 56.544 821.000
0 0 0 2 1 9.058 69.192 831.000
0 0 0 2 2 8.937 50.013 819.000
0 0 0 2 3 9.044 52.479 821.000
0 0 0 2 4 9.238 52.968 820.000
0 0 0 2 5 8.752 48.875 819.000
0 0 0 2 6 9.583 88.799 839.000
0 0 0 2 7 9.221 72.558 838.000
0 0 0 2 8 9.006 44.427 820.000
0 0 0 2 9 9.116 55.326 824.000
0 0 0 2 10 9.223 49.406 821.000
0 0 0 2 11 8.758 52.169 823.000
0 0 0 2 12 9.279 87.134 831.000
0 0 0 2 13 9.270 83.826 833.000
0 0 0 2 14 9.496 56.767 826.000
0 0 0 2 15 8.979 80.756 827.000
0 0 0 2 16 9.329 73.418 830.000
0 0 0 2 17 9.060 93.367 833.000
0 0 0 2 18 9.208 84.065 832.000
0 0 0 2 19 9.092 89.777 834.000
0 0 0 2 20 8.832 42.711 819.000
0 0 0 2 21 8.791 48.863 822.000
0 0 0 2 22 9.217 65.494 824.000
0 0 0 2 23 9.170 74.013 827.000
0 0 0 2 24 9.076 50.465 811.000
0 0 0 2 25 8.674 75.382 814.000
0 0 0 2 26 8.780 90.402 819.000
0 0 0 2 27 8.999 78.532 821.000
0 0 0 2 28 9.169 85.933 830.000
0 0 0 2 29 9.194 108.250 832.000
0 0 0 2 30 9.148 114.100 834.000
0 0 0 2 31 9.077 135.053 837.000
0 0 0 2 32 9.019 65.407 823.000
0 0 0 2 33 9.079 104.792 828.000
0 0 0 2 34 9.039 134.936 839.000
0 0 0 2 35 9.039 100.541 840.000
0 0 0 2 36 8.918 81.149 823.000
0 0 0 2 37 9.011 79.924 827.000
0 0 0 2 38 9.159 63.506 823.000
0 0 0 2 39 8.715 66.272 823.000
0 0 0 2 40 9.122 63.965 817.000
0 0 0 2 41 9.001 73.070 819.000
0 0 0 2 42 9.058 113.749 841.000
0 0 0 2 43 9.019 141.824 844.000
0 0 0 2 44 8.949 92.267 823.000
0 0 0 2 45 8.875 72.609 824.000
0 0 0 2 46 8.920 93.652 830.000
0 0 0 2 47 9.008 110.546 834.000
0 0 0 2 48 9.002 118.667 828.000
0 0 0 2 49 8.709 109.081 828.000
0 0 0 2 50 9.192 82.136 829.000
0 0 0 2 51 7.847 76.935 820.000
0 0 0 3 0 8.941 29.384 841.000
0 0 0 3 1 9.937 47.712 855.000
0 0 0 3 2 9.571 37.365 841.000
0 0 0 3 3 9.902 39.343 847.000
0 0 0 3 4 9.923 37.486 842.000
0 0 0 3 5 9.964 38.201 847.000
0 0 0 3 6 10.424 58.347 859.000
0 0 0 3 7 10.382 64.073 864.000
0 0 0 3 8 9.527 23.920 841.000
0 0 0 3 9 9.925 26.775 848.000
0 0 0 3 10 9.735 39.733 843.000
0 0 0 3 11 9.939 65.685 852.000
0 0 0 3 12 10.139 56.517 851.000
0 0 0 3 13 10.340 67.406 858.000
0 0 0 3 14 10.236 34.697 846.000
0 0 0 3 15 10.403 55.694 852.000
0 0 0 3 16 9.633 56.307 851.000
0 0 0 3 17 10.090 52.295 857.000
0 0 0 3 18 10.095 46.202 853.000
0 0 0 3 19 10.381 66.044 858.000
0 0 0 3 20 10.278 38.275 846.000
0 0 0 3 21 10.005 55.198 849.000
0 0 0 3 22 10.182 50.761 846.000
0 0 0 3 23 10.263 61.268 852.000
0 0 0 3 24 9.735 34.271 834.000
0 0 0 3 25 10.148 61.831 841.000
0 0 0 3 26 9.548 49.208 839.000
0 0 0 3 27 10.271 59.731 847.000
0 0 0 3 28 10.224 76.640 852.000
0 0 0 3 29 10.498 91.354 859.000
0 0 0 3 30 10.254 93.264 855.000
0 0 0 3 31 10.147 77.362 859.000
0 0 0 3 32 9.844 71.107 846.000
0 0 0 3 33 10.406 79.868 853.000
0 0 0 3 34 10.217 105.853 860.000
0 0 0 3 35 10.334 109.833 865.000
0 0 0 3 36 9.708 71.286 845.000
0 0 0 3 37 9.855 60.389 851.000
0 0 0 3 38 9.494 68.458 844.000
0 0 0 3 39 9.737 53.782 849.000
0 0 0 3 40 9.479 61.005 838.000
0 0 0 3 41 9.852 67.320 844.000
0 0 0 3 42 9.956 107.380 861.000
0 0 0 3 43 10.318 118.279 867.000
0 0 0 3 44 9.728 77.323 844.000
0 0 0 3 45 9.790 59.324 848.000
0 0 0 3 46 9.745 89.491 852.000
0 0 0 3 47 10.059 94.708 857.000
0 0 0 3 48 9.778 84.066 847.000
0 0 0 3 49 10.082 69.439 852.000
0 0 0 3 50 9.795 88.017 851.000
0 0 0 3 51 9.144 36.699 847.000
0 0 0 4 0 8.118 51.559 825.000
0 0 0 4 1 9.366 24.789 840.000
0 0 0 4 2 8.832 58.573 825.000
0 0 0 4 3 9.101 37.973 832.000
0 0 0 4 4 9.150 54.293 824.000
0 0 0 4 5 9.490 39.328 833.000
0 0 0 4 6 9.325 79.672 843.000
0 0 0 4 7 9.802 68.620 851.000
0 0 0 4 8 9.120 52.268 828.000
0 0 0 4 9 9.277 40.851 834.000
0 0 0 4 10 8.931 54.591 826.000
0 0 0 4 11 9.073 66.358 837.000
0 0 0 4 12 8.832 80.664 834.000
0 0 0 4 13 9.511 99.143 845.000
0 0 0 4 14 8.960 83.045 831.000
0 0 0 4 15 9.476 47.868 838.000
0 0 0 4 16 9.370 63.142 836.000
0 0 0 4 17 9.680 56.459 844.000
0 0 0 4 18 9.403 65.144 837.000
0 0 0 4 19 9.549 39.835 843.000
0 0 0 4 20 9.020 51.087 826.000
0 0 0 4 21 9.322 38.345 834.000
0 0 0 4 22 9.236 67.591 829.000
0 0 0 4 23 9.424 49.923 835.000
0 0 0 4 24 9.081 55.347 817.000
0 0 0 4 25 9.336 44.713 825.000
0 0 0 4 26 9.062 68.593 824.000
0 0 0 4 27 9.387 75.829 832.000
0 0 0 4 28 9.009 101.623 836.000
0 0 0 4 29 9.585 71.580 843.000
0 0 0 4 30 9.228 108.737 838.000
0 0 0 4 31 9.807 89.500 846.000
0 0 0 4 32 9.158 82.862 830.000
0 0 0 4 33 9.491 75.433 838.000
0 0 0 4 34 8.955 117.855 844.000
0 0 0 4 35 9.495 89.827 850.000
0 0 0 4 36 8.882 60.916 825.000
0 0 0 4 37 9.293 54.932 836.000
0 0 0 4 38 8.817 79.720 828.000
0 0 0 4 39 9.215 50.526 835.000
0 0 0 4 40 8.806 83.910 822.000
0 0 0 4 41 9.241 46.954 829.000
0 0 0 4 42 9.147 114.886 847.000
0 0 0 4 43 9.512 116.590 853.000
0 0 0 4 44 8.749 97.154 827.000
0 0 0 4 45 9.366 81.378 836.000
0 0 0 4 46 9.140 100.749 836.000
0 0 0 4 47 9.475 89.562 844.000
0 0 0 4 48 8.874 98.718 831.000
0 0 0 4 49 9.379 94.834 838.000
0 0 0 4 50 9.166 106.107 837.000
0 0 0 4 51 8.529 59.103 834.000
0 0 0 5 0 8.482 38.418 821.000
0 0 0 5 1 8.694 63.055 829.000
0 0 0 5 2 9.158 54.473 821.000
0 0 0 5 3 8.843 50.420 820.000
0 0 0 5 4 9.164 48.500 819.000
0 0 0 5 5 9.027 52.641 821.000
0 0 0 5 6 9.263 65.318 836.000
0 0 0 5 7 9.265 82.534 839.000
0 0 0 5 8 9.218 42.225 822.000
0 0 0 5 9 8.795 62.751 823.000
0 0 0 5 10 8.786 37.765 819.000
0 0 0 5 11 8.881 81.477 826.000
0 0 0 5 12 9.146 91.784 831.000
0 0 0 5 13 9.133 76.860 831.000
0 0 0 5 14 9.191 57.064 824.000
0 0 0 5 15 9.250 66.602 828.000
0 0 0 5 16 9.344 56.872 829.000
0 0 0 5 17 9.301 74.948 832.000
0 0 0 5 18 9.281 53.300 831.000
0 0 0 5 19 9.124 86.819 835.000
0 0 0 5 20 9.060 70.408 822.000
0 0 0 5 21 9.263 58.093 825.000
0 0 0 5 22 9.288 80.891 825.000
0 0 0 5 23 9.456 77.348 827.000
0 0 0 5 24 8.890 46.283 810.000
0 0 0 5 25 8.981 65.411 814.000
0 0 0 5 26 8.911 89.225 819.000
0 0 0 5 27 8.837 87.945 819.000
0 0 0 5 28 9.008 99.489 830.000
0 0 0 5 29 8.935 95.880 831.000
0 0 0 5 30 9.129 122.540 834.000
0 0 0 5 31 9.039 128.028 836.000
0 0 0 5 32 9.238 82.774 825.000
0 0 0 5 33 9.059 77.941 826.000
0 0 0 5 34 9.205 114.031 838.000
0 0 0 5 35 9.041 136.021 841.000
0 0 0 5 36 8.995 89.385 824.000
0 0 0 5 37 8.744 79.887 825.000
0 0 0 5 38 8.841 79.657 824.000
0 0 0 5 39 8.994 65.697 823.000
0 0 0 5 40 9.169 67.808 816.000
0 0 0 5 41 8.875 66.603 816.000
0 0 0 5 42 9.107 127.145 841.000
0 0 0 5 43 9.263 121.785 844.000
0 0 0 5 44 9.074 104.769 823.000
0 0 0 5 45 8.634 87.454 823.000
0 0 0 5 46 9.116 116.592 831.000
0 0 0 5 47 8.842 116.228 832.000
0 0 0 5 48 8.889 96.865 825.000
0 0 0 5 49 8.689 107.148 827.000
0 0 0 5 50 8.742 91.648 828.000
0 0 0 5 51 8.018 94.578 823.000
0 0 0 6 0 9.120 18.396 843.000
0 0 0 6 1 9.967 54.105 857.000
0 0 0 6 2 9.866 49.203 843.000
0 0 0 6 3 9.986 32.246 847.000
0 0 0 6 4 9.920 65.381 843.000
0 0 0 6 5 9.890 22.877 845.000
0 0 0 6 6 9.948 52.533 857.000
0 0 0 6 7 10.152 80.205 864.000
