== DUT
st pl ch r c slope pedestal max
4 1 0 0 0 8.764 23.935 853.000
4 1 0 0 1 9.986 9.475 863.000
4 1 0 0 2 9.586 41.417 860.000
4 1 0 0 3 9.994 15.723 864.000
4 1 0 0 4 9.797 24.981 867.000
4 1 0 0 5 9.886 61.103 871.000
4 1 0 0 6 9.652 62.870 869.000
4 1 0 0 7 9.985 19.465 870.000
4 1 0 0 8 9.730 56.596 871.000
4 1 0 0 9 10.276 37.275 874.000
4 1 0 0 10 9.463 85.437 878.000
4 1 0 0 11 9.609 75.214 880.000
4 1 0 0 12 9.398 100.012 878.000
4 1 0 0 13 9.858 101.273 882.000
4 1 0 0 14 9.119 121.716 883.000
4 1 0 0 15 9.300 109.781 881.000
4 1 0 0 16 9.484 55.270 867.000
4 1 0 0 17 0.000 0.000 0.000
4 1 0 0 18 9.648 28.837 858.000
4 1 0 0 19 9.931 14.601 860.000
4 1 0 0 20 9.038 130.768 882.000
4 1 0 0 21 9.878 98.564 885.000
4 1 0 0 22 9.242 147.758 887.000
4 1 0 0 23 10.208 112.418 891.000
4 1 0 0 24 9.658 98.920 877.000
4 1 0 0 25 9.939 80.347 880.000
4 1 0 0 26 8.888 189.616 893.000
4 1 0 0 27 9.170 159.808 892.000
4 1 0 0 28 9.498 102.794 870.000
4 1 0 0 29 9.660 108.777 875.000
4 1 0 0 30 9.487 118.132 879.000
4 1 0 0 31 9.322 112.284 880.000
4 1 0 0 32 9.787 72.921 871.000
4 1 0 0 33 9.968 66.090 874.000
4 1 0 0 34 9.554 103.983 873.000
4 1 0 0 35 9.741 98.390 875.000
4 1 0 0 36 9.368 130.763 879.000
4 1 0 0 37 9.496 91.079 879.000
4 1 0 0 38 9.899 65.482 864.000
4 1 0 0 39 9.767 25.533 862.000
4 1 0 0 40 9.186 109.474 872.000
4 1 0 0 41 9.378 108.208 874.000
4 1 0 0 42 9.439 109.779 873.000
4 1 0 0 43 9.443 95.351 876.000
4 1 0 0 44 9.276 100.981 872.000
4 1 0 0 45 9.566 75.653 874.000
4 1 0 0 46 9.130 114.422 877.000
4 1 0 0 47 9.326 137.648 882.000
4 1 0 0 48 9.218 138.305 877.000
4 1 0 0 49 9.450 133.601 881.000
4 1 0 0 50 9.322 59.505 867.000
4 1 0 0 51 8.485 46.451 858.000
4 1 0 1 0 8.129 77.761 846.000
4 1 0 1 1 9.197 79.839 857.000
4 1 0 1 2 9.096 80.449 854.000
4 1 0 1 3 9.717 52.649 858.000
4 1 0 1 4 8.750 128.932 862.000
4 1 0 1 5 8.964 87.956 862.000
4 1 0 1 6 9.256 97.736 862.000
4 1 0 1 7 9.446 49.734 863.000
4 1 0 1 8 8.828 108.817 863.000
4 1 0 1 9 9.279 79.172 867.000
4 1 0 1 10 9.025 138.393 873.000
4 1 0 1 11 8.919 129.218 875.000
4 1 0 1 12 9.003 153.443 872.000
4 1 0 1 13 8.997 127.417 874.000
4 1 0 1 14 8.958 161.419 878.000
4 1 0 1 15 9.469 124.896 880.000
4 1 0 1 16 9.177 132.845 864.000
4 1 0 1 17 9.582 74.188 864.000
4 1 0 1 18 8.697 76.403 848.000
4 1 0 1 19 9.243 50.696 853.000
4 1 0 1 20 9.011 147.663 875.000
4 1 0 1 21 9.410 129.245 880.000
4 1 0 1 22 8.432 177.918 879.000
4 1 0 1 23 9.488 115.593 883.000
4 1 0 1 24 8.999 145.419 871.000
4 1 0 1 25 9.622 103.021 875.000
4 1 0 1 26 8.492 215.599 886.000
4 1 0 1 27 9.125 161.692 887.000
4 1 0 1 28 8.984 146.202 864.000
4 1 0 1 29 9.252 88.192 865.000
4 1 0 1 30 8.932 138.997 870.000
4 1 0 1 31 9.397 101.364 873.000
