st pl ch r c slope pedestal max
0 1 0 0 0 0.000 0.000 0.000
0 1 0 0 1 18.527 -264.140 363.000
0 1 0 0 2 18.000 -232.000 380.000
0 1 0 0 3 15.000 -143.500 373.000
0 1 0 0 4 18.580 -258.866 371.000
0 1 0 0 5 6.589 150.045 405.000
0 1 0 0 6 19.000 -241.500 404.000
0 1 0 0 7 18.000 -239.000 371.000
0 1 0 0 8 17.000 -180.500 400.000
0 1 0 0 9 21.094 -315.912 400.000
0 1 0 0 10 23.000 -355.500 417.000
0 1 0 0 11 16.000 -146.000 405.000
0 1 0 0 12 17.798 -178.548 430.000
0 1 0 0 13 27.000 -465.500 439.000
0 1 0 0 14 22.000 -314.000 429.000
0 1 0 0 15 21.000 -282.500 432.000
0 1 0 0 16 16.000 -163.000 386.000
0 1 0 0 17 0.000 0.000 0.000
0 1 0 0 18 15.599 -161.169 373.000
0 1 0 0 19 18.000 -243.000 369.000
0 1 0 0 20 21.084 -269.572 446.000
0 1 0 0 21 27.000 -468.500 442.000
0 1 0 0 22 21.590 -266.362 468.000
0 1 0 0 23 16.581 -98.787 478.000
0 1 0 0 24 18.523 -195.991 438.000
0 1 0 0 25 21.070 -286.452 435.000
0 1 0 0 26 17.838 -115.234 493.000
0 1 0 0 27 20.365 -222.197 471.000
0 1 0 0 28 18.908 -207.809 435.000
0 1 0 0 29 19.506 -220.461 447.000
0 1 0 0 30 21.083 -266.553 449.000
0 1 0 0 31 20.379 -259.135 435.000
0 1 0 0 32 17.398 -172.741 423.000
0 1 0 0 33 20.035 -265.457 415.000
0 1 0 0 34 13.714 -39.179 440.000
0 1 0 0 35 16.952 -142.399 439.000
0 1 0 0 36 21.928 -284.062 456.000
0 1 0 0 37 18.508 -208.839 423.000
0 1 0 0 38 18.000 -196.000 420.000
0 1 0 0 39 17.033 -206.896 374.000
0 1 0 0 40 15.528 -101.382 428.000
0 1 0 0 41 20.089 -250.591 435.000
