st pl ch r c slope pedestal max
0 0 0 0 0 10.931 156.559 887.000
0 0 0 0 1 9.875 155.296 883.000
0 0 0 0 2 8.899 231.108 890.000
0 0 0 0 3 7.679 295.374 894.000
0 0 0 0 4 8.616 253.025 890.000
0 0 0 0 5 8.492 284.575 894.000
0 0 0 0 6 10.575 170.878 882.000
0 0 0 0 7 10.034 195.557 886.000
0 0 0 0 8 8.551 221.605 878.000
0 0 0 0 9 9.283 166.299 880.000
0 0 0 0 10 10.446 161.218 882.000
0 0 0 0 11 10.169 192.700 887.000
0 0 0 0 12 10.037 194.790 885.000
0 0 0 0 13 9.052 213.616 882.000
0 0 0 0 14 10.389 189.427 888.000
0 0 0 0 15 10.222 185.206 890.000
0 0 0 0 16 9.664 178.393 878.000
0 0 0 0 17 10.064 215.057 884.000
0 0 0 0 18 10.016 226.569 897.000
0 0 0 0 19 8.968 282.725 901.000
0 0 0 0 20 9.753 227.836 881.000
0 0 0 0 21 8.774 196.892 877.000
0 0 0 0 22 9.279 269.277 889.000
0 0 0 0 23 7.648 327.508 890.000
0 0 0 0 24 9.763 234.932 888.000
0 0 0 0 25 9.305 214.498 887.000
0 0 0 0 26 9.905 227.355 888.000
0 0 0 0 27 10.013 228.406 890.000
0 0 0 0 28 7.596 319.621 887.000
0 0 0 0 29 8.558 232.331 889.000
0 0 0 0 30 10.333 138.884 869.000
0 0 0 0 31 10.710 145.007 871.000
0 0 0 0 32 9.229 196.877 874.000
0 0 0 0 33 7.317 313.672 880.000
0 0 0 0 34 8.696 283.156 884.000
0 0 0 0 35 8.043 352.635 890.000
0 0 0 0 36 7.090 376.269 890.000
0 0 0 0 37 6.230 407.816 894.000
0 0 0 0 38 8.252 286.848 888.000
0 0 0 0 39 8.442 307.732 893.000
0 0 0 0 40 10.037 201.800 879.000
0 0 0 0 41 10.105 177.757 882.000
0 0 0 0 42 9.621 213.391 883.000
0 0 0 0 43 9.398 234.321 887.000
0 0 0 0 44 9.116 256.631 888.000
0 0 0 0 45 8.347 302.105 893.000
0 0 0 0 46 6.847 349.643 883.000
0 0 0 0 47 8.241 331.948 887.000
0 0 0 0 48 9.332 236.881 885.000
0 0 0 0 49 6.523 364.784 885.000
0 0 0 0 50 8.656 269.588 887.000
0 0 0 0 51 5.535 390.504 880.000
0 0 0 1 0 9.786 170.528 874.000
0 0 0 1 1 10.842 166.852 885.000
0 0 0 1 2 9.694 229.089 887.000
0 0 0 1 3 10.150 231.956 893.000
0 0 0 1 4 9.974 247.279 886.000
0 0 0 1 5 10.427 235.488 892.000
0 0 0 1 6 10.207 176.331 874.000
0 0 0 1 7 10.810 152.606 878.000
0 0 0 1 8 9.952 211.037 875.000
0 0 0 1 9 10.667 159.853 880.000
0 0 0 1 10 10.091 195.377 875.000
0 0 0 1 11 10.753 165.782 881.000
0 0 0 1 12 10.148 197.495 877.000
0 0 0 1 13 10.862 188.823 883.000
0 0 0 1 14 10.038 206.771 880.000
0 0 0 1 15 10.476 189.747 884.000
0 0 0 1 16 10.267 187.132 872.000
0 0 0 1 17 10.564 176.168 876.000
0 0 0 1 18 9.217 276.108 891.000
0 0 0 1 19 10.406 206.475 894.000
0 0 0 1 20 9.677 235.790 873.000
0 0 0 1 21 10.458 185.531 878.000
0 0 0 1 22 9.442 278.783 882.000
0 0 0 1 23 10.324 240.059 886.000
0 0 0 1 24 9.772 230.154 879.000
0 0 0 1 25 10.384 201.570 884.000
0 0 0 1 26 9.450 256.064 879.000
0 0 0 1 27 10.376 232.076 884.000
0 0 0 1 28 9.201 274.126 882.000
0 0 0 1 29 10.444 229.334 887.000
0 0 0 1 30 10.004 177.081 860.000
0 0 0 1 31 10.552 162.279 865.000
0 0 0 1 32 9.543 217.423 870.000
0 0 0 1 33 10.694 188.525 875.000
0 0 0 1 34 9.273 282.795 878.000
0 0 0 1 35 10.224 238.536 883.000
0 0 0 1 36 8.873 300.507 885.000
0 0 0 1 37 9.598 285.146 891.000
0 0 0 1 38 8.723 311.862 883.000
0 0 0 1 39 9.582 283.084 888.000
0 0 0 1 40 9.627 216.036 870.000
0 0 0 1 41 10.164 207.669 876.000
