st pl ch r c slope pedestal max
0 1 0 0 0 7.378 165.207 884.000
0 1 0 0 1 8.696 184.449 911.000
0 1 0 0 2 8.579 198.205 914.000
0 1 0 0 3 8.178 239.855 920.000
0 1 0 0 4 8.447 192.979 914.000
0 1 0 0 5 8.715 168.957 916.000
0 1 0 0 6 8.536 188.654 912.000
0 1 0 0 7 7.168 315.230 922.000
0 1 0 0 8 8.592 178.193 910.000
0 1 0 0 9 8.130 213.124 911.000
0 1 0 0 10 8.569 201.906 915.000
0 1 0 0 11 7.588 292.168 920.000
0 1 0 0 12 8.499 212.584 914.000
0 1 0 0 13 8.115 247.141 921.000
0 1 0 0 14 7.690 265.975 923.000
0 1 0 0 15 7.518 289.108 925.000
0 1 0 0 16 7.650 274.974 927.000
0 1 0 0 17 7.172 324.234 929.000
0 1 0 0 18 8.986 153.674 903.000
0 1 0 0 19 8.988 166.584 907.000
0 1 0 0 20 8.098 221.466 913.000
0 1 0 0 21 7.986 247.159 916.000
0 1 0 0 22 8.761 179.344 915.000
0 1 0 0 23 7.746 272.133 918.000
0 1 0 0 24 8.693 182.840 903.000
0 1 0 0 25 8.378 204.240 905.000
0 1 0 0 26 7.865 269.855 917.000
0 1 0 0 27 7.909 273.028 920.000
0 1 0 0 28 7.824 260.608 910.000
0 1 0 0 29 7.646 258.216 911.000
0 1 0 0 30 7.580 282.625 913.000
0 1 0 0 31 7.383 300.426 917.000
0 1 0 0 32 8.883 205.023 916.000
0 1 0 0 33 6.877 326.788 917.000
0 1 0 0 34 7.629 275.838 915.000
0 1 0 0 35 7.503 291.237 918.000
0 1 0 0 36 8.460 199.222 905.000
0 1 0 0 37 9.048 142.442 901.000
0 1 0 0 38 8.501 202.744 911.000
0 1 0 0 39 7.868 264.461 920.000
0 1 0 0 40 7.581 278.121 914.000
0 1 0 0 41 7.837 250.123 913.000
0 1 0 0 42 8.799 145.814 900.000
0 1 0 0 43 8.584 142.374 897.000
0 1 0 0 44 7.802 244.557 911.000
0 1 0 0 45 7.803 249.667 912.000
0 1 0 0 46 7.768 252.272 913.000
0 1 0 0 47 7.302 285.100 914.000
0 1 0 0 48 8.831 135.174 899.000
0 1 0 0 49 8.536 186.337 903.000
0 1 0 0 50 8.469 182.985 902.000
0 1 0 0 51 5.869 299.596 882.000
0 1 0 1 0 7.504 166.899 884.000
0 1 0 1 1 9.042 154.639 905.000
0 1 0 1 2 8.764 150.952 903.000
0 1 0 1 3 9.080 184.052 913.000
0 1 0 1 4 8.643 180.880 908.000
0 1 0 1 5 9.205 143.443 912.000
0 1 0 1 6 8.591 181.046 906.000
0 1 0 1 7 8.721 200.373 913.000
0 1 0 1 8 8.502 181.910 902.000
0 1 0 1 9 8.380 227.007 911.000
0 1 0 1 10 8.141 232.826 911.000
0 1 0 1 11 8.460 214.890 912.000
0 1 0 1 12 8.290 207.882 902.000
0 1 0 1 13 8.735 196.436 913.000
0 1 0 1 14 8.085 238.471 915.000
0 1 0 1 15 8.538 218.514 920.000
0 1 0 1 16 7.735 277.817 919.000
0 1 0 1 17 8.409 231.769 923.000
0 1 0 1 18 8.628 173.745 896.000
0 1 0 1 19 9.242 130.665 901.000
0 1 0 1 20 8.526 192.119 905.000
0 1 0 1 21 8.732 197.450 910.000
0 1 0 1 22 8.138 227.212 910.000
0 1 0 1 23 8.743 188.078 913.000
0 1 0 1 24 8.699 163.142 895.000
0 1 0 1 25 9.227 161.236 901.000
0 1 0 1 26 8.421 223.062 906.000
0 1 0 1 27 8.725 194.355 910.000
0 1 0 1 28 8.436 214.530 901.000
0 1 0 1 29 8.788 207.033 907.000
0 1 0 1 30 7.809 263.147 905.000
0 1 0 1 31 8.417 242.256 911.000
0 1 0 1 32 7.935 247.852 908.000
0 1 0 1 33 8.809 207.470 912.000
0 1 0 1 34 7.812 265.429 908.000
0 1 0 1 35 8.050 253.496 913.000
0 1 0 1 36 8.544 180.890 898.000
0 1 0 1 37 9.099 143.606 899.000
0 1 0 1 38 8.145 249.427 906.000
0 1 0 1 39 8.703 211.410 913.000
0 1 0 1 40 8.184 219.255 905.000
0 1 0 1 41 8.490 233.740 912.000
0 1 0 1 42 8.557 154.303 888.000
0 1 0 1 43 9.125 135.783 895.000
0 1 0 1 44 7.919 248.903 905.000
0 1 0 1 45 8.568 219.927 911.000
0 1 0 1 46 8.026 235.236 904.000
0 1 0 1 47 8.437 206.402 907.000
0 1 0 1 48 8.431 161.932 892.000
0 1 0 1 49 9.122 128.128 897.000
0 1 0 1 50 7.588 239.954 898.000
0 1 0 1 51 7.455 210.191 890.000
0 1 0 2 0 7.343 205.263 884.000
0 1 0 2 1 8.391 184.912 897.000
0 1 0 2 2 8.032 224.324 903.000
0 1 0 2 3 8.384 197.173 904.000
0 1 0 2 4 8.486 166.846 901.000
0 1 0 2 5 8.488 182.171 904.000
0 1 0 2 6 8.031 219.850 902.000
0 1 0 2 7 8.409 189.881 902.000
0 1 0 2 8 7.991 228.943 899.000
0 1 0 2 9 8.292 193.367 898.000
0 1 0 2 10 7.965 234.761 907.000
0 1 0 2 11 7.921 246.341 905.000
0 1 0 2 12 7.652 263.100 902.000
0 1 0 2 13 8.310 201.612 904.000
0 1 0 2 14 7.720 258.378 912.000
0 1 0 2 15 7.611 274.274 914.000
0 1 0 2 16 7.651 273.058 915.000
0 1 0 2 17 7.366 306.032 918.000
0 1 0 2 18 8.383 193.217 894.000
0 1 0 2 19 8.483 184.133 894.000
0 1 0 2 20 7.911 241.608 902.000
0 1 0 2 21 7.932 239.451 903.000
0 1 0 2 22 7.939 242.198 906.000
0 1 0 2 23 8.207 216.581 905.000
0 1 0 2 24 8.142 217.558 892.000
0 1 0 2 25 8.161 215.516 894.000
0 1 0 2 26 7.819 279.527 905.000
0 1 0 2 27 7.798 252.926 903.000
0 1 0 2 28 7.351 288.128 899.000
0 1 0 2 29 8.295 204.569 898.000
0 1 0 2 30 7.476 284.369 902.000
0 1 0 2 31 7.633 272.204 904.000
0 1 0 2 32 7.443 288.136 905.000
0 1 0 2 33 7.846 272.373 906.000
0 1 0 2 34 7.431 281.588 903.000
0 1 0 2 35 7.775 256.402 904.000
0 1 0 2 36 8.017 221.471 895.000
0 1 0 2 37 8.289 186.056 888.000
0 1 0 2 38 7.650 266.173 902.000
0 1 0 2 39 7.903 243.085 905.000
0 1 0 2 40 7.376 291.521 904.000
0 1 0 2 41 7.732 248.594 902.000
0 1 0 2 42 8.414 175.490 887.000
0 1 0 2 43 8.338 191.605 890.000
0 1 0 2 44 7.640 259.161 901.000
0 1 0 2 45 7.850 236.212 901.000
0 1 0 2 46 7.767 248.106 900.000
0 1 0 2 47 7.538 265.010 900.000
0 1 0 2 48 8.028 211.688 891.000
0 1 0 2 49 8.247 175.248 888.000
0 1 0 2 50 7.517 266.957 896.000
0 1 0 2 51 6.853 247.580 883.000
0 1 0 3 0 8.182 150.487 898.000
0 1 0 3 1 9.101 163.474 913.000
0 1 0 3 2 9.084 172.393 917.000
0 1 0 3 3 9.066 196.984 921.000
0 1 0 3 4 9.561 123.044 916.000
0 1 0 3 5 8.897 187.494 922.000
0 1 0 3 6 9.175 165.055 916.000
0 1 0 3 7 8.432 229.635 920.000
0 1 0 3 8 9.063 170.681 913.000
0 1 0 3 9 8.964 182.390 915.000
0 1 0 3 10 8.854 210.045 921.000
0 1 0 3 11 7.821 301.521 923.000
0 1 0 3 12 9.032 172.516 913.000
0 1 0 3 13 8.128 240.927 920.000
0 1 0 3 14 8.823 201.816 924.000
0 1 0 3 15 8.015 266.898 928.000
0 1 0 3 16 7.891 300.857 931.000
0 1 0 3 17 7.877 284.172 932.000
0 1 0 3 18 8.855 215.446 912.000
0 1 0 3 19 9.245 178.884 912.000
0 1 0 3 20 8.777 219.248 916.000
0 1 0 3 21 8.708 207.424 918.000
0 1 0 3 22 8.750 198.435 917.000
0 1 0 3 23 8.223 266.803 924.000
0 1 0 3 24 9.293 170.891 907.000
0 1 0 3 25 9.209 178.730 910.000
0 1 0 3 26 8.362 256.819 918.000
0 1 0 3 27 8.492 228.409 919.000
0 1 0 3 28 8.648 225.205 913.000
0 1 0 3 29 8.476 245.173 917.000
0 1 0 3 30 8.515 238.410 915.000
0 1 0 3 31 8.116 253.891 919.000
0 1 0 3 32 8.464 249.701 919.000
0 1 0 3 33 8.086 272.530 920.000
0 1 0 3 34 7.963 268.736 918.000
0 1 0 3 35 8.094 253.168 918.000
0 1 0 3 36 9.206 151.561 908.000
0 1 0 3 37 9.125 186.458 909.000
0 1 0 3 38 8.999 192.489 914.000
0 1 0 3 39 8.134 274.155 923.000
0 1 0 3 40 8.685 226.248 917.000
0 1 0 3 41 8.195 247.776 919.000
0 1 0 3 42 9.327 126.686 900.000
0 1 0 3 43 9.369 158.567 906.000
0 1 0 3 44 8.286 231.754 914.000
0 1 0 3 45 8.245 266.323 920.000
0 1 0 3 46 8.160 265.266 916.000
0 1 0 3 47 7.864 272.636 918.000
0 1 0 3 48 9.245 123.359 900.000
0 1 0 3 49 8.814 200.903 908.000
0 1 0 3 50 8.666 209.053 909.000
0 1 0 3 51 7.541 207.222 894.000
0 1 0 4 0 7.419 179.760 884.000
0 1 0 4 1 9.261 115.352 900.000
0 1 0 4 2 7.997 231.449 907.000
0 1 0 4 3 9.020 187.231 913.000
0 1 0 4 4 8.361 197.294 908.000
0 1 0 4 5 9.289 125.274 910.000
0 1 0 4 6 8.580 173.709 903.000
0 1 0 4 7 9.044 155.956 909.000
0 1 0 4 8 8.196 211.012 900.000
0 1 0 4 9 8.980 149.480 904.000
0 1 0 4 10 7.708 257.539 910.000
0 1 0 4 11 8.516 206.798 911.000
0 1 0 4 12 8.197 225.108 904.000
