st pl ch r c slope pedestal max
0 1 0 0 0 0.000 0.000 0.000
0 1 0 0 1 15.911 -95.722 529.000
0 1 0 0 2 14.280 -30.370 551.000
0 1 0 0 3 12.310 72.644 589.000
0 1 0 0 4 11.574 69.190 536.000
0 1 0 0 5 11.827 42.399 517.000
0 1 0 0 6 12.738 28.241 529.000
0 1 0 0 7 12.001 113.436 612.000
0 1 0 0 8 12.458 22.782 528.000
0 1 0 0 9 11.997 53.750 550.000
0 1 0 0 10 0.000 0.000 0.000
0 1 0 0 11 13.443 54.866 594.000
0 1 0 0 12 15.536 -55.516 570.000
0 1 0 0 13 14.921 -13.858 595.000
0 1 0 0 14 14.767 -13.532 568.000
0 1 0 0 15 12.659 78.526 606.000
0 1 0 0 16 12.921 61.675 599.000
0 1 0 0 17 17.860 -78.130 625.000
0 1 0 0 18 11.076 69.746 512.000
0 1 0 0 19 14.029 -20.450 526.000
0 1 0 0 20 10.784 99.490 552.000
0 1 0 0 21 10.850 124.476 576.000
0 1 0 0 22 10.572 109.401 548.000
0 1 0 0 23 0.000 0.000 0.000
0 1 0 0 24 7.424 210.593 526.000
0 1 0 0 25 16.461 -111.501 549.000
0 1 0 0 26 14.533 13.933 604.000
0 1 0 0 27 16.432 -43.932 599.000
0 1 0 0 28 11.813 97.180 585.000
0 1 0 0 29 10.991 120.150 582.000
0 1 0 0 30 15.920 -34.061 596.000
0 1 0 0 31 14.779 17.354 599.000
0 1 0 0 32 13.959 27.067 573.000
0 1 0 0 33 9.003 223.353 608.000
0 1 0 0 34 13.606 39.595 587.000
0 1 0 0 35 13.549 63.264 614.000
0 1 0 0 36 0.000 0.000 0.000
0 1 0 0 37 8.982 131.225 500.000
0 1 0 0 38 13.988 -4.208 559.000
0 1 0 0 39 14.743 3.171 599.000
0 1 0 0 40 16.347 -61.365 569.000
0 1 0 0 41 12.140 74.339 576.000
0 1 0 0 42 9.574 109.722 509.000
0 1 0 0 43 13.950 -60.943 486.000
0 1 0 0 44 10.922 118.451 554.000
0 1 0 0 45 15.963 -52.901 562.000
0 1 0 0 46 11.002 111.894 575.000
0 1 0 0 47 9.800 176.428 586.000
0 1 0 0 48 12.672 -8.711 502.000
0 1 0 0 49 10.505 103.135 540.000
0 1 0 0 50 4.965 295.405 517.000
0 1 0 0 51 0.000 0.000 0.000
0 1 0 1 0 8.844 112.165 470.000
0 1 0 1 1 14.042 -23.187 528.000
0 1 0 1 2 13.409 -12.749 520.000
0 1 0 1 3 13.108 32.205 565.000
0 1 0 1 4 13.942 -5.557 539.000
0 1 0 1 5 13.148 0.501 527.000
0 1 0 1 6 13.005 22.511 543.000
0 1 0 1 7 15.691 -51.467 565.000
0 1 0 1 8 13.209 15.246 538.000
0 1 0 1 9 14.088 12.736 577.000
0 1 0 1 10 14.354 10.252 590.000
0 1 0 1 11 12.475 66.149 560.000
0 1 0 1 12 13.221 30.057 556.000
0 1 0 1 13 14.377 -8.159 561.000
0 1 0 1 14 12.121 93.472 580.000
0 1 0 1 15 14.163 12.957 579.000
0 1 0 1 16 12.964 82.166 603.000
0 1 0 1 17 15.136 -12.136 581.000
0 1 0 1 18 13.117 10.426 535.000
0 1 0 1 19 11.594 43.648 511.000
0 1 0 1 20 15.327 -48.557 545.000
0 1 0 1 21 15.056 -29.777 561.000
