st pl ch r c slope pedestal max
1 1 0 0 0 5.447 289.552 926.000
1 1 0 0 1 10.221 119.318 936.000
1 1 0 0 2 11.152 4.140 930.000
1 1 0 0 3 9.597 131.518 938.000
1 1 0 0 4 9.965 46.501 914.000
1 1 0 0 5 9.071 110.208 919.000
1 1 0 0 6 9.091 155.452 930.000
1 1 0 0 7 10.870 120.640 940.000
1 1 0 0 8 9.367 167.408 922.000
1 1 0 0 9 8.644 181.812 926.000
1 1 0 0 10 8.734 215.675 934.000
1 1 0 0 11 8.105 245.003 940.000
1 1 0 0 12 7.780 261.803 935.000
1 1 0 0 13 6.808 326.885 942.000
1 1 0 0 14 10.330 114.413 921.000
1 1 0 0 15 12.214 -2.572 928.000
1 1 0 0 16 9.752 99.956 922.000
1 1 0 0 17 9.158 137.150 930.000
1 1 0 0 18 9.606 92.716 920.000
1 1 0 0 19 9.455 144.007 930.000
1 1 0 0 20 8.371 228.023 932.000
1 1 0 0 21 8.951 223.250 942.000
1 1 0 0 22 11.178 113.962 932.000
1 1 0 0 23 12.552 64.369 937.000
1 1 0 0 24 12.430 30.023 916.000
1 1 0 0 25 8.462 189.873 922.000
1 1 0 0 26 9.134 170.227 921.000
1 1 0 0 27 10.152 141.933 929.000
1 1 0 0 28 12.172 -23.706 919.000
1 1 0 0 29 11.364 41.069 924.000
1 1 0 0 30 8.914 194.994 923.000
1 1 0 0 31 10.246 107.748 927.000
1 1 0 0 32 12.095 29.041 917.000
1 1 0 0 33 11.322 115.674 925.000
1 1 0 0 34 9.045 181.615 927.000
1 1 0 0 35 9.305 175.511 931.000
1 1 0 0 36 11.756 95.696 924.000
1 1 0 0 37 7.260 289.078 930.000
1 1 0 0 38 8.724 133.551 918.000
1 1 0 0 39 6.839 310.217 931.000
1 1 0 0 40 10.314 84.635 900.000
1 1 0 0 41 12.300 -80.106 906.000
1 1 0 0 42 9.199 140.095 921.000
1 1 0 0 43 10.742 114.365 934.000
1 1 0 0 44 12.460 36.860 925.000
1 1 0 0 45 12.145 70.664 933.000
1 1 0 0 46 8.297 224.219 935.000
1 1 0 0 47 8.651 243.679 943.000
1 1 0 0 48 9.594 182.861 931.000
1 1 0 0 49 8.255 246.919 937.000
1 1 0 0 50 7.790 262.726 934.000
1 1 0 0 51 5.002 358.447 923.000
1 1 0 1 0 9.508 163.634 920.000
1 1 0 1 1 11.826 93.805 931.000
1 1 0 1 2 11.918 60.297 924.000
1 1 0 1 3 11.898 85.922 931.000
1 1 0 1 4 11.222 44.394 905.000
1 1 0 1 5 11.935 14.411 910.000
1 1 0 1 6 11.370 110.889 925.000
1 1 0 1 7 11.803 92.156 930.000
1 1 0 1 8 11.760 80.950 913.000
1 1 0 1 9 12.174 55.376 917.000
1 1 0 1 10 12.771 71.155 928.000
1 1 0 1 11 10.242 188.929 933.000
1 1 0 1 12 11.700 119.624 929.000
1 1 0 1 13 11.502 133.895 935.000
1 1 0 1 14 11.953 96.078 917.000
1 1 0 1 15 12.370 49.865 919.000
1 1 0 1 16 11.789 105.041 918.000
1 1 0 1 17 11.908 90.366 923.000
1 1 0 1 18 11.744 74.601 908.000
1 1 0 1 19 11.566 79.532 914.000
1 1 0 1 20 11.947 132.931 926.000
1 1 0 1 21 12.264 84.368 930.000
1 1 0 1 22 11.905 116.512 922.000
1 1 0 1 23 12.240 76.472 925.000
1 1 0 1 24 12.322 85.554 907.000
1 1 0 1 25 12.266 66.582 913.000
