st pl ch r c slope pedestal max
1 1 0 0 0 0.000 0.000 0.000
1 1 0 0 1 0.000 0.000 0.000
1 1 0 0 2 0.000 0.000 0.000
1 1 0 0 3 0.000 0.000 0.000
1 1 0 0 4 0.000 0.000 0.000
1 1 0 0 5 0.000 0.000 0.000
1 1 0 0 6 0.000 0.000 0.000
1 1 0 0 7 0.000 0.000 0.000
1 1 0 0 8 0.000 0.000 0.000
1 1 0 0 9 0.000 0.000 0.000
1 1 0 0 10 0.000 0.000 0.000
1 1 0 0 11 0.000 0.000 0.000
1 1 0 0 12 0.000 0.000 0.000
1 1 0 0 13 20.000 -80.000 560.000
1 1 0 0 14 0.000 0.000 0.000
1 1 0 0 15 0.000 0.000 0.000
1 1 0 0 16 0.000 0.000 0.000
1 1 0 0 17 0.000 0.000 0.000
1 1 0 0 18 0.000 0.000 0.000
1 1 0 0 19 0.000 0.000 0.000
1 1 0 0 20 0.000 0.000 0.000
1 1 0 0 21 13.282 129.814 585.000
1 1 0 0 22 0.000 0.000 0.000
1 1 0 0 23 0.000 0.000 0.000
1 1 0 0 24 0.000 0.000 0.000
1 1 0 0 25 0.976 422.220 500.000
1 1 0 0 26 10.776 137.809 533.000
1 1 0 0 27 0.000 0.000 0.000
1 1 0 0 28 0.000 0.000 0.000
1 1 0 0 29 0.000 0.000 0.000
1 1 0 0 30 0.000 0.000 0.000
1 1 0 0 31 0.000 0.000 0.000
1 1 0 0 32 3.949 279.418 515.000
1 1 0 0 33 0.000 0.000 0.000
1 1 0 0 34 5.108 332.689 526.000
1 1 0 0 35 0.000 0.000 0.000
1 1 0 0 36 10.058 154.090 549.000
1 1 0 0 37 0.000 0.000 0.000
1 1 0 0 38 0.000 0.000 0.000
1 1 0 0 39 0.000 0.000 0.000
1 1 0 0 40 0.000 0.000 0.000
1 1 0 0 41 0.000 0.000 0.000
1 1 0 0 42 0.000 0.000 0.000
1 1 0 0 43 0.000 0.000 0.000
1 1 0 0 44 0.000 0.000 0.000
1 1 0 0 45 4.388 291.153 565.000
1 1 0 0 46 0.000 0.000 0.000
1 1 0 0 47 10.267 225.535 595.000
1 1 0 0 48 0.000 0.000 0.000
1 1 0 0 49 0.000 0.000 0.000
1 1 0 0 50 0.000 0.000 0.000
1 1 0 0 51 0.000 0.000 0.000
1 1 0 1 0 0.000 0.000 0.000
1 1 0 1 1 4.281 299.844 485.000
1 1 0 1 2 9.717 121.125 483.000
1 1 0 1 3 11.664 83.987 461.000
1 1 0 1 4 9.274 94.609 425.000
1 1 0 1 5 1.609 308.583 383.000
1 1 0 1 6 8.021 182.018 496.000
1 1 0 1 7 16.005 -38.480 499.000
1 1 0 1 8 0.950 364.782 459.000
1 1 0 1 9 3.499 271.972 448.000
1 1 0 1 10 7.044 242.810 506.000
1 1 0 1 11 6.922 250.918 512.000
1 1 0 1 12 5.164 296.289 507.000
1 1 0 1 13 9.132 177.849 501.000
1 1 0 1 14 4.062 306.795 491.000
1 1 0 1 15 9.518 133.654 494.000
1 1 0 1 16 12.316 78.129 479.000
1 1 0 1 17 6.446 227.708 482.000
1 1 0 1 18 4.067 278.309 437.000
1 1 0 1 19 9.432 117.106 472.000
1 1 0 1 20 2.785 381.093 527.000
1 1 0 1 21 2.968 326.811 480.000
1 1 0 1 22 2.938 332.189 496.000
1 1 0 1 23 5.301 271.953 492.000
1 1 0 1 24 7.203 225.685 504.000
1 1 0 1 25 7.001 209.424 472.000
1 1 0 1 26 9.230 178.438 505.000
1 1 0 1 27 5.195 272.258 487.000
1 1 0 1 28 8.807 178.215 524.000
1 1 0 1 29 11.777 82.866 466.000
1 1 0 1 30 6.897 247.993 515.000
1 1 0 1 31 0.930 405.943 465.000
1 1 0 1 32 9.749 151.237 513.000
1 1 0 1 33 5.668 258.386 479.000
1 1 0 1 34 2.527 317.601 458.000
1 1 0 1 35 8.395 204.740 501.000
1 1 0 1 36 6.688 275.129 532.000
1 1 0 1 37 7.026 246.535 514.000
1 1 0 1 38 6.654 242.160 495.000
1 1 0 1 39 0.000 0.000 0.000
1 1 0 1 40 4.564 261.225 460.000
1 1 0 1 41 8.277 164.048 488.000
1 1 0 1 42 0.000 0.000 0.000
1 1 0 1 43 7.640 213.096 497.000
1 1 0 1 44 9.521 183.679 499.000
1 1 0 1 45 9.645 168.823 528.000
1 1 0 1 46 7.095 284.348 543.000
1 1 0 1 47 3.108 349.809 508.000
1 1 0 1 48 2.472 372.270 524.000
1 1 0 1 49 6.803 248.897 505.000
1 1 0 1 50 6.545 242.315 496.000
1 1 0 1 51 0.000 0.000 0.000
1 1 0 2 0 2.227 329.123 508.000
1 1 0 2 1 12.668 32.854 499.000
1 1 0 2 2 7.966 177.921 487.000
1 1 0 2 3 1.687 353.870 454.000
1 1 0 2 4 0.000 0.000 0.000
1 1 0 2 5 8.220 141.455 428.000
1 1 0 2 6 10.027 127.285 466.000
1 1 0 2 7 8.278 195.721 474.000
1 1 0 2 8 7.964 185.336 462.000
1 1 0 2 9 7.591 197.967 481.000
1 1 0 2 10 8.130 207.194 507.000
1 1 0 2 11 10.155 185.723 534.000
1 1 0 2 12 5.513 251.497 500.000
1 1 0 2 13 12.006 84.999 511.000
1 1 0 2 14 8.323 179.445 511.000
1 1 0 2 15 8.933 178.751 512.000
1 1 0 2 16 4.303 284.160 474.000
1 1 0 2 17 1.503 361.288 478.000
1 1 0 2 18 7.757 182.472 452.000
1 1 0 2 19 7.515 205.295 477.000
1 1 0 2 20 9.904 166.848 492.000
1 1 0 2 21 5.818 272.524 493.000
1 1 0 2 22 7.119 277.375 552.000
1 1 0 2 23 9.643 162.845 509.000
1 1 0 2 24 10.492 137.775 489.000
1 1 0 2 25 4.861 263.120 500.000
1 1 0 2 26 11.417 111.426 516.000
1 1 0 2 27 14.878 -24.760 506.000
1 1 0 2 28 7.865 210.892 517.000
1 1 0 2 29 3.412 305.630 475.000
1 1 0 2 30 2.838 386.270 528.000
1 1 0 2 31 6.536 300.531 537.000
1 1 0 2 32 7.565 211.412 485.000
1 1 0 2 33 7.919 190.194 457.000
1 1 0 2 34 7.995 240.724 520.000
1 1 0 2 35 6.840 236.481 504.000
1 1 0 2 36 7.780 240.702 528.000
1 1 0 2 37 10.639 150.184 508.000
1 1 0 2 38 5.063 276.749 521.000
1 1 0 2 39 11.006 105.183 495.000
1 1 0 2 40 14.461 -33.049 486.000
1 1 0 2 41 8.700 134.854 461.000
1 1 0 2 42 4.213 298.836 487.000
1 1 0 2 43 3.769 346.601 510.000
1 1 0 2 44 0.000 0.000 0.000
1 1 0 2 45 7.054 252.999 514.000
1 1 0 2 46 7.823 257.517 524.000
1 1 0 2 47 7.862 255.840 532.000
1 1 0 2 48 6.701 267.057 525.000
1 1 0 2 49 8.050 240.758 543.000
1 1 0 2 50 10.193 158.202 502.000
1 1 0 2 51 3.183 343.375 546.000
1 1 0 3 0 0.000 0.000 0.000
1 1 0 3 1 4.847 243.749 444.000
1 1 0 3 2 8.542 143.501 463.000
1 1 0 3 3 10.715 87.158 475.000
1 1 0 3 4 0.000 0.000 0.000
1 1 0 3 5 3.858 232.899 410.000
1 1 0 3 6 2.514 296.459 408.000
1 1 0 3 7 8.932 171.648 536.000
1 1 0 3 8 5.125 240.484 449.000
1 1 0 3 9 8.682 145.198 504.000
1 1 0 3 10 6.185 258.865 500.000
1 1 0 3 11 5.329 276.201 531.000
1 1 0 3 12 10.547 122.393 498.000
1 1 0 3 13 10.067 173.227 569.000
1 1 0 3 14 19.112 -141.196 472.000
1 1 0 3 15 8.743 160.948 503.000
1 1 0 3 16 7.145 217.625 500.000
1 1 0 3 17 258.667 -6173.000 454.000
1 1 0 3 18 5.992 207.638 447.000
1 1 0 3 19 5.664 250.119 465.000
1 1 0 3 20 7.640 231.301 563.000
1 1 0 3 21 7.752 227.507 534.000
1 1 0 3 22 3.364 339.635 524.000
1 1 0 3 23 4.255 284.972 474.000
1 1 0 3 24 4.872 237.714 477.000
1 1 0 3 25 25.455 -317.589 498.000
1 1 0 3 26 8.072 193.583 515.000
1 1 0 3 27 4.868 293.199 524.000
1 1 0 3 28 7.618 239.799 545.000
1 1 0 3 29 10.264 116.336 484.000
1 1 0 3 30 6.333 277.461 496.000
1 1 0 3 31 5.099 289.986 514.000
1 1 0 3 32 5.743 252.893 459.000
1 1 0 3 33 7.205 202.442 529.000
1 1 0 3 34 6.378 246.872 502.000
1 1 0 3 35 8.004 167.926 509.000
1 1 0 3 36 5.828 273.327 507.000
1 1 0 3 37 5.612 295.665 561.000
1 1 0 3 38 10.932 95.281 482.000
1 1 0 3 39 9.663 144.556 524.000
1 1 0 3 40 4.188 251.055 440.000
1 1 0 3 41 7.049 171.914 456.000
1 1 0 3 42 10.772 113.561 507.000
1 1 0 3 43 11.577 107.088 453.000
1 1 0 3 44 6.016 249.247 495.000
1 1 0 3 45 7.799 214.374 474.000
1 1 0 3 46 12.462 104.402 572.000
1 1 0 3 47 7.772 264.572 582.000
1 1 0 3 48 5.149 295.025 512.000
1 1 0 3 49 4.729 310.381 515.000
1 1 0 3 50 6.183 259.402 522.000
1 1 0 3 51 21.710 -157.859 526.000
1 1 0 4 0 2.000 358.000 476.000
1 1 0 4 1 6.877 204.093 463.000
1 1 0 4 2 4.122 271.993 441.000
1 1 0 4 3 9.633 133.354 469.000
1 1 0 4 4 7.565 135.236 425.000
1 1 0 4 5 15.996 -87.737 432.000
1 1 0 4 6 8.791 181.484 511.000
1 1 0 4 7 7.812 197.311 476.000
1 1 0 4 8 5.258 203.146 422.000
1 1 0 4 9 8.433 171.615 490.000
1 1 0 4 10 7.098 229.106 498.000
1 1 0 4 11 11.084 144.266 532.000
1 1 0 4 12 9.848 178.503 526.000
1 1 0 4 13 8.157 217.263 540.000
1 1 0 4 14 6.271 241.166 480.000
1 1 0 4 15 9.593 168.339 522.000
1 1 0 4 16 9.235 174.733 508.000
1 1 0 4 17 5.423 221.772 456.000
1 1 0 4 18 17.424 -97.378 459.000
1 1 0 4 19 8.865 139.967 462.000
1 1 0 4 20 6.098 274.569 511.000
1 1 0 4 21 3.541 335.771 507.000
1 1 0 4 22 7.711 224.764 519.000
1 1 0 4 23 7.449 228.551 511.000
1 1 0 4 24 11.464 104.248 497.000
1 1 0 4 25 8.395 149.954 446.000
1 1 0 4 26 11.964 87.420 521.000
1 1 0 4 27 5.561 273.705 523.000
1 1 0 4 28 6.519 242.526 500.000
1 1 0 4 29 5.953 245.714 486.000
1 1 0 4 30 5.776 282.422 533.000
1 1 0 4 31 5.499 321.283 558.000
1 1 0 4 32 8.992 179.873 506.000
1 1 0 4 33 4.488 300.682 489.000
1 1 0 4 34 3.347 324.786 490.000
1 1 0 4 35 7.993 206.397 512.000
1 1 0 4 36 7.813 242.282 535.000
1 1 0 4 37 8.601 238.070 559.000
1 1 0 4 38 8.506 192.481 506.000
1 1 0 4 39 7.680 206.399 517.000
1 1 0 4 40 4.812 242.230 446.000
1 1 0 4 41 6.957 170.257 440.000
1 1 0 4 42 5.648 265.761 497.000
1 1 0 4 43 0.000 0.000 0.000
1 1 0 4 44 4.656 322.536 530.000
1 1 0 4 45 8.539 222.058 545.000
1 1 0 4 46 8.024 213.786 504.000
1 1 0 4 47 5.229 308.481 530.000
1 1 0 4 48 9.098 196.526 536.000
1 1 0 4 49 6.629 256.446 510.000
1 1 0 4 50 8.638 207.466 520.000
1 1 0 4 51 0.252 427.850 540.000
1 1 0 5 0 0.000 0.000 0.000
1 1 0 5 1 10.087 122.805 466.000
1 1 0 5 2 12.840 32.203 475.000
1 1 0 5 3 6.324 240.851 478.000
1 1 0 5 4 6.421 203.724 468.000
1 1 0 5 5 7.142 162.994 428.000
1 1 0 5 6 5.545 257.339 471.000
1 1 0 5 7 5.079 281.843 485.000
1 1 0 5 8 6.930 187.076 448.000
1 1 0 5 9 5.674 241.253 471.000
1 1 0 5 10 10.131 141.560 489.000
1 1 0 5 11 10.211 141.587 533.000
1 1 0 5 12 6.284 263.346 506.000
1 1 0 5 13 7.561 224.197 508.000
1 1 0 5 14 10.773 87.054 453.000
1 1 0 5 15 8.741 173.559 508.000
1 1 0 5 16 6.328 246.348 476.000
1 1 0 5 17 7.659 202.633 504.000
1 1 0 5 18 5.573 228.497 446.000
1 1 0 5 19 5.492 229.221 440.000
1 1 0 5 20 7.707 231.113 514.000
1 1 0 5 21 8.057 196.866 496.000
1 1 0 5 22 5.493 304.551 531.000
1 1 0 5 23 8.384 209.040 519.000
1 1 0 5 24 7.320 207.209 514.000
1 1 0 5 25 6.251 215.088 458.000
1 1 0 5 26 7.752 240.314 534.000
1 1 0 5 27 9.983 166.363 516.000
1 1 0 5 28 7.933 211.846 527.000
1 1 0 5 29 5.543 266.314 485.000
1 1 0 5 30 7.816 276.697 573.000
1 1 0 5 31 8.198 209.820 512.000
1 1 0 5 32 4.672 266.373 453.000
1 1 0 5 33 6.735 243.629 499.000
1 1 0 5 34 6.285 247.335 495.000
1 1 0 5 35 4.902 264.746 471.000
1 1 0 5 36 9.924 194.960 538.000
1 1 0 5 37 7.339 248.886 557.000
1 1 0 5 38 6.648 229.590 484.000
1 1 0 5 39 7.642 216.928 505.000
1 1 0 5 40 9.508 112.420 445.000
1 1 0 5 41 8.629 165.199 497.000
1 1 0 5 42 5.325 295.433 527.000
1 1 0 5 43 7.833 207.313 516.000
1 1 0 5 44 5.901 281.675 519.000
1 1 0 5 45 4.826 310.768 486.000
1 1 0 5 46 4.431 343.357 526.000
1 1 0 5 47 6.580 280.226 534.000
1 1 0 5 48 0.000 0.000 0.000
1 1 0 5 49 10.749 130.312 500.000
1 1 0 5 50 6.864 255.802 556.000
1 1 0 5 51 0.000 0.000 0.000
1 1 0 6 0 0.000 0.000 0.000
1 1 0 6 1 9.095 148.972 472.000
1 1 0 6 2 4.410 271.650 469.000
1 1 0 6 3 5.404 239.436 444.000
1 1 0 6 4 7.098 144.177 426.000
1 1 0 6 5 14.000 -31.000 411.000
1 1 0 6 6 5.809 258.847 520.000
1 1 0 6 7 4.920 265.580 500.000
1 1 0 6 8 10.294 110.742 469.000
1 1 0 6 9 0.000 0.000 0.000
1 1 0 6 10 8.194 191.887 487.000
1 1 0 6 11 8.111 219.802 508.000
1 1 0 6 12 6.927 209.956 473.000
1 1 0 6 13 10.757 127.184 520.000
1 1 0 6 14 8.988 186.593 515.000
1 1 0 6 15 6.947 223.108 507.000
1 1 0 6 16 5.864 244.084 462.000
1 1 0 6 17 8.812 154.965 494.000
1 1 0 6 18 4.858 243.479 426.000
1 1 0 6 19 4.234 280.612 506.000
1 1 0 6 20 6.353 280.628 550.000
1 1 0 6 21 11.480 122.064 528.000
1 1 0 6 22 5.519 276.184 492.000
1 1 0 6 23 9.009 155.384 487.000
1 1 0 6 24 8.119 172.357 454.000
1 1 0 6 25 7.403 201.428 482.000
1 1 0 6 26 10.983 132.820 519.000
1 1 0 6 27 8.635 199.056 526.000
1 1 0 6 28 6.423 253.896 515.000
1 1 0 6 29 7.073 234.869 493.000
1 1 0 6 30 6.432 272.476 558.000
1 1 0 6 31 9.861 180.001 516.000
1 1 0 6 32 7.973 190.111 510.000
1 1 0 6 33 6.314 228.326 502.000
1 1 0 6 34 8.243 209.450 519.000
1 1 0 6 35 6.237 234.566 474.000
1 1 0 6 36 9.647 198.517 548.000
1 1 0 6 37 8.998 206.578 530.000
1 1 0 6 38 8.977 168.684 495.000
1 1 0 6 39 11.769 82.304 500.000
1 1 0 6 40 8.688 142.542 461.000
1 1 0 6 41 6.255 205.598 464.000
1 1 0 6 42 6.117 258.152 486.000
1 1 0 6 43 8.355 167.087 504.000
1 1 0 6 44 8.157 225.421 506.000
1 1 0 6 45 4.453 329.958 561.000
1 1 0 6 46 5.663 296.959 556.000
1 1 0 6 47 9.937 175.623 530.000
1 1 0 6 48 4.034 324.844 502.000
1 1 0 6 49 9.643 185.141 545.000
1 1 0 6 50 8.008 230.068 517.000
1 1 0 6 51 0.000 0.000 0.000
1 1 0 7 0 0.000 0.000 0.000
1 1 0 7 1 16.924 -68.422 478.000
1 1 0 7 2 14.440 1.868 489.000
1 1 0 7 3 6.742 204.952 473.000
1 1 0 7 4 9.224 102.827 449.000
1 1 0 7 5 10.760 49.979 398.000
1 1 0 7 6 7.686 216.123 494.000
1 1 0 7 7 9.576 148.663 484.000
1 1 0 7 8 9.060 137.643 501.000
1 1 0 7 9 11.105 87.809 460.000
1 1 0 7 10 0.000 0.000 0.000
1 1 0 7 11 8.112 217.329 532.000
1 1 0 7 12 15.088 -6.171 507.000
1 1 0 7 13 8.753 188.835 514.000
1 1 0 7 14 7.982 185.153 474.000
1 1 0 7 15 9.424 198.689 548.000
1 1 0 7 16 7.289 191.805 482.000
1 1 0 7 17 10.374 119.697 515.000
1 1 0 7 18 8.238 158.468 451.000
1 1 0 7 19 2.475 321.244 463.000
1 1 0 7 20 9.936 162.557 508.000
1 1 0 7 21 8.569 205.242 540.000
1 1 0 7 22 11.206 121.703 497.000
1 1 0 7 23 11.700 122.259 511.000
1 1 0 7 24 12.379 84.293 530.000
1 1 0 7 25 14.051 3.035 474.000
1 1 0 7 26 9.191 182.017 517.000
1 1 0 7 27 9.164 181.803 518.000
1 1 0 7 28 9.126 165.488 498.000
1 1 0 7 29 7.229 210.353 499.000
1 1 0 7 30 8.258 193.902 528.000
1 1 0 7 31 7.808 236.462 523.000
1 1 0 7 32 16.000 11.000 474.000
1 1 0 7 33 6.973 207.896 473.000
1 1 0 7 34 9.243 180.527 533.000
1 1 0 7 35 10.801 118.547 492.000
1 1 0 7 36 8.299 231.055 533.000
1 1 0 7 37 7.370 262.519 558.000
1 1 0 7 38 9.206 157.915 491.000
1 1 0 7 39 8.317 150.447 472.000
1 1 0 7 40 8.101 164.469 463.000
1 1 0 7 41 9.466 129.147 472.000
1 1 0 7 42 7.202 239.940 528.000
1 1 0 7 43 8.646 164.222 508.000
1 1 0 7 44 6.945 255.981 517.000
1 1 0 7 45 14.000 117.000 527.000
1 1 0 7 46 9.814 196.230 544.000
1 1 0 7 47 9.105 214.431 564.000
1 1 0 7 48 9.503 180.335 509.000
1 1 0 7 49 0.000 0.000 0.000
1 1 0 7 50 12.870 89.218 544.000
1 1 0 7 51 15.279 -11.686 502.000
1 1 0 8 0 0.000 0.000 0.000
1 1 0 8 1 0.000 0.000 0.000
1 1 0 8 2 7.045 198.255 472.000
1 1 0 8 3 14.702 -16.849 462.000
1 1 0 8 4 2.581 272.609 421.000
1 1 0 8 5 12.765 -19.088 387.000
1 1 0 8 6 5.754 250.447 457.000
1 1 0 8 7 4.654 293.781 480.000
1 1 0 8 8 5.684 224.961 456.000
1 1 0 8 9 0.441 385.563 471.000
1 1 0 8 10 15.421 40.786 569.000
1 1 0 8 11 7.852 220.340 520.000
1 1 0 8 12 12.078 89.768 494.000
1 1 0 8 13 7.053 251.259 533.000
1 1 0 8 14 12.784 50.698 482.000
1 1 0 8 15 8.938 170.890 504.000
1 1 0 8 16 6.408 227.878 482.000
1 1 0 8 17 3.610 302.090 481.000
1 1 0 8 18 11.000 79.500 451.000
1 1 0 8 19 0.000 0.000 0.000
1 1 0 8 20 6.066 277.966 500.000
1 1 0 8 21 7.933 243.206 521.000
1 1 0 8 22 3.753 348.368 531.000
1 1 0 8 23 15.359 8.103 543.000
1 1 0 8 24 8.964 179.741 515.000
1 1 0 8 25 7.540 192.135 453.000
1 1 0 8 26 7.378 218.172 505.000
1 1 0 8 27 0.000 0.000 0.000
1 1 0 8 28 8.455 203.612 521.000
1 1 0 8 29 6.248 248.465 484.000
1 1 0 8 30 3.983 329.145 504.000
1 1 0 8 31 7.023 248.216 506.000
1 1 0 8 32 5.693 273.523 482.000
1 1 0 8 33 3.810 296.407 464.000
1 1 0 8 34 6.288 246.139 492.000
1 1 0 8 35 3.154 313.835 481.000
1 1 0 8 36 11.621 155.127 584.000
1 1 0 8 37 2.451 374.766 534.000
1 1 0 8 38 12.133 59.289 464.000
1 1 0 8 39 6.254 239.676 493.000
1 1 0 8 40 12.450 36.577 462.000
1 1 0 8 41 5.358 240.364 466.000
1 1 0 8 42 5.777 274.759 512.000
1 1 0 8 43 6.817 224.428 476.000
1 1 0 8 44 11.314 118.098 486.000
1 1 0 8 45 0.000 0.000 0.000
1 1 0 8 46 6.174 311.748 543.000
1 1 0 8 47 5.552 302.767 525.000
1 1 0 8 48 0.675 436.031 526.000
1 1 0 8 49 11.559 126.016 552.000
1 1 0 8 50 1.972 374.247 523.000
1 1 0 8 51 10.802 98.213 505.000
1 1 0 9 0 0.000 0.000 0.000
1 1 0 9 1 10.019 121.332 481.000
1 1 0 9 2 4.789 232.854 445.000
1 1 0 9 3 12.153 34.104 473.000
1 1 0 9 4 4.006 225.826 407.000
1 1 0 9 5 8.901 78.366 393.000
1 1 0 9 6 5.582 216.464 436.000
1 1 0 9 7 4.127 284.187 492.000
1 1 0 9 8 5.636 233.037 444.000
1 1 0 9 9 11.060 124.399 503.000
1 1 0 9 10 5.531 258.304 485.000
1 1 0 9 11 7.921 214.382 530.000
1 1 0 9 12 6.743 218.249 465.000
1 1 0 9 13 1.756 376.526 491.000
1 1 0 9 14 9.717 165.280 525.000
1 1 0 9 15 4.473 246.136 459.000
1 1 0 9 16 5.659 240.865 469.000
1 1 0 9 17 7.354 170.768 458.000
1 1 0 9 18 5.670 194.318 429.000
1 1 0 9 19 5.760 207.246 424.000
1 1 0 9 20 4.853 324.640 550.000
1 1 0 9 21 11.095 147.029 524.000
1 1 0 9 22 10.263 149.885 503.000
1 1 0 9 23 7.390 236.161 521.000
1 1 0 9 24 6.908 212.807 491.000
1 1 0 9 25 3.444 284.481 448.000
1 1 0 9 26 3.686 333.885 492.000
1 1 0 9 27 10.872 144.881 537.000
1 1 0 9 28 4.120 279.847 484.000
1 1 0 9 29 8.167 201.394 505.000
1 1 0 9 30 6.855 244.344 511.000
1 1 0 9 31 7.536 196.111 497.000
1 1 0 9 32 5.607 236.579 454.000
1 1 0 9 33 5.873 266.414 527.000
1 1 0 9 34 5.197 256.807 464.000
1 1 0 9 35 9.842 138.605 480.000
1 1 0 9 36 7.324 230.598 497.000
1 1 0 9 37 7.704 241.536 552.000
1 1 0 9 38 2.851 308.465 444.000
1 1 0 9 39 1.733 349.483 454.000
1 1 0 9 40 8.374 122.744 431.000
1 1 0 9 41 5.741 192.392 433.000
1 1 0 9 42 6.679 213.631 471.000
1 1 0 9 43 7.276 205.380 505.000
1 1 0 9 44 2.563 352.393 519.000
1 1 0 9 45 12.220 103.945 550.000
1 1 0 9 46 4.191 333.550 543.000
1 1 0 9 47 5.873 306.808 554.000
1 1 0 9 48 9.092 183.744 499.000
1 1 0 9 49 8.168 218.294 530.000
1 1 0 9 50 5.106 278.452 505.000
1 1 0 9 51 2.198 327.310 441.000
1 1 0 10 0 0.000 0.000 0.000
1 1 0 10 1 3.671 299.816 455.000
1 1 0 10 2 0.000 0.000 0.000
1 1 0 10 3 6.624 212.666 463.000
1 1 0 10 4 8.506 128.242 429.000
1 1 0 10 5 9.413 97.881 419.000
1 1 0 10 6 8.598 178.450 471.000
1 1 0 10 7 5.925 238.058 475.000
1 1 0 10 8 3.811 267.939 445.000
1 1 0 10 9 7.387 182.984 461.000
1 1 0 10 10 10.323 137.751 517.000
1 1 0 10 11 8.999 176.688 508.000
1 1 0 10 12 10.780 101.954 502.000
1 1 0 10 13 7.614 224.147 511.000
1 1 0 10 14 5.509 294.576 507.000
1 1 0 10 15 12.088 95.259 476.000
1 1 0 10 16 6.537 226.335 479.000
1 1 0 10 17 9.104 154.458 468.000
1 1 0 10 18 10.821 74.512 448.000
1 1 0 10 19 6.986 192.083 440.000
1 1 0 10 20 4.894 305.369 517.000
