st pl ch r c slope pedestal max
0 1 0 0 0 2.239 559.652 743.000
0 1 0 0 1 4.070 502.493 744.000
0 1 0 0 2 3.343 528.026 743.000
0 1 0 0 3 3.710 505.610 743.000
0 1 0 0 4 3.627 502.208 735.000
0 1 0 0 5 2.628 540.298 736.000
0 1 0 0 6 2.503 542.741 727.000
0 1 0 0 7 2.698 518.823 726.000
0 1 0 0 8 2.925 538.296 733.000
0 1 0 0 9 3.357 509.808 734.000
0 1 0 0 10 2.849 545.722 746.000
0 1 0 0 11 3.049 534.751 746.000
0 1 0 0 12 2.638 549.286 736.000
0 1 0 0 13 2.984 534.992 737.000
0 1 0 0 14 3.740 518.042 737.000
0 1 0 0 15 3.245 534.276 735.000
0 1 0 0 16 3.412 522.488 735.000
0 1 0 0 17 2.946 543.343 735.000
0 1 0 0 18 2.682 545.512 738.000
0 1 0 0 19 2.475 561.240 737.000
0 1 0 0 20 2.624 528.788 728.000
0 1 0 0 21 2.746 551.904 727.000
0 1 0 0 22 3.094 530.905 728.000
0 1 0 0 23 3.798 511.306 729.000
0 1 0 0 24 2.983 523.429 726.000
0 1 0 0 25 2.571 549.094 727.000
0 1 0 0 26 2.720 546.432 729.000
0 1 0 0 27 3.707 516.256 729.000
0 1 0 0 28 3.587 524.967 741.000
0 1 0 0 29 3.432 527.616 740.000
0 1 0 0 30 2.946 539.336 732.000
0 1 0 0 31 2.488 552.328 731.000
0 1 0 0 32 3.183 521.979 735.000
0 1 0 0 33 2.510 556.405 736.000
0 1 0 0 34 3.278 531.693 725.000
0 1 0 0 35 3.267 517.893 726.000
0 1 0 0 36 3.811 496.178 719.000
0 1 0 0 37 2.912 521.996 722.000
0 1 0 0 38 3.226 529.650 733.000
0 1 0 0 39 2.839 539.663 730.000
0 1 0 0 40 3.908 490.863 719.000
0 1 0 0 41 3.703 498.617 720.000
0 1 0 0 42 3.531 501.226 725.000
0 1 0 0 43 2.928 532.214 724.000
0 1 0 0 44 2.482 544.876 729.000
0 1 0 0 45 3.171 508.465 729.000
0 1 0 0 46 2.553 543.193 738.000
0 1 0 0 47 2.783 555.070 737.000
0 1 0 0 48 3.083 526.896 728.000
0 1 0 0 49 2.672 548.336 730.000
0 1 0 0 50 3.030 514.263 724.000
0 1 0 0 51 3.845 463.400 724.000
0 1 0 1 0 3.192 517.843 740.000
0 1 0 1 1 2.734 547.700 743.000
0 1 0 1 2 2.703 545.599 741.000
0 1 0 1 3 2.904 527.862 741.000
0 1 0 1 4 2.875 537.885 735.000
0 1 0 1 5 3.307 505.440 735.000
0 1 0 1 6 3.268 500.811 725.000
0 1 0 1 7 2.811 532.794 726.000
0 1 0 1 8 2.682 537.108 732.000
0 1 0 1 9 2.873 534.473 733.000
0 1 0 1 10 2.231 578.067 745.000
0 1 0 1 11 3.319 538.797 745.000
0 1 0 1 12 2.754 544.121 734.000
0 1 0 1 13 3.494 512.249 735.000
0 1 0 1 14 2.506 560.969 735.000
0 1 0 1 15 2.537 554.084 734.000
0 1 0 1 16 2.828 535.718 734.000
0 1 0 1 17 3.083 534.282 734.000
0 1 0 1 18 3.658 494.535 736.000
0 1 0 1 19 3.014 521.159 737.000
0 1 0 1 20 2.633 547.096 725.000
0 1 0 1 21 2.287 561.559 726.000
0 1 0 1 22 2.564 551.773 727.000
0 1 0 1 23 2.760 537.920 727.000
0 1 0 1 24 3.110 535.885 725.000
0 1 0 1 25 2.816 538.946 725.000
0 1 0 1 26 3.293 517.909 728.000
0 1 0 1 27 2.453 556.505 728.000
0 1 0 1 28 2.366 561.553 739.000
0 1 0 1 29 2.890 537.737 738.000
0 1 0 1 30 3.242 524.301 730.000
0 1 0 1 31 3.104 524.792 731.000
0 1 0 1 32 3.776 503.636 733.000
0 1 0 1 33 2.621 554.720 734.000
0 1 0 1 34 2.151 573.286 724.000
0 1 0 1 35 3.827 499.870 724.000
0 1 0 1 36 4.226 469.701 718.000
0 1 0 1 37 3.207 522.982 720.000
0 1 0 1 38 2.783 548.170 732.000
0 1 0 1 39 3.367 517.063 728.000
0 1 0 1 40 2.860 514.080 719.000
0 1 0 1 41 2.423 540.784 718.000
0 1 0 1 42 2.904 524.812 724.000
0 1 0 1 43 2.820 528.514 723.000
0 1 0 1 44 3.113 517.149 728.000
0 1 0 1 45 3.760 484.725 728.000
0 1 0 1 46 2.807 542.688 738.000
0 1 0 1 47 2.289 573.724 737.000
0 1 0 1 48 3.528 519.139 729.000
0 1 0 1 49 2.506 558.637 729.000
0 1 0 1 50 2.909 530.038 722.000
0 1 0 1 51 2.423 547.590 722.000
0 1 0 2 0 2.231 559.998 740.000
0 1 0 2 1 2.312 575.780 742.000
0 1 0 2 2 3.583 503.098 740.000
0 1 0 2 3 2.697 545.928 740.000
0 1 0 2 4 3.067 525.622 734.000
0 1 0 2 5 2.883 529.483 734.000
0 1 0 2 6 2.703 536.034 725.000
0 1 0 2 7 3.175 499.480 726.000
0 1 0 2 8 3.057 514.265 732.000
0 1 0 2 9 3.673 492.543 733.000
