== TELESCOPE
st pl ch r c slope pedestal max
2 2 0 0 0 3.475 504.411 736.000
2 2 0 0 1 3.641 506.059 737.000
2 2 0 0 2 3.655 491.338 732.000
2 2 0 0 3 3.638 493.918 733.000
2 2 0 0 4 3.603 473.473 712.000
2 2 0 0 5 3.557 481.185 714.000
2 2 0 0 6 3.690 482.778 719.000
2 2 0 0 7 4.153 467.459 720.000
2 2 0 0 8 4.012 478.684 720.000
2 2 0 0 9 4.085 475.109 717.000
2 2 0 0 10 4.244 471.848 724.000
2 2 0 0 11 3.883 474.882 723.000
2 2 0 0 12 4.177 475.935 728.000
2 2 0 0 13 3.799 493.117 731.000
2 2 0 0 14 4.030 480.755 723.000
2 2 0 0 15 4.423 464.227 718.000
2 2 0 0 16 3.801 480.396 720.000
2 2 0 0 17 4.106 474.314 720.000
2 2 0 0 18 4.182 484.208 730.000
2 2 0 0 19 4.076 486.086 730.000
2 2 0 0 20 4.144 483.069 727.000
2 2 0 0 21 4.166 487.921 732.000
2 2 0 0 22 4.044 489.500 724.000
2 2 0 0 23 3.934 491.080 725.000
2 2 0 0 24 4.089 494.655 735.000
2 2 0 0 25 4.106 497.996 736.000
2 2 0 0 26 4.108 477.386 723.000
2 2 0 0 27 4.092 480.781 719.000
2 2 0 0 28 4.264 479.207 731.000
2 2 0 0 29 4.020 483.771 726.000
2 2 0 0 30 4.083 490.548 731.000
2 2 0 0 31 4.169 485.666 730.000
2 2 0 0 32 4.267 470.140 716.000
2 2 0 0 33 4.059 473.865 720.000
2 2 0 0 34 3.554 478.914 720.000
2 2 0 0 35 3.718 472.918 720.000
2 2 0 0 36 4.120 485.905 733.000
2 2 0 0 37 3.610 493.495 733.000
2 2 0 0 38 3.589 491.332 730.000
2 2 0 0 39 3.811 489.866 733.000
2 2 0 0 40 3.806 472.626 717.000
2 2 0 0 41 3.578 479.327 720.000
2 2 0 0 42 3.961 483.008 726.000
2 2 0 0 43 3.834 486.645 730.000
2 2 0 0 44 3.747 478.221 725.000
2 2 0 0 45 3.735 481.221 723.000
2 2 0 0 46 4.098 473.719 724.000
2 2 0 0 47 4.192 473.906 721.000
2 2 0 0 48 4.122 466.209 712.000
2 2 0 0 49 3.556 484.860 717.000
2 2 0 0 50 3.691 489.153 724.000
2 2 0 0 51 3.501 492.520 725.000
2 2 0 1 0 3.279 509.593 736.000
2 2 0 1 1 3.465 512.720 738.000
2 2 0 1 2 3.624 490.544 729.000
2 2 0 1 3 3.700 485.939 730.000
2 2 0 1 4 3.715 463.793 710.000
2 2 0 1 5 3.646 472.911 711.000
2 2 0 1 6 3.840 474.403 719.000
2 2 0 1 7 4.224 457.847 717.000
2 2 0 1 8 3.959 478.523 714.000
2 2 0 1 9 4.094 468.345 716.000
2 2 0 1 10 4.306 469.908 717.000
2 2 0 1 11 4.208 468.761 720.000
2 2 0 1 12 4.195 485.028 724.000
2 2 0 1 13 4.223 476.789 727.000
2 2 0 1 14 4.208 474.865 718.000
2 2 0 1 15 4.019 474.602 718.000
2 2 0 1 16 3.762 480.047 716.000
2 2 0 1 17 4.341 460.115 713.000
2 2 0 1 18 4.469 471.831 728.000
2 2 0 1 19 4.221 480.549 728.000
2 2 0 1 20 4.190 479.246 726.000
2 2 0 1 21 4.206 481.318 728.000
2 2 0 1 22 4.073 486.426 723.000
2 2 0 1 23 4.170 485.163 719.000
2 2 0 1 24 4.127 494.848 729.000
2 2 0 1 25 4.095 490.808 733.000
2 2 0 1 26 4.261 474.697 717.000
2 2 0 1 27 4.172 474.879 718.000
2 2 0 1 28 4.292 476.195 725.000
2 2 0 1 29 4.039 483.518 724.000
2 2 0 1 30 4.107 483.054 728.000
2 2 0 1 31 4.215 482.705 730.000
2 2 0 1 32 4.144 470.411 716.000
2 2 0 1 33 3.975 472.943 718.000
2 2 0 1 34 3.818 473.597 717.000
2 2 0 1 35 4.133 467.488 720.000
2 2 0 1 36 4.083 487.981 733.000
2 2 0 1 37 3.596 491.270 734.000
2 2 0 1 38 3.643 487.934 729.000
2 2 0 1 39 4.154 478.509 730.000
