st pl ch r c slope pedestal max
0 3 5 0 0 2.743 421.469 676.000
0 3 5 0 1 3.188 411.272 677.000
0 3 5 0 2 3.243 406.362 678.000
0 3 5 0 3 2.963 424.651 678.000
0 3 5 0 4 3.034 430.155 683.000
0 3 5 0 5 3.796 401.099 682.000
0 3 5 0 6 2.954 448.525 694.000
0 3 5 0 7 3.077 432.948 693.000
0 3 5 0 8 3.242 412.902 680.000
0 3 5 0 9 3.186 424.998 682.000
0 3 5 0 10 2.968 439.392 687.000
0 3 5 0 11 3.093 444.405 689.000
0 3 5 0 12 3.192 429.815 681.000
0 3 5 0 13 3.147 433.274 683.000
0 3 5 0 14 4.009 418.586 701.000
0 3 5 0 15 3.478 437.148 700.000
0 3 5 0 16 3.032 446.486 686.000
0 3 5 0 17 3.226 426.245 685.000
0 3 5 0 18 3.194 448.617 698.000
0 3 5 0 19 3.818 431.032 697.000
0 3 5 0 20 3.337 440.227 695.000
0 3 5 0 21 3.217 440.206 694.000
0 3 5 0 22 3.126 447.375 689.000
0 3 5 0 23 3.136 441.295 688.000
0 3 5 0 24 4.112 396.470 685.000
0 3 5 0 25 3.651 419.852 685.000
0 3 5 0 26 3.646 406.062 667.000
0 3 5 0 27 3.289 413.151 665.000
0 3 5 0 28 3.189 432.884 683.000
0 3 5 0 29 3.880 400.819 681.000
0 3 5 0 30 3.630 401.188 662.000
0 3 5 0 31 3.232 405.548 661.000
0 3 5 0 32 3.197 425.952 682.000
0 3 5 0 33 3.168 428.691 682.000
0 3 5 0 34 3.160 433.975 685.000
0 3 5 0 35 3.152 434.854 685.000
0 3 5 0 36 3.073 435.491 675.000
0 3 5 0 37 3.068 433.618 676.000
0 3 5 0 38 3.506 425.823 686.000
0 3 5 0 39 3.125 440.317 685.000
0 3 5 0 40 3.234 435.072 682.000
0 3 5 0 41 3.265 431.527 681.000
0 3 5 0 42 3.583 411.203 678.000
0 3 5 0 43 3.192 423.456 677.000
0 3 5 0 44 3.211 415.048 668.000
0 3 5 0 45 3.080 424.835 669.000
0 3 5 0 46 3.091 430.159 673.000
0 3 5 0 47 3.120 428.086 673.000
0 3 5 0 48 3.212 433.730 678.000
0 3 5 0 49 2.806 448.493 678.000
0 3 5 0 50 4.121 402.311 678.000
0 3 5 0 51 2.927 420.302 676.000
0 3 5 1 0 2.845 410.154 676.000
0 3 5 1 1 3.227 402.293 676.000
0 3 5 1 2 3.333 403.729 676.000
0 3 5 1 3 3.038 414.034 676.000
0 3 5 1 4 3.007 438.509 683.000
0 3 5 1 5 3.157 421.435 682.000
0 3 5 1 6 3.885 418.177 694.000
0 3 5 1 7 0.476 634.488 692.000
0 3 5 1 8 3.074 424.991 679.000
0 3 5 1 9 3.605 401.032 679.000
0 3 5 1 10 2.861 450.953 688.000
0 3 5 1 11 3.201 430.242 688.000
0 3 5 1 12 3.211 427.445 679.000
0 3 5 1 13 3.235 423.848 682.000
0 3 5 1 14 3.338 432.099 700.000
0 3 5 1 15 3.248 441.982 699.000
0 3 5 1 16 3.241 439.715 685.000
0 3 5 1 17 3.428 421.507 684.000
0 3 5 1 18 3.072 451.082 697.000
0 3 5 1 19 3.021 447.303 696.000
0 3 5 1 20 3.205 438.885 694.000
0 3 5 1 21 3.441 430.708 694.000
0 3 5 1 22 3.158 437.917 688.000
0 3 5 1 23 3.285 428.683 688.000
0 3 5 1 24 3.167 434.657 684.000
0 3 5 1 25 3.225 427.408 685.000
0 3 5 1 26 3.069 425.400 667.000
0 3 5 1 27 3.172 409.720 664.000
0 3 5 1 28 3.220 430.826 682.000
0 3 5 1 29 3.167 429.541 682.000
0 3 5 1 30 3.184 410.162 662.000
0 3 5 1 31 3.397 401.765 660.000
0 3 5 1 32 3.325 425.892 682.000
0 3 5 1 33 3.232 423.235 681.000
0 3 5 1 34 3.576 425.164 685.000
0 3 5 1 35 3.118 439.859 684.000
0 3 5 1 36 3.063 434.765 675.000
0 3 5 1 37 3.606 416.394 676.000
