st pl ch r c slope pedestal max
2 3 2 0 0 0.000 0.000 0.000
2 3 2 0 1 0.000 0.000 0.000
2 3 2 0 2 0.000 0.000 0.000
2 3 2 0 3 0.000 0.000 0.000
2 3 2 0 4 0.000 0.000 0.000
2 3 2 0 5 0.000 0.000 0.000
2 3 2 0 6 0.000 0.000 0.000
2 3 2 0 7 0.000 0.000 0.000
2 3 2 0 8 0.000 0.000 0.000
2 3 2 0 9 0.000 0.000 0.000
2 3 2 0 10 0.000 0.000 0.000
2 3 2 0 11 0.000 0.000 0.000
2 3 2 0 12 0.000 0.000 0.000
2 3 2 0 13 0.000 0.000 0.000
2 3 2 0 14 0.000 0.000 0.000
2 3 2 0 15 0.000 0.000 0.000
2 3 2 0 16 0.000 0.000 0.000
2 3 2 0 17 0.000 0.000 0.000
2 3 2 0 18 0.000 0.000 0.000
2 3 2 0 19 0.000 0.000 0.000
2 3 2 0 20 0.000 0.000 0.000
2 3 2 0 21 0.000 0.000 0.000
2 3 2 0 22 0.000 0.000 0.000
2 3 2 0 23 0.000 0.000 0.000
2 3 2 0 24 0.000 0.000 0.000
2 3 2 0 25 0.000 0.000 0.000
2 3 2 0 26 0.000 0.000 0.000
2 3 2 0 27 0.000 0.000 0.000
2 3 2 0 28 0.000 0.000 0.000
2 3 2 0 29 0.000 0.000 0.000
2 3 2 0 30 0.000 0.000 0.000
2 3 2 0 31 0.000 0.000 0.000
2 3 2 0 32 0.000 0.000 0.000
2 3 2 0 33 0.000 0.000 0.000
2 3 2 0 34 0.000 0.000 0.000
2 3 2 0 35 0.000 0.000 0.000
2 3 2 0 36 0.000 0.000 0.000
2 3 2 0 37 0.000 0.000 0.000
2 3 2 0 38 0.000 0.000 0.000
2 3 2 0 39 0.000 0.000 0.000
2 3 2 0 40 0.000 0.000 0.000
2 3 2 0 41 0.000 0.000 0.000
2 3 2 0 42 0.000 0.000 0.000
2 3 2 0 43 0.000 0.000 0.000
2 3 2 0 44 0.000 0.000 0.000
2 3 2 0 45 0.000 0.000 0.000
2 3 2 0 46 0.000 0.000 0.000
2 3 2 0 47 0.000 0.000 0.000
2 3 2 0 48 0.000 0.000 0.000
2 3 2 0 49 0.000 0.000 0.000
2 3 2 0 50 0.000 0.000 0.000
2 3 2 0 51 0.000 0.000 0.000
2 3 2 1 0 0.000 0.000 0.000
2 3 2 1 1 0.000 0.000 0.000
2 3 2 1 2 0.000 0.000 0.000
2 3 2 1 3 0.000 0.000 0.000
2 3 2 1 4 0.000 0.000 0.000
2 3 2 1 5 0.000 0.000 0.000
2 3 2 1 6 0.000 0.000 0.000
2 3 2 1 7 0.000 0.000 0.000
2 3 2 1 8 0.000 0.000 0.000
2 3 2 1 9 0.000 0.000 0.000
2 3 2 1 10 0.000 0.000 0.000
2 3 2 1 11 0.000 0.000 0.000
2 3 2 1 12 0.000 0.000 0.000
2 3 2 1 13 0.000 0.000 0.000
2 3 2 1 14 0.000 0.000 0.000
2 3 2 1 15 0.000 0.000 0.000
2 3 2 1 16 0.000 0.000 0.000
2 3 2 1 17 0.000 0.000 0.000
2 3 2 1 18 0.000 0.000 0.000
2 3 2 1 19 0.000 0.000 0.000
2 3 2 1 20 0.000 0.000 0.000
2 3 2 1 21 0.000 0.000 0.000
2 3 2 1 22 0.000 0.000 0.000
2 3 2 1 23 0.000 0.000 0.000
2 3 2 1 24 0.000 0.000 0.000
2 3 2 1 25 0.000 0.000 0.000
2 3 2 1 26 0.000 0.000 0.000
