st pl ch r c p0 p1 p2 p3
0 2 6 0 0 617.169 106.381 0.043 -1.562
0 2 6 0 1 615.453 104.758 0.049 -1.605
0 2 6 0 2 617.645 107.083 0.048 -1.611
0 2 6 0 3 613.989 111.482 0.046 -1.575
0 2 6 0 4 618.867 107.698 0.048 -1.593
0 2 6 0 5 614.985 111.474 0.046 -1.585
0 2 6 0 6 609.478 106.774 0.048 -1.634
0 2 6 0 7 603.866 113.992 0.043 -1.400
0 2 6 0 8 605.150 123.673 0.039 -1.226
0 2 6 0 9 615.771 111.367 0.044 -1.452
0 2 6 0 10 618.050 113.951 0.044 -1.478
0 2 6 0 11 622.985 109.101 0.046 -1.497
0 2 6 0 12 628.604 107.841 0.048 -1.575
0 2 6 0 13 630.378 109.199 0.047 -1.618
0 2 6 0 14 610.264 111.931 0.045 -1.554
0 2 6 0 15 606.318 115.431 0.044 -1.494
0 2 6 0 16 608.101 111.844 0.044 -1.498
0 2 6 0 17 605.512 113.907 0.045 -1.515
0 2 6 0 18 625.563 104.734 0.048 -1.643
0 2 6 0 19 622.290 108.413 0.046 -1.501
0 2 6 0 20 615.696 114.506 0.045 -1.474
0 2 6 0 21 616.566 113.557 0.043 -1.470
0 2 6 0 22 608.899 114.834 0.044 -1.496
0 2 6 0 23 612.281 111.621 0.044 -1.459
0 2 6 0 24 613.596 107.612 0.048 -1.642
0 2 6 0 25 618.043 107.349 0.046 -1.447
0 2 6 0 26 618.877 100.003 0.050 -1.633
0 2 6 0 27 612.701 106.388 0.046 -1.556
0 2 6 0 28 607.799 106.805 0.046 -1.517
0 2 6 0 29 608.641 106.258 0.047 -1.545
0 2 6 0 30 624.469 105.066 0.048 -1.581
0 2 6 0 31 621.860 107.749 0.046 -1.552
0 2 6 0 32 611.659 102.155 0.048 -1.593
0 2 6 0 33 609.300 104.655 0.046 -1.515
0 2 6 0 34 616.686 99.948 0.049 -1.610
0 2 6 0 35 614.355 105.468 0.046 -1.514
0 2 6 0 36 622.149 102.575 0.048 -1.600
